"Case","Activity","timestamp","anomaly_type","order","loc","label","start","Event","num_case","leverage","t1","t2","t3","tn","time","Mb","Nc","Ne","MMb"
3883,6,"2010-03-17T18:09:00.000+09:00","normal",4,-1,0,0,"380",105,0.536353954824256,0,0,0,0,1.40696930885315,NA,112,380,NA
90,6,"2010-03-17T18:49:00.000+09:00","normal",3,-1,0,0,"381",105,0.370325666588748,0,0,0,0,0.53547215461731,NA,112,381,NA
3168,6,"2010-03-17T19:05:00.000+09:00","normal",3,-1,0,0,"382",105,0.375761373532413,0,0,0,0,0.477719306945801,NA,112,382,NA
2502,6,"2010-03-17T20:10:00.000+09:00","normal",3,-1,0,0,"383",105,0.384030938042782,0,0,0,0,0.486895322799683,8.11168,112,383,0.262192
3203,1,"2010-03-17T22:26:00.000+09:00","normal",1,-1,0,0,"384",105,0.445456117900376,0,0,0,0,0.485703706741333,8.653544,113,384,0.262192
2619,1,"2010-03-17T22:29:00.000+09:00","normal",1,-1,0,0,"385",105,0.443001638223453,0,0,0,0,0.496141672134399,8.702256,114,385,0.262192
2619,8,"2010-03-17T22:29:00.000+09:00","normal",2,-1,0,1,"386",106,0.438843482443471,0,0,0,0,0.477760791778564,8.440896,114,386,0.262192
92,6,"2010-03-18T18:27:00.000+09:00","normal",3,-1,0,0,"387",106,0.377391849246639,0,0,0,0,0.471583604812622,8.171792,114,387,0.262192
2619,9,"2010-03-18T20:18:00.000+09:00","normal",3,-1,0,0,"388",106,0.516819943134942,0,0,0,0,0.485748767852783,8.222096,114,388,0.262192
2874,1,"2010-03-18T20:38:00.000+09:00","normal",1,-1,0,0,"389",106,0.443761704493348,0,0,0,0,0.491664409637451,8.761072,115,389,0.262192
1527,1,"2010-03-18T20:41:00.000+09:00","normal",1,-1,0,0,"390",106,0.443454248644107,0,0,0,0,0.475158929824829,8.809312,116,390,0.262192
1527,1,"2010-03-18T20:41:00.000+09:00","normal",2,-1,0,1,"391",107,0.488691374949122,0,0,0,0,0.530850648880005,8.504248,116,391,0.262192
1527,8,"2010-03-18T20:42:00.000+09:00","normal",3,-1,0,0,"392",107,0.432956392911928,0,0,0,0,0.488776683807373,8.282208,116,392,0.262192
1527,6,"2010-03-18T20:42:00.000+09:00","normal",4,-1,0,0,"393",107,0.34459250385731,0,0,0,0,0.472403764724731,5.645752,116,393,0.262192
2874,8,"2010-03-18T20:53:00.000+09:00","normal",2,-1,0,1,"394",108,0.438373556774268,0,0,0,0,0.49415922164917,8.559904,116,394,0.262192
2874,6,"2010-03-18T22:37:00.000+09:00","normal",3,-1,0,0,"395",108,0.387094012208984,0,0,0,0,0.473551988601685,8.339672,116,395,0.262192
3849,8,"2010-03-19T17:41:00.000+09:00","normal",2,-1,0,1,"396",109,0.430078647816557,0,0,0,0,0.467056274414062,8.612856,116,396,0.262192
3849,6,"2010-03-19T17:41:00.000+09:00","normal",3,-1,0,0,"397",109,0.380520914707011,0,0,0,0,0.491416454315186,8.39296,116,397,0.262192
10,8,"2010-03-19T17:47:00.000+09:00","normal",2,-1,0,1,"398",110,0.431663002104578,0,0,0,0,0.476951122283936,8.6654,116,398,0.262192
10,6,"2010-03-19T17:47:00.000+09:00","normal",3,-1,0,0,"399",110,0.370565491082991,0,0,0,0,0.471415758132935,8.446848,116,399,0.262192
3849,6,"2010-03-19T17:51:00.000+09:00","normal",4,-1,0,0,"400",110,0.52426946603735,0,0,0,0,0.488721370697021,5.716384,116,400,0.262192
3187,8,"2010-03-19T20:09:00.000+09:00","normal",3,-1,0,0,"401",110,0.441659457330899,0,0,0,0,0.46340274810791,8.500296,116,401,0.262192
3187,6,"2010-03-19T20:09:00.000+09:00","normal",4,-1,0,0,"402",110,0.345838837319101,0,0,0,0,0.476641416549683,5.771208,116,402,0.262192
3187,6,"2010-03-19T20:10:00.000+09:00","normal",5,-1,0,0,"403",110,0.570476682740919,0,0,0,0,0.483903169631958,4.532448,116,403,0.262192
4168,8,"2010-03-19T20:43:00.000+09:00","Early",1,1,1,0,"404",110,0.756034124403173,0,0,0,1,0.471880674362183,8.901688,117,404,0.262192
4168,1,"2010-03-19T20:43:00.000+09:00","Early",2,1,1,1,"405",111,0.734722159793247,0,0,0,1,0.477478504180908,8.735584,117,405,0.262192
4168,6,"2010-03-19T20:50:00.000+09:00","Early",3,1,1,0,"406",111,0.729105282699099,0,0,0,1,0.499472379684448,8.564048,117,406,0.262192
2395,1,"2010-03-19T20:56:00.000+09:00","normal",1,-1,0,0,"407",111,0.444917610375216,0,0,0,0,0.468286275863647,8.957128,118,407,0.262192
2410,1,"2010-03-19T21:00:00.000+09:00","normal",1,-1,0,0,"408",111,0.447798051388726,0,0,0,0,0.465410709381104,9.005632,119,408,0.262192
