"Case","Activity","timestamp","anomaly_type","order","loc","label","start","Event","num_case","leverage","t1","t2","t3","tn","time","Mb","Nc","Ne","MMb"
306,"New online application received","2017-03-17T00:29:23.655+09:00","normal",1,-1,0,0,"893",101,0.465926734496796,0,0,0,0,1.27305865287781,NA,197,339,NA
210,"Check for completeness","2017-03-17T00:32:19.441+09:00","normal",2,-1,0,1,"894",102,0.461085778678531,0,0,0,0,0.490226268768311,NA,197,340,NA
130,"Make decision","2017-03-17T00:33:09.125+09:00","normal",4,-1,0,0,"895",102,0,0,0,0,0,0.0216612815856934,NA,196,337,NA
307,"New online application received","2017-03-17T00:34:27.827+09:00","normal",1,-1,0,0,"896",102,0.465926734496796,0,0,0,0,0.453007936477661,NA,197,338,NA
211,"Check for completeness","2017-03-17T00:36:16.983+09:00","normal",2,-1,0,1,"899",103,0.461085778678531,0,0,0,0,0.480346441268921,13.173544,197,339,1.048624
308,"New online application received","2017-03-17T00:42:45.210+09:00","normal",1,-1,0,0,"900",103,0.465926734496796,0,0,0,0,0.459555149078369,17.220528,197,336,1.048624
309,"New online application received","2017-03-17T00:43:13.435+09:00","normal",1,-1,0,0,"901",103,0.465959248089735,0,0,0,0,0.468394756317139,17.267592,198,337,1.048624
310,"New online application received","2017-03-17T00:45:14.356+09:00","normal",1,-1,0,0,"902",103,0.465991541639392,0,0,0,0,0.460114002227783,17.3146,199,338,1.048624
212,"Check for completeness","2017-03-17T00:46:09.466+09:00","normal",2,-1,0,1,"903",104,0.461085778678531,0,0,0,0,0.478672027587891,13.17472,199,339,1.048624
311,"New online application received","2017-03-17T00:50:13.923+09:00","normal",1,-1,0,0,"904",104,0.465991541639392,0,0,0,0,0.471010208129883,17.31272,199,337,1.048624
214,"Check for completeness","2017-03-17T00:53:21.158+09:00","normal",2,-1,0,1,"905",105,0.461085778678531,0,0,0,0,0.479239940643311,13.172136,199,338,1.048624
312,"New online application received","2017-03-17T00:53:56.302+09:00","normal",1,-1,0,0,"906",105,0.465991541639392,0,0,0,0,0.489206552505493,17.31048,199,336,1.048624
313,"New online application received","2017-03-17T00:59:56.380+09:00","normal",1,-1,0,0,"907",105,0.466023617757479,0,0,0,0,0.469259023666382,17.357544,200,337,1.048624
138,"Perform checks","2017-03-17T01:03:44.503+09:00","normal",3,-1,0,0,"908",105,0.496418888989364,0,0,0,0,0.477717876434326,9.476496,200,338,1.048624
213,"Check for completeness","2017-03-17T01:04:14.738+09:00","normal",2,-1,0,1,"909",106,0.461085778678531,0,0,0,0,0.471375703811646,13.173712,200,339,1.048624
215,"Check for completeness","2017-03-17T01:05:44.748+09:00","normal",2,-1,0,1,"910",107,0.461085778678531,0,0,0,0,0.48964262008667,13.165656,199,336,1.048624
314,"New online application received","2017-03-17T01:10:53.977+09:00","normal",1,-1,0,0,"912",107,0.465991541639392,0,0,0,0,0.495844602584839,17.30448,199,333,1.048624
140,"Perform checks","2017-03-17T01:13:38.238+09:00","normal",3,-1,0,0,"915",107,0.499762694927824,0,0,0,0,0.497183084487915,9.422192,199,334,1.048624
315,"New online application received","2017-03-17T01:23:26.414+09:00","normal",1,-1,0,0,"916",107,0.466023617757479,0,0,0,0,0.515284538269043,17.353424,200,335,1.048624
216,"Check for completeness","2017-03-17T01:29:06.991+09:00","normal",2,-1,0,1,"919",108,0.461085778678531,0,0,0,0,0.493909358978271,13.166992,200,336,1.048624
316,"New online application received","2017-03-17T01:29:47.165+09:00","normal",1,-1,0,0,"920",108,0.466023617757479,0,0,0,0,0.48813271522522,17.351184,200,334,1.048624
139,"Perform checks","2017-03-17T01:31:54.395+09:00","normal",3,-1,0,0,"921",108,0.490982173722554,0,0,0,0,0.496551752090454,9.424456,200,335,1.048624
317,"New online application received","2017-03-17T01:32:11.501+09:00","normal",1,-1,0,0,"922",108,0.466055479011691,0,0,0,0,0.505094528198242,17.400432,201,336,1.048624
135,"Make decision","2017-03-17T01:34:42.486+09:00","normal",4,-1,0,0,"924",108,0,0,0,0,0,0.0206711292266846,8.383704,201,337,1.048624
318,"New online application received","2017-03-17T01:34:48.156+09:00","normal",1,-1,0,0,"925",108,0.466087127926666,0,0,0,0,0.497096300125122,17.449376,202,338,1.048624
136,"Perform checks","2017-03-17T01:36:17.949+09:00","normal",3,-1,0,0,"928",108,0.48838615503623,0,0,0,0,0.507212400436401,9.47888,202,339,1.048624
138,"Make decision","2017-03-17T01:39:35.178+09:00","normal",4,-1,0,0,"929",108,0,0,0,0,0,0.019775390625,8.390368,202,340,1.048624
319,"New online application received","2017-03-17T01:41:57.128+09:00","Replace",1,5,0,0,"930",108,0.466118566984919,0,0,0,0,0.509872436523438,17.500984,203,341,1.048624
320,"New online application received","2017-03-17T01:43:27.333+09:00","normal",1,-1,0,0,"931",108,0.466149798627752,0,0,0,0,0.48845362663269,17.547728,204,342,1.048624
321,"New online application received","2017-03-17T01:44:57.193+09:00","normal",1,-1,0,0,"932",108,0.46618082525613,0,0,0,0,0.512060403823853,17.595056,205,343,1.048624
322,"New online application received","2017-03-17T01:46:06.466+09:00","normal",1,-1,0,0,"933",108,0.466211649231549,0,0,0,0,0.493263959884644,17.6418,206,344,1.048624
323,"New online application received","2017-03-17T01:53:22.033+09:00","normal",1,-1,0,0,"934",108,0.466242272876865,0,0,0,0,0.483551502227783,17.689128,207,345,1.048624
324,"New online application received","2017-03-17T01:53:50.507+09:00","normal",1,-1,0,0,"935",108,0.466272698477125,0,0,0,0,0.509190797805786,17.735872,208,346,1.048624
325,"New online application received","2017-03-17T01:55:20.464+09:00","normal",1,-1,0,0,"936",108,0.466302928280342,0,0,0,0,0.498133897781372,17.7832,209,347,1.048624
326,"New online application received","2017-03-17T01:55:31.171+09:00","normal",1,-1,0,0,"937",108,0.46633296449829,0,0,0,0,0.488775968551636,17.829944,210,348,1.048624
327,"New online application received","2017-03-17T01:57:40.923+09:00","normal",1,-1,0,0,"939",108,0.466362809307245,0,0,0,0,0.506756544113159,17.877272,211,349,1.048624
122,"info received","2017-03-17T12:31:37.011+09:00","normal",4,-1,0,0,"944",108,0.855075043927629,0,0,0,1,0.681338310241699,NA,211,350,NA
115,"info received","2017-03-17T15:23:14.298+09:00","normal",4,-1,0,0,"946",108,0.909221328058454,0,0,0,1,0.499665260314941,NA,212,351,NA
116,"info received","2017-03-17T17:55:30.701+09:00","normal",4,-1,0,0,"948",108,0.839243420165608,0,0,0,1,0.503219366073608,9.197936,212,352,1.048624
328,"New online application received","2017-03-17T18:00:52.005+09:00","normal",1,-1,0,0,"949",108,0.446545897139877,0,0,0,0,0.516019344329834,18.117912,213,353,1.048624
140,"Make decision","2017-03-17T18:10:19.838+09:00","normal",4,-1,0,0,"954",108,0.448811170726003,0,0,0,0,0.491319894790649,9.249152,213,354,1.048624
329,"New online application received","2017-03-17T18:13:41.401+09:00","normal",1,-1,0,0,"956",108,0.444716244655116,0,0,0,0,0.504458427429199,18.1676,214,355,1.048624
142,"Perform checks","2017-03-17T18:23:29.464+09:00","normal",3,-1,0,0,"958",108,0.486140871139344,0,0,0,0,0.505478143692017,9.68148,214,356,1.048624
330,"New online application received","2017-03-17T18:26:14.482+09:00","normal",1,-1,0,0,"959",108,0.446323021736481,0,0,0,0,0.497180461883545,18.2176,215,357,1.048624
331,"New online application received","2017-03-17T18:28:16.068+09:00","normal",1,-1,0,0,"961",108,0.446367801877993,0,0,0,0,0.501042366027832,18.264776,216,358,1.048624
