"Case","Activity","timestamp","anomaly_type","order","loc","label","start","Event","num_case","leverage","t1","t2","t3","tn","time","Mb","Nc","Ne","MMb"
"BXA","NEW","2012-12-27T15:43:21.000+09:00","normal",1,-1,0,0,"639",101,0.468704508171354,0,0,0,0,2.21912336349487,NA,303,415,NA
"EHA","NEW","2012-12-27T15:45:18.000+09:00","normal",1,-1,0,0,"640",101,0.468722021658517,0,0,0,0,0.807470560073853,NA,304,416,NA
"EHA","CHANGE DIAGN","2012-12-27T15:45:33.000+09:00","normal",2,-1,0,1,"641",102,0.41836131596249,0,0,0,0,0.975623607635498,NA,304,417,NA
"OHA","NEW","2012-12-27T15:57:19.000+09:00","normal",1,-1,0,0,"642",102,0.468722021658517,0,0,0,0,1.0001323223114,22.8452,304,416,1.048624
"KF","NEW","2012-12-27T16:21:27.000+09:00","normal",1,-1,0,0,"643",102,0.468739461017241,0,0,0,0,0.972892284393311,22.8926,305,417,1.048624
"OHA","CHANGE DIAGN","2012-12-27T16:28:01.000+09:00","normal",2,-1,0,1,"644",103,0.420789330268074,0,0,0,0,0.979077577590942,14.024928,305,418,1.048624
"ZWA","NEW","2012-12-27T16:28:04.000+09:00","normal",1,-1,0,0,"645",103,0.468739461017241,0,0,0,0,0.849349737167358,22.8926,305,417,1.048624
"ZWA","CHANGE DIAGN","2012-12-27T16:28:19.000+09:00","normal",2,-1,0,1,"646",104,0.420441610250618,0,0,0,0,0.764793395996094,14.024928,305,418,1.048624
"QG","NEW","2012-12-27T16:39:43.000+09:00","normal",1,-1,0,0,"647",104,0.468739461017241,0,0,0,0,0.758890151977539,22.8926,305,417,1.048624
"JK","NEW","2012-12-27T16:42:51.000+09:00","normal",1,-1,0,0,"648",104,0.468756826802538,0,0,0,0,0.942895650863647,22.93936,306,418,1.048624
"JK","CHANGE DIAGN","2012-12-27T16:43:05.000+09:00","normal",2,-1,0,1,"649",105,0.414917007088094,0,0,0,0,0.557016134262085,14.027856,306,419,1.048624
"QXA","NEW","2012-12-27T16:45:18.000+09:00","normal",1,-1,0,0,"650",105,0.468756826802538,0,0,0,0,0.565495014190674,22.93936,306,418,1.048624
"JHA","NEW","2012-12-27T17:15:13.000+09:00","normal",1,-1,0,0,"651",105,0.468774119563492,0,0,0,0,0.566642999649048,22.98676,307,419,1.048624
"JHA","CHANGE DIAGN","2012-12-27T17:15:34.000+09:00","normal",2,-1,0,1,"652",106,0.42183421673218,0,0,0,0,0.560644149780273,14.030496,307,420,1.048624
"BDA","NEW","2012-12-27T17:19:40.000+09:00","normal",1,-1,0,0,"653",106,0.468774119563492,0,0,0,0,0.553116083145142,22.98676,307,419,1.048624
"BDA","CHANGE DIAGN","2012-12-27T17:21:24.000+09:00","normal",2,-1,0,1,"654",107,0.420789330268074,0,0,0,0,0.608701467514038,14.030496,307,420,1.048624
"HY","NEW","2012-12-27T17:49:47.000+09:00","normal",1,-1,0,0,"655",107,0.468774119563492,0,0,0,0,0.556331872940063,22.98676,307,419,1.048624
"YO","NEW","2012-12-27T18:01:32.000+09:00","normal",1,-1,0,0,"656",107,0.468791339843345,0,0,0,0,0.54269003868103,23.03368,308,420,1.048624
"NY","NEW","2012-12-27T18:07:45.000+09:00","normal",1,-1,0,0,"657",107,0.468808488179571,0,0,0,0,0.570534706115723,23.081048,309,421,1.048624
"YG","NEW","2012-12-27T18:14:11.000+09:00","Rework",1,6,0,0,"658",107,0.468825565103961,0,0,0,0,0.547054290771484,23.12784,310,422,1.048624
"YG","NEW","2012-12-27T18:14:11.000+09:00","Rework",6,6,1,1,"659",108,0.766680932375473,0,0,0,1,0.565883874893188,14.0388,310,423,1.048624
"YG","CHANGE DIAGN","2012-12-27T18:14:28.000+09:00","Rework",2,6,0,0,"660",108,0.526787690925194,0,0,0,0,0.550954818725586,9.63468,309,422,1.048624
"YG","CHANGE DIAGN","2012-12-27T18:14:28.000+09:00","Rework",7,6,1,0,"661",108,0.515435558967749,0,0,0,0,0.550545454025269,9.325264,309,423,1.048624
"DI","NEW","2012-12-27T18:15:24.000+09:00","normal",1,-1,0,0,"662",108,0.468825565103961,0,0,0,0,0.553430557250977,23.131936,310,424,1.048624
"JDA","NEW","2012-12-27T19:44:52.000+09:00","normal",1,-1,0,0,"663",108,0.468842571142702,0,0,0,0,0.544392108917236,23.179312,311,425,1.048624
"JNA","NEW","2012-12-27T19:54:31.000+09:00","SkipSequence",1,3,0,0,"664",108,0.468859506816445,0,0,0,0,0.567026138305664,23.226096,312,426,1.048624
"WY","NEW","2012-12-27T20:24:00.000+09:00","normal",1,-1,0,0,"665",108,0.46887637264039,0,0,0,0,0.579100847244263,23.273472,313,427,1.048624
"ZL","NEW","2012-12-27T20:27:02.000+09:00","Early",2,1,1,0,"666",108,0.468893169124355,0,0,0,0,0.548577547073364,23.320256,314,428,1.048624
"TSA","NEW","2012-12-27T20:30:49.000+09:00","normal",1,-1,0,0,"667",108,0.468909896772848,0,0,0,0,0.554140329360962,23.367632,315,429,1.048624
"QN","NEW","2012-12-27T21:16:47.000+09:00","normal",1,-1,0,0,"668",108,0.468926556085144,0,0,0,0,0.557491540908813,23.414416,316,430,1.048624
"DI","CHANGE DIAGN","2012-12-27T22:27:40.000+09:00","normal",2,-1,0,1,"669",109,0.424633282943677,0,0,0,0,0.570005893707275,14.058864,316,431,1.048624
"TLA","NEW","2012-12-27T22:53:13.000+09:00","normal",1,-1,0,0,"670",109,0.468926556085144,0,0,0,0,0.563916921615601,23.412504,316,429,1.048624
"EMA","NEW","2012-12-27T22:53:15.000+09:00","normal",1,-1,0,0,"671",109,0.468943147555346,0,0,0,0,0.53289270401001,23.459592,317,430,1.048624
"EUA","NEW","2012-12-27T22:54:32.000+09:00","normal",1,-1,0,0,"672",109,0.468959671672465,0,0,0,0,0.551581382751465,23.506664,318,431,1.048624
"HGB","NEW","2012-12-27T22:56:12.000+09:00","normal",1,-1,0,0,"673",109,0.468976128920482,0,0,0,0,0.557002067565918,23.553752,319,432,1.048624
"PGB","NEW","2012-12-27T22:56:21.000+09:00","normal",1,-1,0,0,"674",109,0.468992519778416,0,0,0,0,0.542454957962036,23.600824,320,433,1.048624
"EEA","NEW","2012-12-27T22:59:57.000+09:00","normal",1,-1,0,0,"675",109,0.469008844720386,0,0,0,0,0.550848484039307,23.647912,321,434,1.048624
"MUA","NEW","2012-12-27T23:14:32.000+09:00","normal",1,-1,0,0,"676",109,0.469025104215684,0,0,0,0,0.559379100799561,23.694984,322,435,1.048624
"KLA","NEW","2012-12-28T00:59:40.000+09:00","normal",1,-1,0,0,"677",109,0.469041298728836,0,0,0,0,0.557980537414551,23.742072,323,436,1.048624
"GAB","NEW","2012-12-28T01:33:03.000+09:00","normal",1,-1,0,0,"678",109,0.469057428719655,0,0,0,0,0.541375398635864,23.789144,324,437,1.048624
"LAB","NEW","2012-12-28T02:42:36.000+09:00","normal",1,-1,0,0,"679",109,0.469073494643322,0,0,0,0,0.542909860610962,23.836232,325,438,1.048624
"NMA","NEW","2012-12-28T03:21:41.000+09:00","normal",1,-1,0,0,"680",109,0.469089496950426,0,0,0,0,0.563499927520752,23.883304,326,439,1.048624
"QMA","NEW","2012-12-28T04:11:33.000+09:00","normal",1,-1,0,0,"681",109,0.46910543608704,0,0,0,0,0.553512334823608,23.93052,327,440,1.048624
"HP","NEW","2012-12-28T04:12:45.000+09:00","normal",1,-1,0,0,"682",109,0.469121312494771,0,0,0,0,0.528376817703247,23.977624,328,441,1.048624
"WEA","NEW","2012-12-28T04:13:54.000+09:00","normal",1,-1,0,0,"683",109,0.469137126610819,0,0,0,0,0.558814287185669,24.02468,329,442,1.048624
"CHB","NEW","2012-12-28T04:19:38.000+09:00","normal",1,-1,0,0,"684",109,0.469152878868037,0,0,0,0,0.569983005523682,24.071784,330,443,1.048624
