"Case","Activity","timestamp","anomaly_type","order","loc","label","start","Event","num_case","leverage","t1","t2","t3","tn","time","Mb","Nc","Ne","MMb"
"case_10718","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"796",1,0,0,0,0,0,2.03205156326294,78.772392,795,796,1.048624
"case_10719","Activity A","1970-01-01T09:00:00.000+09:00","SkipSequence",1,2,0,0,"797",1,0,0,0,0,0,0.0846970081329346,NA,796,797,NA
"case_1072","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"798",1,0,0,0,0,0,0.0434741973876953,17.289712,797,798,2.0972
"case_10720","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"799",1,0,0,0,0,0,0.0419478416442871,17.29044,798,799,2.0972
"case_10721","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"800",1,0,0,0,0,0,0.045583963394165,17.291408,799,800,2.0972
"case_10722","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"801",1,0,0,0,0,0,0.0478012561798096,17.292168,800,801,2.0972
"case_10723","Activity A","1970-01-01T09:00:00.000+09:00","SkipSequence",1,2,0,0,"802",1,0,0,0,0,0,0.0527069568634033,17.292976,801,802,2.0972
"case_10724","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"803",1,0,0,0,0,0,0.0452415943145752,17.293736,802,803,2.0972
"case_10725","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"804",1,0,0,0,0,0,0.0502471923828125,17.294544,803,804,2.0972
"case_10726","Activity A","1970-01-01T09:00:00.000+09:00","Rework",1,8,0,0,"805",1,0,0,0,0,0,0.0360832214355469,17.295304,804,805,2.0972
"case_10727","Activity A","1970-01-01T09:00:00.000+09:00","Rework",1,6,0,0,"806",1,0,0,0,0,0,0.0498926639556885,17.296112,805,806,2.0972
"case_10728","Activity A","1970-01-01T09:00:00.000+09:00","Early",1,3,0,0,"807",1,0,0,0,0,0,0.0489251613616943,17.296872,806,807,2.0972
"case_10729","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"808",1,0,0,0,0,0,0.0488548278808594,17.29768,807,808,2.0972
"case_1073","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"809",1,0,0,0,0,0,0.0434372425079346,17.29844,808,809,2.0972
"case_10730","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"810",1,0,0,0,0,0,0.0498108863830566,17.299248,809,810,2.0972
"case_10731","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"811",1,0,0,0,0,0,0.0343871116638184,17.300008,810,811,2.0972
"case_10733","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"812",1,0,0,0,0,0,0.0477337837219238,17.300816,811,812,2.0972
"case_10734","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"813",1,0,0,0,0,0,0.0535290241241455,17.301576,812,813,2.0972
"case_10735","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"814",1,0,0,0,0,0,0.0323011875152588,17.302384,813,814,2.0972
"case_10736","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"815",1,0,0,0,0,0,0.0364570617675781,17.303144,814,815,2.0972
"case_10737","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"816",1,0,0,0,0,0,0.0474085807800293,17.303952,815,816,2.0972
"case_10738","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"817",1,0,0,0,0,0,0.0411338806152344,17.304712,816,817,2.0972
"case_10739","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"818",1,0,0,0,0,0,0.0409877300262451,17.30552,817,818,2.0972
"case_1074","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"819",1,0,0,0,0,0,0.0540857315063477,17.30628,818,819,2.0972
"case_10740","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"820",1,0,0,0,0,0,0.0555422306060791,17.307248,819,820,2.0972
"case_10741","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"821",1,0,0,0,0,0,0.03696608543396,17.307976,820,821,2.0972
"case_10742","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"822",1,0,0,0,0,0,0.0527758598327637,17.308816,821,822,2.0972
"case_10743","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"823",1,0,0,0,0,0,0.0475313663482666,17.309544,822,823,2.0972
"case_10744","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"824",1,0,0,0,0,0,0.0373959541320801,17.310384,823,824,2.0972
"case_10745","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"825",1,0,0,0,0,0,0.0466225147247314,17.311112,824,825,2.0972
"case_10747","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"826",1,0,0,0,0,0,0.0401859283447266,17.311952,825,826,2.0972
"case_10748","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"827",1,0,0,0,0,0,0.0431475639343262,17.31268,826,827,2.0972
"case_10749","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"828",1,0,0,0,0,0,0.0389721393585205,17.31352,827,828,2.0972
"case_1075","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"829",1,0,0,0,0,0,0.0335233211517334,17.314248,828,829,2.0972
"case_10750","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"830",1,0,0,0,0,0,0.0438883304595947,17.315088,829,830,2.0972
"case_10751","Activity A","1970-01-01T09:00:00.000+09:00","Early",1,3,0,0,"831",1,0,0,0,0,0,0.0559389591217041,17.315816,830,831,2.0972
"case_10752","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"832",1,0,0,0,0,0,0.279954433441162,17.316656,831,832,2.0972
"case_10753","Activity A","1970-01-01T09:00:00.000+09:00","Rework",1,12,0,0,"833",1,0,0,0,0,0,0.0449526309967041,17.317384,832,833,2.0972
"case_10754","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"834",1,0,0,0,0,0,0.0420329570770264,17.318224,833,834,2.0972
"case_10755","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"835",1,0,0,0,0,0,0.0521810054779053,17.318952,834,835,2.0972
"case_10756","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"836",1,0,0,0,0,0,0.0432760715484619,17.319792,835,836,2.0972
"case_10757","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"837",1,0,0,0,0,0,0.0560526847839355,17.32052,836,837,2.0972
"case_10758","Activity A","1970-01-01T09:00:00.000+09:00","Rework",1,7,0,0,"838",1,0,0,0,0,0,0.0848047733306885,17.32136,837,838,2.0972
"case_10758","Activity A","1970-01-01T09:00:00.000+09:00","Rework",7,7,1,1,"839",2,0,0,0,0,0,0.071237325668335,17.322008,837,839,2.0972
"case_10759","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"840",2,0,0,0,0,0,0.048729419708252,17.322888,838,840,2.0972
"case_1076","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"841",2,0,0,0,0,0,0.0442922115325928,17.323736,839,841,2.0972
"case_10760","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"842",2,0,0,0,0,0,0.0457367897033691,17.324456,840,842,2.0972
"case_10761","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"843",2,0,0,0,0,0,0.0539820194244385,17.325304,841,843,2.0972
"case_10762","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"844",2,0,0,0,0,0,0.0393822193145752,17.326024,842,844,2.0972
"case_10763","Activity A","1970-01-01T09:00:00.000+09:00","Rework",1,10,0,0,"845",2,0,0,0,0,0,0.0410399436950684,17.326872,843,845,2.0972
"case_10764","Activity A","1970-01-01T09:00:00.000+09:00","Rework",1,9,0,0,"846",2,0,0,0,0,0,0.0493969917297363,17.327592,844,846,2.0972
"case_10765","Activity A","1970-01-01T09:00:00.000+09:00","Replace",1,3,0,0,"847",2,0,0,0,0,0,0.0540056228637695,17.32844,845,847,2.0972
"case_10766","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"848",2,0,0,0,0,0,0.039323091506958,17.32916,846,848,2.0972
"case_10767","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"849",2,0,0,0,0,0,0.0568408966064453,17.330008,847,849,2.0972
"case_10768","Activity A","1970-01-01T09:00:00.000+09:00","Late",1,5,0,0,"850",2,0,0,0,0,0,0.0378062725067139,17.330728,848,850,2.0972
"case_10769","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"851",2,0,0,0,0,0,0.040794849395752,17.331576,849,851,2.0972
