"Case","Activity","timestamp","anomaly_type","order","loc","label","start","Event","num_case","leverage","t1","t2","t3","tn","time","Mb","Nc","Ne","MMb"
"1-691759626","Accepted+In Progress","2012-03-02T19:08:21.000+09:00","normal",6,-1,0,0,"1870",157,0.390720602565692,0,0,0,0,8.4189145565033,NA,157,1870,NA
"1-690436171","Accepted+In Progress","2012-03-02T19:23:34.000+09:00","normal",7,-1,0,0,"1871",157,0.59184541713691,0,0,0,1,1.58786511421204,NA,157,1871,NA
"1-690436171","Accepted+Assigned","2012-03-02T19:23:56.000+09:00","normal",8,-1,0,0,"1872",157,0.5701030306273,0,0,0,1,1.46637606620789,NA,157,1872,NA
"1-690436171","Accepted+In Progress","2012-03-02T19:54:15.000+09:00","normal",9,-1,0,0,"1873",157,0.601331051508095,0,0,0,1,1.47005772590637,NA,157,1873,NA
"1-657323705","Accepted+In Progress","2012-03-02T19:56:12.000+09:00","normal",4,-1,0,0,"1874",157,0.316598768847409,0,0,0,0,1.46355319023132,NA,157,1874,NA
"1-690436171","Accepted+Wait","2012-03-02T19:58:16.000+09:00","normal",10,-1,0,0,"1875",157,0.594415326770956,0,0,0,1,1.4539487361908,NA,157,1875,NA
"1-690436171","Accepted+Wait","2012-03-02T19:59:04.000+09:00","normal",11,-1,0,0,"1876",157,0.589844762409255,0,0,0,1,1.46478033065796,NA,157,1876,NA
"1-690436171","Accepted+Wait - User","2012-03-02T20:02:12.000+09:00","normal",12,-1,0,0,"1877",157,0.582248890872369,0,0,0,1,1.48338747024536,NA,157,1877,NA
"1-691759626","Queued+Awaiting Assignment","2012-03-02T20:05:56.000+09:00","normal",7,-1,0,0,"1878",157,0.404575147529705,0,0,0,0,1.48411512374878,NA,157,1878,NA
"1-690436171","Accepted+Wait","2012-03-02T21:37:27.000+09:00","normal",13,-1,0,0,"1879",157,0.61032720489395,0,0,0,1,1.46338987350464,NA,157,1879,NA
"1-690436171","Queued+Awaiting Assignment","2012-03-02T21:37:57.000+09:00","normal",14,-1,0,0,"1880",157,0.587518992536951,0,0,0,1,1.48013687133789,NA,157,1880,NA
"1-691950241","Accepted+In Progress","2012-03-02T21:54:58.000+09:00","normal",1,-1,0,0,"1881",157,0.474005313446929,0,0,0,0,1.46030950546265,NA,158,1881,NA
"1-691782323","Accepted+In Progress","2012-03-02T21:57:12.000+09:00","normal",1,-1,0,0,"1882",157,0.473971530420581,0,0,0,0,1.47244358062744,NA,159,1882,NA
"1-691950241","Accepted+In Progress","2012-03-02T21:57:36.000+09:00","normal",2,-1,0,1,"1883",158,0.404113194032752,0,0,0,0,1.46086931228638,NA,159,1883,NA
"1-691782323","Accepted+In Progress","2012-03-02T21:58:20.000+09:00","normal",2,-1,0,1,"1884",159,0.400255119696102,0,0,0,0,1.46643948554993,NA,159,1884,NA
"1-691950241","Queued+Awaiting Assignment","2012-03-02T22:03:11.000+09:00","normal",3,-1,0,0,"1885",159,0.339038925861363,0,0,0,0,1.4746572971344,NA,159,1885,NA
"1-691782323","Queued+Awaiting Assignment","2012-03-02T22:03:31.000+09:00","normal",3,-1,0,0,"1886",159,0.342310020296562,0,0,0,0,1.47677898406982,NA,159,1886,NA
"1-691971107","Accepted+In Progress","2012-03-02T22:26:55.000+09:00","normal",1,-1,0,0,"1887",159,0.473938540719456,0,0,0,0,1.4575834274292,NA,160,1887,NA
"1-691971107","Accepted+In Progress","2012-03-02T22:27:14.000+09:00","normal",2,-1,0,1,"1888",160,0.401197922630444,0,0,0,0,1.47032499313354,NA,160,1888,NA
"1-683762637","Accepted+Wait - User","2012-03-02T22:32:57.000+09:00","normal",19,-1,0,0,"1889",160,0.487660811009869,0,0,0,0,1.46031904220581,NA,160,1889,NA
"1-683762637","Accepted+Wait - User","2012-03-02T22:34:19.000+09:00","normal",20,-1,0,0,"1890",160,0.522449648374771,0,0,0,1,1.4834897518158,NA,160,1890,NA
"1-691971107","Queued+Awaiting Assignment","2012-03-02T22:42:23.000+09:00","normal",3,-1,0,0,"1891",160,0.342035077484195,0,0,0,0,1.48314905166626,NA,160,1891,NA
"1-691971107","Accepted+In Progress","2012-03-02T23:00:41.000+09:00","normal",4,-1,0,0,"1892",160,0.316238527331426,0,0,0,0,1.5051417350769,NA,160,1892,NA
"1-691971107","Queued+Awaiting Assignment","2012-03-02T23:02:08.000+09:00","normal",5,-1,0,0,"1893",160,0.308976461675155,0,0,0,0,1.49285912513733,NA,160,1893,NA
"1-690436171","Accepted+In Progress","2012-03-02T23:41:04.000+09:00","normal",15,-1,0,0,"1894",160,0.596912522166675,0,0,0,1,1.49965715408325,NA,160,1894,NA
"1-690436171","Completed+Resolved","2012-03-02T23:43:18.000+09:00","normal",16,-1,0,0,"1895",160,0.608394801207321,0,0,0,1,1.50592398643494,NA,160,1895,NA
"1-660730501","Queued+Awaiting Assignment","2012-03-03T00:13:48.000+09:00","normal",24,-1,0,0,"1896",160,0.540000066141466,0,0,0,1,1.51439094543457,NA,160,1896,NA
"1-692067345","Accepted+In Progress","2012-03-03T04:28:11.000+09:00","normal",1,-1,0,0,"1897",160,0.473906324495226,0,0,0,0,1.48122930526733,NA,161,1897,NA
"1-692067345","Accepted+In Progress","2012-03-03T04:30:42.000+09:00","normal",2,-1,0,1,"1898",161,0.403039172549684,0,0,0,0,1.51041460037231,NA,161,1898,NA
"1-692067345","Queued+Awaiting Assignment","2012-03-03T04:40:14.000+09:00","normal",3,-1,0,0,"1899",161,0.33718558682791,0,0,0,0,1.49957036972046,NA,161,1899,NA
"1-687085471","Accepted+Wait - User","2012-03-04T02:44:12.000+09:00","normal",16,-1,0,0,"1900",161,0.545301378312623,0,0,0,1,1.50499963760376,NA,161,1900,NA
"1-691782323","Accepted+In Progress","2012-03-05T09:55:19.000+09:00","normal",4,-1,0,0,"1901",161,0.319559797581172,0,0,0,0,1.49497413635254,NA,161,1901,NA
"1-691759626","Accepted+In Progress","2012-03-05T10:10:28.000+09:00","normal",8,-1,0,0,"1902",161,0.388670313890555,0,0,0,0,1.52321410179138,NA,161,1902,NA
"1-691759626","Accepted+Wait - User","2012-03-05T10:10:56.000+09:00","normal",9,-1,0,0,"1903",161,0.424183685944344,0,0,0,0,1.50875806808472,NA,161,1903,NA
"1-692067345","Accepted+In Progress","2012-03-05T14:10:42.000+09:00","normal",4,-1,0,0,"1904",161,0.319955387438532,0,0,0,0,1.51039433479309,NA,161,1904,NA
"1-692067345","Accepted+Wait","2012-03-05T14:13:46.000+09:00","normal",5,-1,0,0,"1905",161,0.364114809411933,0,0,0,0,1.49256157875061,NA,161,1905,NA
"1-691782323","Accepted+Wait - Customer","2012-03-05T14:35:04.000+09:00","normal",5,-1,0,0,"1906",161,0.448127371196865,0,0,0,0,1.51190781593323,NA,161,1906,NA
"1-692067345","Accepted+In Progress","2012-03-05T14:45:09.000+09:00","normal",6,-1,0,0,"1907",161,0.367515930212008,0,0,0,0,1.49637842178345,NA,161,1907,NA
"1-692067345","Queued+Awaiting Assignment","2012-03-05T14:48:41.000+09:00","normal",7,-1,0,0,"1908",161,0.371141902806384,0,0,0,0,1.55416989326477,NA,161,1908,NA
"1-692758611","Accepted+In Progress","2012-03-05T15:21:37.000+09:00","normal",1,-1,0,0,"1909",161,0.473874862504392,0,0,0,0,1.48579454421997,NA,162,1909,NA
"1-692758611","Accepted+In Progress","2012-03-05T15:22:41.000+09:00","normal",2,-1,0,1,"1910",162,0.403382928309568,0,0,0,0,1.51411294937134,NA,162,1910,NA
"1-691971107","Accepted+In Progress","2012-03-05T15:30:20.000+09:00","normal",6,-1,0,0,"1911",162,0.314610496566533,0,0,0,0,1.50515937805176,NA,162,1911,NA
"1-692758611","Queued+Awaiting Assignment","2012-03-05T15:46:47.000+09:00","normal",3,-1,0,0,"1912",162,0.332935899901689,0,0,0,0,1.51083707809448,NA,162,1912,NA
"1-692758994","Accepted+In Progress","2012-03-05T15:52:47.000+09:00","normal",1,-1,0,0,"1913",162,0.473844136086218,0,0,0,0,1.44752597808838,NA,163,1913,NA
"1-692758994","Accepted+In Progress","2012-03-05T15:53:02.000+09:00","normal",2,-1,0,1,"1914",163,0.405226877043731,0,0,0,0,1.46789789199829,NA,163,1914,NA
"1-692758994","Queued+Awaiting Assignment","2012-03-05T15:55:20.000+09:00","normal",3,-1,0,0,"1915",163,0.341126313630542,0,0,0,0,1.45751428604126,NA,163,1915,NA
