"Case","Activity","timestamp","anomaly_type","order","loc","label","start","Event","num_case","leverage","t1","t2","t3","tn","time","Mb","Nc","Ne","MMb"
103,"Prepare starter","2020-09-17T03:44:39.165+09:00","normal",7,-1,0,0,"1201",105,0.377487554345923,0,0,0,0,3.9545590877533,NA,108,1201,NA
102,"Prepare starter","2020-09-17T03:44:40.735+09:00","normal",7,-1,0,0,"1202",105,0.360820262132846,0,0,0,0,0.733347415924072,29.755592,108,1202,1.75016
104,"Review order","2020-09-17T03:44:50.120+09:00","Early",3,5,0,0,"1203",105,0.375914781153509,0,0,0,0,0.637739419937134,28.670728,108,1203,1.751616
101,"Bring food","2020-09-17T03:45:12.727+09:00","SkipSequence",8,4,1,0,"1204",105,0.473498476815331,0,0,0,0,0.626317262649536,29.487064,108,1204,1.753072
102,"prepare drinks","2020-09-17T03:45:14.492+09:00","normal",8,-1,0,0,"1205",105,0.429944391178156,0,0,0,0,0.648578405380249,29.55988,108,1205,1.754528
105,"Take order","2020-09-17T03:45:25.489+09:00","normal",2,-1,0,1,"1206",106,0.442967501540395,0,0,0,0,0.618469953536987,28.552688,108,1206,1.755984
102,"Bring drinks","2020-09-17T03:45:40.945+09:00","normal",9,-1,0,0,"1207",106,0.4633437708748,0,0,0,0,0.658035278320312,29.71372,108,1207,1.75744
105,"Review order","2020-09-17T03:46:07.217+09:00","normal",3,-1,0,0,"1208",106,0.390854295184904,0,0,0,0,0.644888162612915,28.77712,108,1208,1.758896
102,"Review drinks","2020-09-17T03:46:13.573+09:00","normal",10,-1,0,0,"1209",106,0.456229748169785,0,0,0,0,0.667274951934814,29.86768,108,1209,1.760352
102,"Prepare main course","2020-09-17T03:46:23.848+09:00","normal",11,-1,0,0,"1210",106,0.537194943757855,0,0,0,1,0.675355672836304,29.814344,108,1210,1.761808
102,"Signal food complete","2020-09-17T03:46:28.848+09:00","normal",12,-1,0,0,"1211",106,0.525192624250011,0,0,0,1,0.675728559494019,27.047288,108,1211,1.763264
100,"Deliver to customer","2020-09-17T03:46:36.596+09:00","normal",10,-1,0,0,"1212",106,0.346595771195531,0,0,0,0,0.677263736724854,29.961552,108,1212,1.76472
100,"EVENT 8 END","2020-09-17T03:46:36.596+09:00","normal",11,-1,0,0,"1213",106,0.346060917024494,0,0,0,0,0.676225185394287,29.911472,108,1213,1.766176
102,"Bring food","2020-09-17T03:47:01.733+09:00","normal",13,-1,0,0,"1214",106,0.497640948559601,0,0,0,0,0.67121958732605,24.059776,108,1214,1.767632
107,"Take order","2020-09-17T03:47:36.811+09:00","normal",2,-1,0,1,"1215",107,0.442711902079137,0,0,0,0,0.657189846038818,28.706016,108,1215,1.769088
103,"Prepare main course","2020-09-17T03:47:43.383+09:00","normal",8,-1,0,0,"1216",107,0.368818417591883,0,0,0,0,0.684027194976807,29.74252,108,1216,1.770544
103,"Signal food complete","2020-09-17T03:47:48.383+09:00","normal",9,-1,0,0,"1217",107,0.365602333089141,0,0,0,0,0.684558391571045,29.890744,108,1217,1.772
103,"Bring food","2020-09-17T03:48:28.377+09:00","normal",10,-1,0,0,"1218",107,0.358169264304883,0,0,0,0,0.674585580825806,30.094576,108,1218,1.773456
106,"Take order","2020-09-17T03:48:35.648+09:00","normal",2,-1,0,1,"1219",108,0.443899137941638,0,0,0,0,0.658495426177979,28.800336,108,1219,1.774912
107,"Review order","2020-09-17T03:48:38.783+09:00","normal",3,-1,0,0,"1220",108,0.383458853589533,0,0,0,0,0.65237283706665,28.966008,108,1220,1.776368
108,"start","2020-09-17T03:48:57.795+09:00","normal",1,-1,0,0,"1221",108,0.461698456487486,0,0,0,0,0.654039621353149,28.666464,109,1221,1.777824
101,"Deliver to customer","2020-09-17T03:49:08.169+09:00","SkipSequence",9,4,1,0,"1222",108,0.530692519010874,0,0,0,1,0.670244693756104,30.006344,109,1222,1.77928
101,"EVENT 8 END","2020-09-17T03:49:08.169+09:00","SkipSequence",10,4,1,0,"1223",108,0.533526165706734,0,0,0,1,0.67168664932251,30.213392,109,1223,1.780736
104,"prepare drinks","2020-09-17T03:49:27.796+09:00","Early",4,5,0,0,"1224",108,0.328277302518913,0,0,0,0,0.662592887878418,29.10756,109,1224,1.782192
106,"Review order","2020-09-17T03:49:42.965+09:00","normal",3,-1,0,0,"1225",108,0.387417267844792,0,0,0,0,0.666945934295654,29.074248,109,1225,1.783648
104,"Bring drinks","2020-09-17T03:49:46.050+09:00","Early",6,5,1,0,"1226",108,0.342942227246148,0,0,0,0,0.662294626235962,29.327104,109,1226,1.785104
109,"start","2020-09-17T03:49:59.063+09:00","normal",1,-1,0,0,"1227",108,0.461770725894365,0,0,0,0,0.674931526184082,28.782248,110,1227,1.78656
104,"Review drinks","2020-09-17T03:50:18.224+09:00","Early",7,5,1,0,"1228",108,0.342316859105368,0,0,0,0,0.669899940490723,29.547696,110,1228,1.788016
110,"start","2020-09-17T03:50:28.196+09:00","normal",1,-1,0,0,"1229",108,0.461842105384359,0,0,0,0,0.661576986312866,28.852672,111,1229,1.789472
111,"start","2020-09-17T03:51:15.670+09:00","normal",1,-1,0,0,"1230",108,0.461912613939703,0,0,0,0,0.652160882949829,28.910288,112,1230,1.790928
103,"Deliver to customer","2020-09-17T03:51:18.704+09:00","normal",11,-1,0,0,"1231",108,0.366063810866389,0,0,0,0,0.664851665496826,30.184384,112,1231,1.792384
103,"EVENT 8 END","2020-09-17T03:51:18.704+09:00","normal",12,-1,0,0,"1232",108,0.337576384629371,0,0,0,0,0.713660478591919,27.351008,112,1232,1.79384
102,"Deliver to customer","2020-09-17T03:51:24.444+09:00","normal",14,-1,0,0,"1233",108,0.559005406679536,0,0,0,0,0.650399208068848,24.23332,112,1233,1.795296
102,"EVENT 8 END","2020-09-17T03:51:24.444+09:00","normal",15,-1,0,0,"1234",108,0.515435558967749,0,0,0,0,0.67004132270813,23.88592,112,1234,1.796752
105,"prepare drinks","2020-09-17T03:52:00.711+09:00","normal",4,-1,0,0,"1235",108,0.331481799651992,0,0,0,0,0.665470361709595,29.286136,112,1235,1.798208
105,"Bring drinks","2020-09-17T03:52:36.533+09:00","normal",5,-1,0,0,"1236",108,0.341165234555314,0,0,0,0,0.672977447509766,29.494856,112,1236,1.799664
112,"start","2020-09-17T03:52:42.627+09:00","normal",1,-1,0,0,"1237",108,0.461982269972132,0,0,0,0,0.659102439880371,29.038888,113,1237,1.80112
107,"prepare drinks","2020-09-17T03:52:56.338+09:00","normal",4,-1,0,0,"1238",108,0.342990461570167,0,0,0,0,0.654967546463013,29.3728,113,1238,1.802576
105,"Review drinks","2020-09-17T03:53:15.631+09:00","normal",6,-1,0,0,"1239",108,0.338706773607803,0,0,0,0,0.666638135910034,29.729344,113,1239,1.804032
107,"Bring drinks","2020-09-17T03:53:29.609+09:00","normal",5,-1,0,0,"1240",108,0.337219452037267,0,0,0,0,0.655393362045288,29.595824,113,1240,1.805488
108,"Take order","2020-09-17T03:53:41.634+09:00","normal",2,-1,0,1,"1241",109,0.4436403974844,0,0,0,0,0.668666124343872,29.102544,113,1241,1.806944
106,"prepare drinks","2020-09-17T03:54:00.484+09:00","normal",4,-1,0,0,"1242",109,0.342632002187895,0,0,0,0,0.656447649002075,29.470216,113,1242,1.8084
107,"Review drinks","2020-09-17T03:54:01.538+09:00","normal",6,-1,0,0,"1243",109,0.34459989786061,0,0,0,0,0.672921895980835,29.832096,113,1243,1.809856
106,"Bring drinks","2020-09-17T03:54:35.060+09:00","normal",5,-1,0,0,"1244",109,0.34384351609561,0,0,0,0,0.664780855178833,29.6946,113,1244,1.811312
105,"Prepare main course","2020-09-17T03:54:36.540+09:00","normal",7,-1,0,0,"1245",109,0.337732038454089,0,0,0,0,0.665983915328979,29.940512,113,1245,1.812768
108,"Review order","2020-09-17T03:54:39.286+09:00","normal",3,-1,0,0,"1246",109,0.380431642985433,0,0,0,0,0.668889999389648,29.365736,113,1246,1.814224
104,"Prepare starter","2020-09-17T03:54:43.980+09:00","Early",8,5,1,0,"1247",109,0.382786705216464,0,0,0,0,0.665741205215454,30.019336,113,1247,1.81568
109,"Take order","2020-09-17T03:54:58.673+09:00","normal",2,-1,0,1,"1248",110,0.444821336891948,0,0,0,0,0.662268161773682,29.230384,113,1248,1.817136
113,"start","2020-09-17T03:55:00.322+09:00","normal",1,-1,0,0,"1249",110,0.462051091344894,0,0,0,0,0.640010118484497,29.22364,114,1249,1.818592
106,"Review drinks","2020-09-17T03:55:01.847+09:00","normal",6,-1,0,0,"1250",110,0.339855144012889,0,0,0,0,0.691466331481934,29.965912,114,1250,1.820048
110,"Take order","2020-09-17T03:55:13.867+09:00","normal",2,-1,0,1,"1251",111,0.442408305651663,0,0,0,0,0.650209903717041,29.314936,114,1251,1.821504
104,"Prepare main course","2020-09-17T03:55:42.118+09:00","Early",9,5,1,0,"1252",111,0.373332414300409,0,0,0,0,0.683936595916748,30.216536,114,1252,1.82296
104,"Signal food complete","2020-09-17T03:55:47.118+09:00","Early",10,5,1,0,"1253",111,0.364764940263265,0,0,0,0,0.677369356155396,30.425496,114,1253,1.824416
109,"Review order","2020-09-17T03:55:53.250+09:00","normal",3,-1,0,0,"1254",111,0.381244005721684,0,0,0,0,0.675260305404663,29.50744,114,1254,1.825872
114,"start","2020-09-17T03:55:59.402+09:00","normal",1,-1,0,0,"1255",111,0.462119095393702,0,0,0,0,0.66572380065918,29.339936,115,1255,1.827328
115,"start","2020-09-17T03:56:04.764+09:00","Insert",1,8,0,0,"1256",111,0.462186298946749,0,0,0,0,0.64633321762085,29.397504,116,1256,1.828784
111,"Take order","2020-09-17T03:56:12.962+09:00","normal",2,-1,0,1,"1257",112,0.44753621323843,0,0,0,0,0.659182548522949,29.432336,116,1257,1.83024
104,"Bring food","2020-09-17T03:56:23.842+09:00","Early",5,5,1,0,"1258",112,0.367336350135299,0,0,0,0,0.6722252368927,30.678704,116,1258,1.831696
110,"Review order","2020-09-17T03:56:27.012+09:00","normal",3,-1,0,0,"1259",112,0.376838036500061,0,0,0,0,0.670116662979126,29.61692,116,1259,1.833152
106,"Prepare starter","2020-09-17T03:56:47.370+09:00","normal",7,-1,0,0,"1260",112,0.357972470584072,0,0,0,0,0.663180351257324,30.226464,116,1260,1.834608
116,"start","2020-09-17T03:56:48.390+09:00","normal",1,-1,0,0,"1261",112,0.462252718343756,0,0,0,0,0.66938304901123,29.503336,117,1261,1.836064
105,"Prepare starter","2020-09-17T03:56:51.171+09:00","normal",8,-1,0,0,"1262",112,0.411966290624364,0,0,0,0,0.673328399658203,30.389016,117,1262,1.83752
105,"Signal food complete","2020-09-17T03:56:56.171+09:00","normal",9,-1,0,0,"1263",112,0.412050286720845,0,0,0,0,0.690896511077881,30.599424,117,1263,1.838976
107,"Prepare main course","2020-09-17T03:57:03.515+09:00","normal",7,-1,0,0,"1264",112,0.343446789944983,0,0,0,0,0.666804552078247,30.328344,117,1264,1.840432
111,"Review order","2020-09-17T03:57:04.047+09:00","normal",3,-1,0,0,"1265",112,0.38316815099526,0,0,0,0,0.658674716949463,29.735904,117,1265,1.841888
107,"Signal food complete","2020-09-17T03:57:08.515+09:00","normal",8,-1,0,0,"1266",112,0.344709474486894,0,0,0,0,0.675727605819702,30.49536,117,1266,1.843344
112,"Take order","2020-09-17T03:57:31.937+09:00","normal",2,-1,0,1,"1267",113,0.444395217114858,0,0,0,0,0.651940822601318,29.596496,117,1267,1.8448
105,"Bring food","2020-09-17T03:57:35.251+09:00","normal",10,-1,0,0,"1268",113,0.411382633818969,0,0,0,0,0.701907157897949,30.854016,117,1268,1.846256
107,"Bring food","2020-09-17T03:57:41.921+09:00","normal",9,-1,0,0,"1269",113,0.344673962859053,0,0,0,0,0.683423280715942,30.730576,117,1269,1.847712
117,"start","2020-09-17T03:57:45.648+09:00","normal",1,-1,0,0,"1270",113,0.462318369454196,0,0,0,0,0.682855129241943,29.652688,118,1270,1.849168
108,"prepare drinks","2020-09-17T03:57:46.036+09:00","normal",4,-1,0,0,"1271",113,0.337879561013824,0,0,0,0,0.675777673721313,29.85708,118,1271,1.850624
108,"Bring drinks","2020-09-17T03:58:15.968+09:00","normal",5,-1,0,0,"1272",113,0.337786441120044,0,0,0,0,0.693701267242432,30.071032,118,1272,1.85208
112,"Review order","2020-09-17T03:58:27.818+09:00","normal",3,-1,0,0,"1273",113,0.37814197891432,0,0,0,0,0.656045436859131,29.878776,118,1273,1.853536
106,"Prepare main course","2020-09-17T03:58:49.039+09:00","normal",8,-1,0,0,"1274",113,0.360299936536597,0,0,0,0,0.709489345550537,30.644504,118,1274,1.854992
106,"Signal food complete","2020-09-17T03:58:54.039+09:00","normal",9,-1,0,0,"1275",113,0.366424220682558,0,0,0,0,0.700599670410156,30.858264,118,1275,1.856448
106,"Bring food","2020-09-17T03:59:27.071+09:00","normal",10,-1,0,0,"1276",113,0.356112801021979,0,0,0,0,0.696905374526978,31.01,118,1276,1.857904
113,"Take order","2020-09-17T04:00:06.019+09:00","normal",2,-1,0,1,"1277",114,0.444848248984933,0,0,0,0,0.685193300247192,29.75964,118,1277,1.85936
108,"Review drinks","2020-09-17T04:00:34.749+09:00","normal",6,-1,0,0,"1278",114,0.337732598714797,0,0,0,0,0.681975126266479,30.344192,118,1278,1.860816
104,"Deliver to customer","2020-09-17T04:00:45.314+09:00","Early",11,5,1,0,"1279",114,0.35785495818428,0,0,0,0,0.718786716461182,30.797384,118,1279,1.862272
104,"EVENT 8 END","2020-09-17T04:00:45.314+09:00","Early",12,5,1,0,"1280",114,0.343364283693365,0,0,0,0,0.68389892578125,27.970248,118,1280,1.863728
114,"Take order","2020-09-17T04:00:46.122+09:00","normal",2,-1,0,1,"1281",115,0.440681391539191,0,0,0,0,0.69624137878418,29.854912,118,1281,1.865184
118,"start","2020-09-17T04:01:02.478+09:00","normal",1,-1,0,0,"1282",115,0.462383267694654,0,0,0,0,0.669751405715942,29.837912,119,1282,1.86664
105,"Deliver to customer","2020-09-17T04:01:05.056+09:00","normal",11,-1,0,0,"1283",115,0.406801070156473,0,0,0,0,0.718996047973633,30.909624,119,1283,1.868096
105,"EVENT 8 END","2020-09-17T04:01:05.056+09:00","normal",12,-1,0,0,"1284",115,0.421232784192109,0,0,0,0,0.688361406326294,28.079568,119,1284,1.869552
111,"prepare drinks","2020-09-17T04:01:15.673+09:00","normal",4,-1,0,0,"1285",115,0.341376026492272,0,0,0,0,0.704846858978271,30.069328,119,1285,1.871008
119,"start","2020-09-17T04:01:34.595+09:00","normal",1,-1,0,0,"1286",115,0.46244742804543,0,0,0,0,0.67394757270813,29.930768,120,1286,1.872464
107,"Deliver to customer","2020-09-17T04:01:36.175+09:00","normal",10,-1,0,0,"1287",115,0.346115545228455,0,0,0,0,0.708066463470459,31.19764,120,1287,1.87392
107,"EVENT 8 END","2020-09-17T04:01:36.175+09:00","normal",11,-1,0,0,"1288",115,0.343915028425118,0,0,0,0,0.705893754959106,31.027952,120,1288,1.875376
113,"Review order","2020-09-17T04:01:39.309+09:00","normal",3,-1,0,0,"1289",115,0.389436407869584,0,0,0,0,0.684792041778564,30.112504,120,1289,1.876832
114,"Review order","2020-09-17T04:01:40.816+09:00","normal",3,-1,0,0,"1290",115,0.389295921398202,0,0,0,0,0.691483497619629,30.174208,120,1290,1.878288
111,"Bring drinks","2020-09-17T04:01:40.982+09:00","normal",5,-1,0,0,"1291",115,0.342871274356568,0,0,0,0,0.690781593322754,30.342976,120,1291,1.879744
109,"prepare drinks","2020-09-17T04:01:43.082+09:00","normal",4,-1,0,0,"1292",115,0.332054519387254,0,0,0,0,0.719573497772217,30.201728,120,1292,1.8812
115,"Take order","2020-09-17T04:01:47.287+09:00","Insert",2,8,0,1,"1293",116,0.44610488595959,0,0,0,0,0.678369760513306,30.04112,120,1293,1.882656
110,"prepare drinks","2020-09-17T04:02:10.314+09:00","normal",4,-1,0,0,"1294",116,0.332548847668871,0,0,0,0,0.706097841262817,30.276088,120,1294,1.884112
111,"Review drinks","2020-09-17T04:02:11.789+09:00","normal",6,-1,0,0,"1295",116,0.336463148866667,0,0,0,0,0.696150541305542,30.594688,120,1295,1.885568
116,"Take order","2020-09-17T04:02:23.687+09:00","normal",2,-1,0,1,"1296",117,0.446908162045149,0,0,0,0,0.690317392349243,30.12388,120,1296,1.887024
109,"Bring drinks","2020-09-17T04:02:39.366+09:00","normal",5,-1,0,0,"1297",117,0.341010308443466,0,0,0,0,0.693420648574829,30.466632,120,1297,1.88848
115,"Review order","2020-09-17T04:02:44.715+09:00","Insert",3,8,0,0,"1298",117,0.386362034816951,0,0,0,0,0.681657075881958,30.31588,120,1298,1.889936
109,"Review drinks","2020-09-17T04:03:02.082+09:00","normal",6,-1,0,0,"1299",117,0.353431402648074,0,0,0,0,0.694985628128052,30.69728,120,1299,1.891392
116,"Review order","2020-09-17T04:03:09.512+09:00","normal",3,-1,0,0,"1300",117,0.381018237643011,0,0,0,0,0.675960540771484,30.390088,120,1300,1.892848
110,"Bring drinks","2020-09-17T04:03:10.175+09:00","normal",5,-1,0,0,"1301",117,0.344297915120649,0,0,0,0,0.704124212265015,30.565536,120,1301,1.894304
114,"prepare drinks","2020-09-17T04:03:43.341+09:00","normal",4,-1,0,0,"1302",117,0.343111217071982,0,0,0,0,0.674834489822388,30.420968,120,1302,1.89576
112,"prepare drinks","2020-09-17T04:03:47.373+09:00","normal",4,-1,0,0,"1303",117,0.346628074529952,0,0,0,0,0.702086448669434,30.484704,120,1303,1.897216
110,"Review drinks","2020-09-17T04:03:47.569+09:00","normal",6,-1,0,0,"1304",117,0.338955758451286,0,0,0,0,0.691434383392334,30.808296,120,1304,1.898672
117,"Take order","2020-09-17T04:04:04.237+09:00","normal",2,-1,0,1,"1305",118,0.446283831761129,0,0,0,0,0.693578004837036,30.276536,120,1305,1.900128
109,"Prepare main course","2020-09-17T04:04:46.417+09:00","normal",7,-1,0,0,"1306",118,0.338905023928527,0,0,0,0,0.68799877166748,30.869032,120,1306,1.901584
117,"Review order","2020-09-17T04:05:00.923+09:00","normal",3,-1,0,0,"1307",118,0.391358345557202,0,0,0,0,0.672987461090088,30.521136,120,1307,1.90304
106,"Deliver to customer","2020-09-17T04:05:16.159+09:00","normal",11,-1,0,0,"1308",118,0.358897178049319,0,0,0,0,0.711727142333984,31.323544,120,1308,1.904496
106,"EVENT 8 END","2020-09-17T04:05:16.159+09:00","normal",12,-1,0,0,"1309",118,0.341723023333315,0,0,0,0,0.685805320739746,28.43524,120,1309,1.905952
108,"Prepare main course","2020-09-17T04:05:23.706+09:00","normal",7,-1,0,0,"1310",118,0.345356408508074,0,0,0,0,0.698715686798096,30.970792,120,1310,1.907408
109,"Prepare starter","2020-09-17T04:05:29.883+09:00","normal",8,-1,0,0,"1311",118,0.409075272015287,0,0,0,0,0.693036556243896,31.130544,120,1311,1.908864
118,"Take order","2020-09-17T04:05:41.977+09:00","normal",2,-1,0,1,"1312",119,0.44424617586876,0,0,0,0,0.684124231338501,30.405208,120,1312,1.91032
119,"Take order","2020-09-17T04:05:55.319+09:00","normal",2,-1,0,1,"1313",120,0.444336841391018,0,0,0,0,0.675042867660522,30.465968,120,1313,1.911776
111,"Prepare main course","2020-09-17T04:06:04.141+09:00","normal",7,-1,0,0,"1314",120,0.334770494673858,0,0,0,0,0.703050851821899,31.075264,120,1314,1.913232
111,"Prepare starter","2020-09-17T04:06:05.005+09:00","normal",8,-1,0,0,"1315",120,0.392361778100781,0,0,0,0,0.677200794219971,31.233792,120,1315,1.914688
108,"Signal food complete","2020-09-17T04:06:09.141+09:00","normal",8,-1,0,0,"1316",120,0.34573015141162,0,0,0,0,0.67899227142334,31.304888,120,1316,1.916144
109,"Signal food complete","2020-09-17T04:06:14.141+09:00","normal",9,-1,0,0,"1317",120,0.427218846884486,0,0,0,0,0.657726526260376,31.40268,120,1317,1.9176
111,"Signal food complete","2020-09-17T04:06:19.141+09:00","normal",9,-1,0,0,"1318",120,0.406758217130263,0,0,0,0,0.682060241699219,31.472168,120,1318,1.919056
119,"Review order","2020-09-17T04:06:50.965+09:00","normal",3,-1,0,0,"1319",120,0.389346655541325,0,0,0,0,0.654077053070068,30.709864,120,1319,1.920512
108,"Bring food","2020-09-17T04:06:51.314+09:00","normal",9,-1,0,0,"1320",120,0.343673322338787,0,0,0,0,0.686495304107666,31.557568,120,1320,1.921968
118,"Review order","2020-09-17T04:06:56.515+09:00","normal",3,-1,0,0,"1321",120,0.380039935554903,0,0,0,0,0.675314426422119,30.782896,120,1321,1.923424
113,"prepare drinks","2020-09-17T04:07:17.662+09:00","normal",4,-1,0,0,"1322",120,0.339667171311034,0,0,0,0,0.656938076019287,30.754856,120,1322,1.92488
109,"Bring food","2020-09-17T04:07:30.034+09:00","normal",10,-1,0,0,"1323",120,0.427878139193395,0,0,0,0,0.679123640060425,31.674976,120,1323,1.926336
110,"Prepare main course","2020-09-17T04:07:45.715+09:00","normal",7,-1,0,0,"1324",120,0.339714536981851,0,0,0,0,0.665565729141235,31.245952,120,1324,1.927792
114,"Bring drinks","2020-09-17T04:07:46.244+09:00","normal",5,-1,0,0,"1325",120,0.343227673770905,0,0,0,0,0.678340673446655,30.895776,120,1325,1.929248
111,"Bring food","2020-09-17T04:08:09.406+09:00","normal",10,-1,0,0,"1326",120,0.405552307565928,0,0,0,0,0.671511650085449,31.768848,120,1326,1.930704
114,"Review drinks","2020-09-17T04:08:09.790+09:00","normal",6,-1,0,0,"1327",120,0.349047747591668,0,0,0,0,0.687744379043579,31.129784,120,1327,1.93216
112,"Bring drinks","2020-09-17T04:08:21.558+09:00","normal",5,-1,0,0,"1328",120,0.34214024827007,0,0,0,0,0.66126561164856,30.982208,120,1328,1.933616
111,"prepare drinks","2020-09-17T04:08:24.126+09:00","normal",11,-1,0,0,"1329",120,0.488418038879623,0,0,0,0,0.706745147705078,31.627208,120,1329,1.935072
112,"Prepare main course","2020-09-17T04:08:30.146+09:00","normal",6,-1,0,0,"1330",120,0.462874703576604,0,0,0,0,0.666481733322144,31.217704,120,1330,1.936528
110,"Signal food complete","2020-09-17T04:08:35.146+09:00","normal",8,-1,0,0,"1331",120,0.34073257020075,0,0,0,0,0.686548233032227,31.53528,120,1331,1.937984
112,"Signal food complete","2020-09-17T04:08:40.146+09:00","normal",7,-1,0,0,"1332",120,0.414851989196241,0,0,0,0,0.677310228347778,31.396288,120,1332,1.93944
112,"Review drinks","2020-09-17T04:08:48.875+09:00","normal",8,-1,0,0,"1333",120,0.452926902203087,0,0,0,0,0.685169458389282,31.618688,120,1333,1.940896
115,"prepare drinks","2020-09-17T04:08:51.461+09:00","Insert",4,8,0,0,"1334",120,0.333041792850594,0,0,0,0,0.665220737457275,30.943888,120,1334,1.942352
120,"start","2020-09-17T04:10:10.316+09:00","normal",1,-1,0,0,"1335",120,0.462510865066387,0,0,0,0,0.658800363540649,30.541328,121,1335,1.943808
116,"prepare drinks","2020-09-17T04:10:34.169+09:00","normal",4,-1,0,0,"1336",120,0.336290591821813,0,0,0,0,0.673883199691772,31.019928,121,1336,1.945264
113,"Bring drinks","2020-09-17T04:11:02.558+09:00","normal",5,-1,0,0,"1337",120,0.345809137747764,0,0,0,0,0.658697366714478,31.141272,121,1337,1.94672
114,"Prepare main course","2020-09-17T04:11:07.671+09:00","normal",7,-1,0,0,"1338",120,0.340480014757224,0,0,0,0,0.685473442077637,31.521104,121,1338,1.948176
109,"Deliver to customer","2020-09-17T04:11:07.755+09:00","normal",11,-1,0,0,"1339",120,0.405434572388516,0,0,0,0,0.678854703903198,31.808088,121,1339,1.949632
109,"EVENT 8 END","2020-09-17T04:11:07.755+09:00","normal",12,-1,0,0,"1340",120,0.381462800769831,0,0,0,0,0.681795597076416,28.853624,121,1340,1.951088
114,"Prepare starter","2020-09-17T04:11:24.255+09:00","normal",8,-1,0,0,"1341",120,0.416276013227463,0,0,0,0,0.675954818725586,31.76804,121,1341,1.952544
114,"Signal food complete","2020-09-17T04:11:29.255+09:00","normal",9,-1,0,0,"1342",120,0.398448125432261,0,0,0,0,0.705905914306641,31.869,121,1342,1.954
111,"Bring drinks","2020-09-17T04:11:30.611+09:00","normal",12,-1,0,0,"1343",120,0.512554675154864,0,0,0,0,0.669177293777466,28.956824,121,1343,1.955456
113,"Review drinks","2020-09-17T04:11:36.133+09:00","normal",6,-1,0,0,"1344",120,0.346825895983281,0,0,0,0,0.686552047729492,31.435256,121,1344,1.956912
113,"Prepare main course","2020-09-17T04:11:37.425+09:00","normal",7,-1,0,0,"1345",120,0.337414718240097,0,0,0,0,0.689944744110107,31.660976,121,1345,1.958368
116,"Prepare starter","2020-09-17T04:11:38.244+09:00","normal",5,-1,0,0,"1346",120,0.427495679783526,0,0,0,0,0.67706561088562,31.296672,121,1346,1.959824
