"Case","Activity","timestamp","anomaly_type","order","loc","label","start","Event","num_case","leverage","t1","t2","t3","tn","time","Mb","Nc","Ne","MMb"
103,"Prepare starter","2020-09-17T03:44:39.165+09:00","normal",7,-1,0,0,"1201",105,1,0,0,0,1,5.87301754951477,NA,108,1201,NA
102,"Prepare starter","2020-09-17T03:44:40.735+09:00","normal",7,-1,0,0,"1202",105,1,0,0,0,1,0.377107381820679,25.967144,108,1202,1.75016
104,"Review order","2020-09-17T03:44:50.120+09:00","Early",3,5,0,0,"1203",105,0,0,0,0,0,0.295182466506958,24.19696,108,1203,1.751616
101,"Bring food","2020-09-17T03:45:12.727+09:00","SkipSequence",8,4,1,0,"1204",105,0,0,0,0,0,0.61292028427124,25.934984,108,1204,1.753072
102,"prepare drinks","2020-09-17T03:45:14.492+09:00","normal",8,-1,0,0,"1205",105,0,0,0,0,0,0.316892623901367,25.970648,108,1205,1.754528
105,"Take order","2020-09-17T03:45:25.489+09:00","normal",2,-1,0,1,"1206",106,0,0,0,0,0,0.293486595153809,23.93284,108,1206,1.755984
102,"Bring drinks","2020-09-17T03:45:40.945+09:00","normal",9,-1,0,0,"1207",106,0,0,0,0,0,0.330121994018555,26.329816,108,1207,1.75744
105,"Review order","2020-09-17T03:46:07.217+09:00","normal",3,-1,0,0,"1208",106,0,0,0,0,0,0.273648977279663,24.259344,108,1208,1.758896
102,"Review drinks","2020-09-17T03:46:13.573+09:00","normal",10,-1,0,0,"1209",106,0,0,0,0,0,0.317004680633545,26.684096,108,1209,1.760352
102,"Prepare main course","2020-09-17T03:46:23.848+09:00","normal",11,-1,0,0,"1210",106,0,0,0,0,0,0.315451860427856,26.534232,108,1210,1.761808
102,"Signal food complete","2020-09-17T03:46:28.848+09:00","normal",12,-1,0,0,"1211",106,0,0,0,0,0,0.308008193969727,25.261024,108,1211,1.763264
100,"Deliver to customer","2020-09-17T03:46:36.596+09:00","normal",10,-1,0,0,"1212",106,1,0,0,0,1,0.312268972396851,26.742088,108,1212,1.76472
100,"EVENT 8 END","2020-09-17T03:46:36.596+09:00","normal",11,-1,0,0,"1213",106,1,0,0,0,0,0.330009937286377,26.593224,108,1213,1.766176
102,"Bring food","2020-09-17T03:47:01.733+09:00","normal",13,-1,0,0,"1214",106,1,0,0,0,1,0.29927134513855,23.656168,108,1214,1.767632
107,"Take order","2020-09-17T03:47:36.811+09:00","normal",2,-1,0,1,"1215",107,0,0,0,0,0,0.589128494262695,24.04264,108,1215,1.769088
103,"Prepare main course","2020-09-17T03:47:43.383+09:00","normal",8,-1,0,0,"1216",107,0,0,0,0,0,0.289257287979126,26.115008,108,1216,1.770544
103,"Signal food complete","2020-09-17T03:47:48.383+09:00","normal",9,-1,0,0,"1217",107,1,0,0,0,0,0.320482492446899,NA,108,1217,NA
103,"Bring food","2020-09-17T03:48:28.377+09:00","normal",10,-1,0,0,"1218",107,0,0,0,0,0,0.32370138168335,26.850736,108,1218,1.773456
106,"Take order","2020-09-17T03:48:35.648+09:00","normal",2,-1,0,1,"1219",108,0,0,0,0,0,0.26832103729248,24.092328,108,1219,1.774912
107,"Review order","2020-09-17T03:48:38.783+09:00","normal",3,-1,0,0,"1220",108,1,0,0,0,0,0.613059282302856,NA,108,1220,NA
108,"start","2020-09-17T03:48:57.795+09:00","normal",1,-1,0,0,"1221",108,0,0,0,0,0,0.291173934936523,23.920648,109,1221,1.777824
101,"Deliver to customer","2020-09-17T03:49:08.169+09:00","SkipSequence",9,4,1,0,"1222",108,0,0,0,0,0,0.318465709686279,26.55276,109,1222,1.77928
101,"EVENT 8 END","2020-09-17T03:49:08.169+09:00","SkipSequence",10,4,1,0,"1223",108,0,0,0,0,0,0.299148797988892,26.927264,109,1223,1.780736
104,"prepare drinks","2020-09-17T03:49:27.796+09:00","Early",4,5,0,0,"1224",108,1,0,0,0,0,0.302070379257202,NA,109,1224,NA
106,"Review order","2020-09-17T03:49:42.965+09:00","normal",3,-1,0,0,"1225",108,1,0,0,0,0,0.301867246627808,24.47,109,1225,1.783648
104,"Bring drinks","2020-09-17T03:49:46.050+09:00","Early",6,5,1,0,"1226",108,1,0,0,0,0,0.321763277053833,25.166824,109,1226,1.785104
109,"start","2020-09-17T03:49:59.063+09:00","normal",1,-1,0,0,"1227",108,0,0,0,0,0,0.379381656646729,23.992344,110,1227,1.78656
104,"Review drinks","2020-09-17T03:50:18.224+09:00","Early",7,5,1,0,"1228",108,1,0,0,0,0,0.331658840179443,25.525848,110,1228,1.788016
110,"start","2020-09-17T03:50:28.196+09:00","normal",1,-1,0,0,"1229",108,0,0,0,0,0,0.287249326705933,24.019,111,1229,1.789472
111,"start","2020-09-17T03:51:15.670+09:00","normal",1,-1,0,0,"1230",108,0,0,0,0,0,0.193346500396729,24.032528,112,1230,1.790928
103,"Deliver to customer","2020-09-17T03:51:18.704+09:00","normal",11,-1,0,0,"1231",108,1,0,0,0,1,0.18955659866333,26.832632,112,1231,1.792384
103,"EVENT 8 END","2020-09-17T03:51:18.704+09:00","normal",12,-1,0,0,"1232",108,1,0,0,0,0,0.367549896240234,25.52608,112,1232,1.79384
102,"Deliver to customer","2020-09-17T03:51:24.444+09:00","normal",14,-1,0,0,"1233",108,0,0,0,0,0,0.379310369491577,23.841408,112,1233,1.795296
102,"EVENT 8 END","2020-09-17T03:51:24.444+09:00","normal",15,-1,0,0,"1234",108,0,0,0,0,0,0.324228048324585,23.731456,112,1234,1.796752
105,"prepare drinks","2020-09-17T03:52:00.711+09:00","normal",4,-1,0,0,"1235",108,1,0,0,0,0,0.363304138183594,24.907128,112,1235,1.798208
105,"Bring drinks","2020-09-17T03:52:36.533+09:00","normal",5,-1,0,0,"1236",108,1,0,0,0,0,0.406529188156128,25.292984,112,1236,1.799664
112,"start","2020-09-17T03:52:42.627+09:00","normal",1,-1,0,0,"1237",108,0,0,0,0,0,0.358348608016968,24.117384,113,1237,1.80112
107,"prepare drinks","2020-09-17T03:52:56.338+09:00","normal",4,-1,0,0,"1238",108,1,0,0,0,0,0.327230215072632,24.952464,113,1238,1.802576
105,"Review drinks","2020-09-17T03:53:15.631+09:00","normal",6,-1,0,0,"1239",108,1,0,0,0,0,0.364352703094482,25.666816,113,1239,1.804032
107,"Bring drinks","2020-09-17T03:53:29.609+09:00","normal",5,-1,0,0,"1240",108,0,0,0,0,0,0.359533786773682,25.35444,113,1240,1.805488
108,"Take order","2020-09-17T03:53:41.634+09:00","normal",2,-1,0,1,"1241",109,0,0,0,0,0,0.365017652511597,NA,113,1241,NA
106,"prepare drinks","2020-09-17T03:54:00.484+09:00","normal",4,-1,0,0,"1242",109,1,0,0,0,0,0.403328657150269,25.007088,113,1242,1.8084
107,"Review drinks","2020-09-17T03:54:01.538+09:00","normal",6,-1,0,0,"1243",109,1,0,0,0,0,0.342230081558228,25.731496,113,1243,1.809856
106,"Bring drinks","2020-09-17T03:54:35.060+09:00","normal",5,-1,0,0,"1244",109,0,0,0,0,0,0.362581014633179,25.411624,113,1244,1.811312
105,"Prepare main course","2020-09-17T03:54:36.540+09:00","normal",7,-1,0,0,"1245",109,0,0,0,0,0,0.39705491065979,26.098824,113,1245,1.812768
108,"Review order","2020-09-17T03:54:39.286+09:00","normal",3,-1,0,0,"1246",109,1,0,0,0,0,0.341172695159912,24.718744,113,1246,1.814224
