"Case","Activity","timestamp","anomaly_type","order","loc","label","start","Event","num_case","leverage","t1","t2","t3","tn","time","Mb","Nc","Ne","MMb"
"case_10549","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"604",2,0,0,0,0,0,1.20372748374939,55.334336,602,604,1.048624
"case_10550","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"605",2,0,0,0,0,0,0.0659842491149902,14.664928,603,605,2.0972
"case_10551","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"606",2,0,0,0,0,0,0.0533092021942139,14.285096,604,606,2.0972
"case_10552","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"607",2,0,0,0,0,0,0.0271289348602295,14.285944,605,607,2.0972
"case_10553","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"608",2,0,0,0,0,0,0.22760796546936,14.286664,606,608,2.0972
"case_10554","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"609",2,0,0,0,0,0,0.0204215049743652,14.287512,607,609,2.0972
"case_10555","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"610",2,0,0,0,0,0,0.0290324687957764,14.288232,608,610,2.0972
"case_10556","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"611",2,0,0,0,0,0,0.0201797485351562,14.28908,609,611,2.0972
"case_10557","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"612",2,0,0,0,0,0,0.0266437530517578,14.2898,610,612,2.0972
"case_10558","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"613",2,0,0,0,0,0,0.0202605724334717,14.290648,611,613,2.0972
"case_10559","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"614",2,0,0,0,0,0,0.0255138874053955,14.291368,612,614,2.0972
"case_1056","Activity A","1970-01-01T09:00:00.000+09:00","Insert",2,1,1,0,"615",2,0,0,0,0,0,0.0253238677978516,14.292216,613,615,2.0972
"case_10560","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"616",2,0,0,0,0,0,0.0258586406707764,14.292936,614,616,2.0972
"case_10561","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"617",2,0,0,0,0,0,0.020411491394043,14.293784,615,617,2.0972
"case_10562","Activity A","1970-01-01T09:00:00.000+09:00","Rework",1,7,0,0,"618",2,0,0,0,0,0,0.0256843566894531,14.294504,616,618,2.0972
"case_10563","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"619",2,0,0,0,0,0,0.0201833248138428,14.295352,617,619,2.0972
"case_10564","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"620",2,0,0,0,0,0,0.0263984203338623,14.296232,618,620,2.0972
"case_10565","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"621",2,0,0,0,0,0,0.0261099338531494,14.297048,619,621,2.0972
"case_10566","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"622",2,0,0,0,0,0,0.0205192565917969,14.2978,620,622,2.0972
"case_10567","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"623",2,0,0,0,0,0,0.0265786647796631,14.298616,621,623,2.0972
"case_10568","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"624",2,0,0,0,0,0,0.0205874443054199,14.299368,622,624,2.0972
"case_10569","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"625",2,0,0,0,0,0,0.0260448455810547,14.300184,623,625,2.0972
"case_1057","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"626",2,0,0,0,0,0,0.0263423919677734,14.300936,624,626,2.0972
"case_10570","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"627",2,0,0,0,0,0,0.0278997421264648,14.301752,625,627,2.0972
"case_10571","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"628",2,0,0,0,0,0,0.02077317237854,14.302504,626,628,2.0972
"case_10572","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"629",2,0,0,0,0,0,0.0268855094909668,14.30332,627,629,2.0972
"case_10573","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"630",2,0,0,0,0,0,0.0267257690429688,14.304072,628,630,2.0972
"case_10574","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"631",2,0,0,0,0,0,0.0279297828674316,14.304888,629,631,2.0972
"case_10576","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"632",2,0,0,0,0,0,0.0248572826385498,14.30564,630,632,2.0972
"case_10577","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"633",2,0,0,0,0,0,0.0281879901885986,14.306456,631,633,2.0972
"case_10578","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"634",2,0,0,0,0,0,0.0211739540100098,14.307208,632,634,2.0972
"case_10579","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"635",2,0,0,0,0,0,0.0231673717498779,14.308024,633,635,2.0972
"case_1058","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"636",2,0,0,0,0,0,0.0206007957458496,14.308776,634,636,2.0972
"case_10580","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"637",2,0,0,0,0,0,0.022409200668335,14.309592,635,637,2.0972
"case_10581","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"638",2,0,0,0,0,0,0.027623176574707,14.310344,636,638,2.0972
"case_10582","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"639",2,0,0,0,0,0,0.0215835571289062,14.31116,637,639,2.0972
"case_10583","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"640",2,0,0,0,0,0,0.244490146636963,14.31204,638,640,2.0972
"case_10584","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"641",2,0,0,0,0,0,0.0211436748504639,14.312888,639,641,2.0972
"case_10585","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"642",2,0,0,0,0,0,0.0205323696136475,14.313608,640,642,2.0972
"case_10586","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"643",2,0,0,0,0,0,0.0242013931274414,14.314456,641,643,2.0972
"case_10587","Activity A","1970-01-01T09:00:00.000+09:00","Late",1,5,0,0,"644",2,0,0,0,0,0,0.0290019512176514,14.315176,642,644,2.0972
"case_10588","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"645",2,0,0,0,0,0,0.0215330123901367,14.316024,643,645,2.0972
"case_10589","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"646",2,0,0,0,0,0,0.0207891464233398,14.316744,644,646,2.0972
"case_1059","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"647",2,0,0,0,0,0,0.0262961387634277,14.317592,645,647,2.0972
