"Case","Activity","timestamp","anomaly_type","order","loc","label","start","Event","num_case","leverage","t1","t2","t3","tn","time","Mb","Nc","Ne","MMb"
"1-691759626","Accepted+In Progress","2012-03-02T19:08:21.000+09:00","normal",6,-1,0,0,"1870",101,0,0,0,0,0,4.70960140228271,NA,101,1019,NA
"1-690436171","Accepted+In Progress","2012-03-02T19:23:34.000+09:00","normal",7,-1,0,0,"1871",101,0,0,0,0,0,0.922754287719727,NA,101,1020,NA
"1-690436171","Accepted+Assigned","2012-03-02T19:23:56.000+09:00","normal",8,-1,0,0,"1872",101,0,0,0,0,0,0.570282220840454,NA,101,1021,NA
"1-690436171","Accepted+In Progress","2012-03-02T19:54:15.000+09:00","normal",9,-1,0,0,"1873",101,0,0,0,0,0,0.807407379150391,56.968856,101,1022,6.31192
"1-657323705","Accepted+In Progress","2012-03-02T19:56:12.000+09:00","normal",4,-1,0,0,"1874",101,1,0,0,0,0,0.568360567092896,57.284936,101,1023,6.318096
"1-690436171","Accepted+Wait","2012-03-02T19:58:16.000+09:00","normal",10,-1,0,0,"1875",101,0,0,0,0,0,0.779058456420898,NA,101,1024,NA
"1-690436171","Accepted+Wait","2012-03-02T19:59:04.000+09:00","normal",11,-1,0,0,"1876",101,0,0,0,0,0,1.08008885383606,NA,101,1025,NA
"1-690436171","Accepted+Wait - User","2012-03-02T20:02:12.000+09:00","normal",12,-1,0,0,"1877",101,0,0,0,0,0,1.07825398445129,56.925832,101,1026,6.336624
"1-691759626","Queued+Awaiting Assignment","2012-03-02T20:05:56.000+09:00","normal",7,-1,0,0,"1878",101,1,0,0,0,0,1.09321165084839,NA,101,1027,NA
"1-690436171","Accepted+Wait","2012-03-02T21:37:27.000+09:00","normal",13,-1,0,0,"1879",101,0,0,0,0,0,1.09624242782593,NA,101,1028,NA
"1-690436171","Queued+Awaiting Assignment","2012-03-02T21:37:57.000+09:00","normal",14,-1,0,0,"1880",101,0,0,0,0,0,1.05394315719604,56.955352,101,1029,6.355152
"1-691950241","Accepted+In Progress","2012-03-02T21:54:58.000+09:00","normal",1,-1,0,0,"1881",101,0,0,0,0,0,1.24257779121399,NA,102,1030,NA
"1-691782323","Accepted+In Progress","2012-03-02T21:57:12.000+09:00","normal",1,-1,0,0,"1882",101,0,0,0,0,0,0.932987451553345,57.070104,103,1031,6.367504
"1-691950241","Accepted+In Progress","2012-03-02T21:57:36.000+09:00","normal",2,-1,0,1,"1883",102,1,0,0,0,0,0.947590112686157,NA,103,1032,NA
"1-691782323","Accepted+In Progress","2012-03-02T21:58:20.000+09:00","normal",2,-1,0,1,"1884",103,1,0,0,0,0,1.25572991371155,NA,102,1027,NA
"1-691950241","Queued+Awaiting Assignment","2012-03-02T22:03:11.000+09:00","normal",3,-1,0,0,"1885",103,0,0,0,0,0,0.987009048461914,NA,101,1001,NA
"1-691782323","Queued+Awaiting Assignment","2012-03-02T22:03:31.000+09:00","normal",3,-1,0,0,"1886",103,0,0,0,0,0,1.34605312347412,NA,101,1002,NA
"1-691971107","Accepted+In Progress","2012-03-02T22:26:55.000+09:00","normal",1,-1,0,0,"1887",103,1,0,0,0,0,1.01335430145264,55.743648,102,1003,6.194576
"1-691971107","Accepted+In Progress","2012-03-02T22:27:14.000+09:00","normal",2,-1,0,1,"1888",104,0,0,0,0,0,1.01829385757446,60.220912,102,1004,6.184688
"1-683762637","Accepted+Wait - User","2012-03-02T22:32:57.000+09:00","normal",19,-1,0,0,"1889",104,0,0,0,0,0,0.844528436660767,NA,101,935,NA
"1-683762637","Accepted+Wait - User","2012-03-02T22:34:19.000+09:00","normal",20,-1,0,0,"1890",104,0,0,0,0,0,0.911429405212402,47.545488,101,936,5.12184
"1-691971107","Queued+Awaiting Assignment","2012-03-02T22:42:23.000+09:00","normal",3,-1,0,0,"1891",104,0,0,0,0,0,0.870737552642822,48.620336,101,937,5.127312
"1-691971107","Accepted+In Progress","2012-03-02T23:00:41.000+09:00","normal",4,-1,0,0,"1892",104,0,0,0,0,0,0.830158948898315,NA,101,938,NA
"1-691971107","Queued+Awaiting Assignment","2012-03-02T23:02:08.000+09:00","normal",5,-1,0,0,"1893",104,0,0,0,0,0,0.785753965377808,48.853328,101,939,5.138256
"1-690436171","Accepted+In Progress","2012-03-02T23:41:04.000+09:00","normal",15,-1,0,0,"1894",104,0,0,0,0,0,1.13686013221741,NA,101,940,NA
"1-690436171","Completed+Resolved","2012-03-02T23:43:18.000+09:00","normal",16,-1,0,0,"1895",104,0,0,0,0,0,0.715314865112305,47.851632,101,941,5.1492
"1-660730501","Queued+Awaiting Assignment","2012-03-03T00:13:48.000+09:00","normal",24,-1,0,0,"1896",104,0,0,0,0,0,0.817137479782104,NA,101,942,NA
"1-692067345","Accepted+In Progress","2012-03-03T04:28:11.000+09:00","normal",1,-1,0,0,"1897",104,1,0,0,0,0,0.869084119796753,48.326096,102,943,5.160144
"1-692067345","Accepted+In Progress","2012-03-03T04:30:42.000+09:00","normal",2,-1,0,1,"1898",105,0,0,0,0,0,1.27367687225342,53.953912,102,944,5.150512
"1-692067345","Queued+Awaiting Assignment","2012-03-03T04:40:14.000+09:00","normal",3,-1,0,0,"1899",105,0,0,0,0,0,0.866937398910522,NA,101,939,NA
"1-687085471","Accepted+Wait - User","2012-03-04T02:44:12.000+09:00","normal",16,-1,0,0,"1900",105,0,0,0,0,0,0.908713817596436,NA,101,940,NA
"1-691782323","Accepted+In Progress","2012-03-05T09:55:19.000+09:00","normal",4,-1,0,0,"1901",105,0,0,0,0,0,0.830934762954712,48.847968,101,941,5.1492
"1-691759626","Accepted+In Progress","2012-03-05T10:10:28.000+09:00","normal",8,-1,0,0,"1902",105,0,0,0,0,0,0.820051193237305,48.626008,101,942,5.154672
"1-691759626","Accepted+Wait - User","2012-03-05T10:10:56.000+09:00","normal",9,-1,0,0,"1903",105,1,0,0,0,0,0.805555820465088,48.71248,101,943,5.160144
"1-692067345","Accepted+In Progress","2012-03-05T14:10:42.000+09:00","normal",4,-1,0,0,"1904",105,1,0,0,0,0,0.814954042434692,48.97636,101,944,5.165616
"1-692067345","Accepted+Wait","2012-03-05T14:13:46.000+09:00","normal",5,-1,0,0,"1905",105,1,0,0,0,1,0.806523084640503,NA,101,945,NA
"1-691782323","Accepted+Wait - Customer","2012-03-05T14:35:04.000+09:00","normal",5,-1,0,0,"1906",105,0,0,0,0,0,0.790238618850708,NA,101,946,NA
"1-692067345","Accepted+In Progress","2012-03-05T14:45:09.000+09:00","normal",6,-1,0,0,"1907",105,0,0,0,0,0,1.09170174598694,NA,101,947,NA
"1-692067345","Queued+Awaiting Assignment","2012-03-05T14:48:41.000+09:00","normal",7,-1,0,0,"1908",105,1,0,0,0,1,0.564148664474487,NA,101,948,NA
"1-692758611","Accepted+In Progress","2012-03-05T15:21:37.000+09:00","normal",1,-1,0,0,"1909",105,1,0,0,0,0,0.450192451477051,NA,102,949,NA
"1-692758611","Accepted+In Progress","2012-03-05T15:22:41.000+09:00","normal",2,-1,0,1,"1910",106,0,0,0,0,0,0.454256057739258,53.348464,102,950,5.183248
"1-691971107","Accepted+In Progress","2012-03-05T15:30:20.000+09:00","normal",6,-1,0,0,"1911",106,1,0,0,0,1,0.816730976104736,47.733696,101,916,5.0124
"1-692758611","Queued+Awaiting Assignment","2012-03-05T15:46:47.000+09:00","normal",3,-1,0,0,"1912",106,0,0,0,0,0,0.718186855316162,NA,101,917,NA
"1-692758994","Accepted+In Progress","2012-03-05T15:52:47.000+09:00","normal",1,-1,0,0,"1913",106,1,0,0,0,0,0.797945261001587,47.335288,102,918,5.023344
"1-692758994","Accepted+In Progress","2012-03-05T15:53:02.000+09:00","normal",2,-1,0,1,"1914",107,0,0,0,0,0,0.742969751358032,52.66752,102,919,5.014112
"1-692758994","Queued+Awaiting Assignment","2012-03-05T15:55:20.000+09:00","normal",3,-1,0,0,"1915",107,0,0,0,0,0,0.818153381347656,47.513976,101,909,4.974096
"1-690436171","Queued+Awaiting Assignment","2012-03-05T15:56:39.000+09:00","normal",17,-1,0,0,"1916",107,0,0,0,0,0,0.893950700759888,46.614512,101,910,4.979568
"1-691971107","Queued+Awaiting Assignment","2012-03-05T16:17:04.000+09:00","normal",7,-1,0,0,"1917",107,1,0,0,0,1,0.842769145965576,47.590576,101,911,4.98504
"1-692755228","Accepted+In Progress","2012-03-05T16:22:42.000+09:00","normal",1,-1,0,0,"1918",107,1,0,0,0,0,0.84663987159729,NA,102,912,NA
"1-692755228","Accepted+In Progress","2012-03-05T16:22:55.000+09:00","normal",2,-1,0,1,"1919",108,0,0,0,0,0,0.866385936737061,52.488784,102,913,4.981376
"1-692755228","Accepted+Wait - Implementation","2012-03-05T16:29:09.000+09:00","normal",3,-1,0,0,"1920",108,0,0,0,0,0,0.741793155670166,47.425264,101,906,4.95768
"1-690839783","Accepted+In Progress","2012-03-05T17:25:36.000+09:00","normal",8,-1,0,0,"1921",108,1,0,0,0,1,0.917758226394653,NA,101,907,NA
"1-691049627","Accepted+In Progress","2012-03-05T17:41:14.000+09:00","Early",8,2,1,0,"1922",108,0,0,0,0,0,1.21769499778748,NA,101,908,NA
