"Case","Activity","timestamp","anomaly_type","order","loc","label","start","Event","num_case","leverage","t1","t2","t3","tn","time","Mb","Nc","Ne","MMb"
3883,6,"2010-03-17T18:09:00.000+09:00","normal",4,-1,0,0,"380",101,1,0,0,0,1,1.6484591960907,NA,108,365,NA
90,6,"2010-03-17T18:49:00.000+09:00","normal",3,-1,0,0,"381",101,1,0,0,0,0,0.099799633026123,4.43984,108,366,0.262192
3168,6,"2010-03-17T19:05:00.000+09:00","normal",3,-1,0,0,"382",101,1,0,0,0,0,0.0448627471923828,4.069512,108,367,0.262192
2502,6,"2010-03-17T20:10:00.000+09:00","normal",3,-1,0,0,"383",101,1,0,0,0,0,0.0402870178222656,4.078984,108,368,0.262192
3203,1,"2010-03-17T22:26:00.000+09:00","normal",1,-1,0,0,"384",101,1,0,0,0,0,0.0425970554351807,3.750952,109,369,0.262192
2619,1,"2010-03-17T22:29:00.000+09:00","normal",1,-1,0,0,"385",101,0,0,0,0,0,0.0392756462097168,3.755752,110,370,0.262192
2619,8,"2010-03-17T22:29:00.000+09:00","normal",2,-1,0,1,"386",102,1,0,0,0,0,0.0454788208007812,4.199352,110,371,0.262192
92,6,"2010-03-18T18:27:00.000+09:00","normal",3,-1,0,0,"387",102,0,0,0,0,0,0.0418522357940674,4.07604,109,367,0.262192
2619,9,"2010-03-18T20:18:00.000+09:00","normal",3,-1,0,0,"388",102,0,0,0,0,0,0.0383195877075195,4.0838,109,368,0.262192
2874,1,"2010-03-18T20:38:00.000+09:00","normal",1,-1,0,0,"389",102,0,0,0,0,0,0.0377016067504883,3.752696,110,369,0.262192
1527,1,"2010-03-18T20:41:00.000+09:00","normal",1,-1,0,0,"390",102,0,0,0,0,0,0.0363583564758301,3.758216,111,370,0.262192
1527,1,"2010-03-18T20:41:00.000+09:00","normal",2,-1,0,1,"391",103,1,0,0,0,0,0.0564041137695312,4.20376,111,371,0.262192
1527,8,"2010-03-18T20:42:00.000+09:00","normal",3,-1,0,0,"392",103,0,0,0,0,0,0.0382378101348877,4.08744,110,369,0.262192
