"Case","Activity","timestamp","anomaly_type","order","loc","label","start","Event","num_case","leverage","t1","t2","t3","tn","time","Mb","Nc","Ne","MMb"
"BXA","NEW","2012-12-27T15:43:21.000+09:00","normal",1,-1,0,0,"639",101,0,0,0,0,0,1.88066339492798,NA,303,415,NA
"EHA","NEW","2012-12-27T15:45:18.000+09:00","normal",1,-1,0,0,"640",101,0,0,0,0,0,0.130574464797974,10.066024,304,416,1.048624
"EHA","CHANGE DIAGN","2012-12-27T15:45:33.000+09:00","normal",2,-1,0,1,"641",102,0,0,0,0,0,0.0611543655395508,9.707728,304,417,1.048624
"OHA","NEW","2012-12-27T15:57:19.000+09:00","normal",1,-1,0,0,"642",102,0,0,0,0,0,0.0576398372650146,9.686976,304,416,1.048624
"KF","NEW","2012-12-27T16:21:27.000+09:00","normal",1,-1,0,0,"643",102,0,0,0,0,0,0.0871272087097168,9.691096,305,417,1.048624
"OHA","CHANGE DIAGN","2012-12-27T16:28:01.000+09:00","normal",2,-1,0,1,"644",103,0,0,0,0,0,0.0563509464263916,9.710208,305,418,1.048624
"ZWA","NEW","2012-12-27T16:28:04.000+09:00","normal",1,-1,0,0,"645",103,0,0,0,0,0,0.0811746120452881,9.691096,305,417,1.048624
"ZWA","CHANGE DIAGN","2012-12-27T16:28:19.000+09:00","normal",2,-1,0,1,"646",104,0,0,0,0,0,0.13915491104126,9.710208,305,418,1.048624
"QG","NEW","2012-12-27T16:39:43.000+09:00","normal",1,-1,0,0,"647",104,0,0,0,0,0,0.0581367015838623,9.691096,305,417,1.048624
"JK","NEW","2012-12-27T16:42:51.000+09:00","normal",1,-1,0,0,"648",104,0,0,0,0,0,0.0548655986785889,9.694256,306,418,1.048624
"JK","CHANGE DIAGN","2012-12-27T16:43:05.000+09:00","normal",2,-1,0,1,"649",105,0,0,0,0,0,0.0549116134643555,9.713136,306,419,1.048624
"QXA","NEW","2012-12-27T16:45:18.000+09:00","normal",1,-1,0,0,"650",105,0,0,0,0,0,0.0512113571166992,9.694256,306,418,1.048624
"JHA","NEW","2012-12-27T17:15:13.000+09:00","normal",1,-1,0,0,"651",105,0,0,0,0,0,0.0522615909576416,9.698352,307,419,1.048624
"JHA","CHANGE DIAGN","2012-12-27T17:15:34.000+09:00","normal",2,-1,0,1,"652",106,0,0,0,0,0,0.0749156475067139,9.715776,307,420,1.048624
"BDA","NEW","2012-12-27T17:19:40.000+09:00","normal",1,-1,0,0,"653",106,0,0,0,0,0,0.0641629695892334,9.698352,307,419,1.048624
"BDA","CHANGE DIAGN","2012-12-27T17:21:24.000+09:00","normal",2,-1,0,1,"654",107,0,0,0,0,0,0.0803742408752441,9.715776,307,420,1.048624
"HY","NEW","2012-12-27T17:49:47.000+09:00","normal",1,-1,0,0,"655",107,0,0,0,0,0,0.571370363235474,9.698656,307,419,1.048624
"YO","NEW","2012-12-27T18:01:32.000+09:00","normal",1,-1,0,0,"656",107,0,0,0,0,0,0.0657174587249756,9.701672,308,420,1.048624
"NY","NEW","2012-12-27T18:07:45.000+09:00","normal",1,-1,0,0,"657",107,0,0,0,0,0,0.0571653842926025,9.70576,309,421,1.048624
"YG","NEW","2012-12-27T18:14:11.000+09:00","Rework",1,6,0,0,"658",107,0,0,0,0,0,0.06795334815979,9.708952,310,422,1.048624
"YG","NEW","2012-12-27T18:14:11.000+09:00","Rework",6,6,1,1,"659",108,0,0,0,0,0,0.0957469940185547,9.72408,310,423,1.048624
"YG","CHANGE DIAGN","2012-12-27T18:14:28.000+09:00","Rework",2,6,0,0,"660",108,1,0,0,0,0,0.0658769607543945,9.231296,309,422,1.048624
"YG","CHANGE DIAGN","2012-12-27T18:14:28.000+09:00","Rework",7,6,1,0,"661",108,1,0,0,0,0,0.0546491146087646,9.215536,309,423,1.048624
"DI","NEW","2012-12-27T18:15:24.000+09:00","normal",1,-1,0,0,"662",108,0,0,0,0,0,0.0912783145904541,9.713048,310,424,1.048624
"JDA","NEW","2012-12-27T19:44:52.000+09:00","normal",1,-1,0,0,"663",108,0,0,0,0,0,0.0736792087554932,9.71712,311,425,1.048624
"JNA","NEW","2012-12-27T19:54:31.000+09:00","SkipSequence",1,3,0,0,"664",108,0,0,0,0,0,0.0567996501922607,9.720304,312,426,1.048624
"WY","NEW","2012-12-27T20:24:00.000+09:00","normal",1,-1,0,0,"665",108,0,0,0,0,0,0.060431957244873,9.7244,313,427,1.048624
"ZL","NEW","2012-12-27T20:27:02.000+09:00","Early",2,1,1,0,"666",108,0,0,0,0,0,0.0630714893341064,9.727584,314,428,1.048624
"TSA","NEW","2012-12-27T20:30:49.000+09:00","normal",1,-1,0,0,"667",108,0,0,0,0,0,0.0669097900390625,9.731656,315,429,1.048624
"QN","NEW","2012-12-27T21:16:47.000+09:00","normal",1,-1,0,0,"668",108,0,0,0,0,0,0.0881335735321045,9.73484,316,430,1.048624
"DI","CHANGE DIAGN","2012-12-27T22:27:40.000+09:00","normal",2,-1,0,1,"669",109,0,0,0,0,0,0.061284065246582,9.744144,316,431,1.048624
"TLA","NEW","2012-12-27T22:53:13.000+09:00","normal",1,-1,0,0,"670",109,0,0,0,0,0,0.0586783885955811,9.732928,316,429,1.048624
"EMA","NEW","2012-12-27T22:53:15.000+09:00","normal",1,-1,0,0,"671",109,0,0,0,0,0,0.0814664363861084,9.736736,317,430,1.048624
"EUA","NEW","2012-12-27T22:54:32.000+09:00","normal",1,-1,0,0,"672",109,0,0,0,0,0,0.0580170154571533,9.740208,318,431,1.048624
"HGB","NEW","2012-12-27T22:56:12.000+09:00","normal",1,-1,0,0,"673",109,0,0,0,0,0,0.0813441276550293,9.743992,319,432,1.048624
"PGB","NEW","2012-12-27T22:56:21.000+09:00","normal",1,-1,0,0,"674",109,0,0,0,0,0,0.0677587985992432,9.747464,320,433,1.048624
"EEA","NEW","2012-12-27T22:59:57.000+09:00","normal",1,-1,0,0,"675",109,0,0,0,0,0,0.0727968215942383,9.751272,321,434,1.048624
"MUA","NEW","2012-12-27T23:14:32.000+09:00","normal",1,-1,0,0,"676",109,0,0,0,0,0,0.0842232704162598,9.754744,322,435,1.048624
"KLA","NEW","2012-12-28T00:59:40.000+09:00","normal",1,-1,0,0,"677",109,0,0,0,0,0,0.0679812431335449,9.758528,323,436,1.048624
"GAB","NEW","2012-12-28T01:33:03.000+09:00","normal",1,-1,0,0,"678",109,0,0,0,0,0,0.0603036880493164,9.762,324,437,1.048624
"LAB","NEW","2012-12-28T02:42:36.000+09:00","normal",1,-1,0,0,"679",109,0,0,0,0,0,0.0612151622772217,9.765808,325,438,1.048624
"NMA","NEW","2012-12-28T03:21:41.000+09:00","normal",1,-1,0,0,"680",109,0,0,0,0,0,0.0935866832733154,9.76928,326,439,1.048624
"QMA","NEW","2012-12-28T04:11:33.000+09:00","normal",1,-1,0,0,"681",109,0,0,0,0,0,0.0656721591949463,9.773192,327,440,1.048624
"HP","NEW","2012-12-28T04:12:45.000+09:00","normal",1,-1,0,0,"682",109,0,0,0,0,0,0.0543973445892334,9.776696,328,441,1.048624
"WEA","NEW","2012-12-28T04:13:54.000+09:00","normal",1,-1,0,0,"683",109,0,0,0,0,0,0.0959391593933105,9.780472,329,442,1.048624
"CHB","NEW","2012-12-28T04:19:38.000+09:00","normal",1,-1,0,0,"684",109,0,0,0,0,0,0.0553116798400879,9.783976,330,443,1.048624
"DHB","NEW","2012-12-28T04:23:04.000+09:00","normal",1,-1,0,0,"685",109,0,0,0,0,0,0.0702364444732666,9.787728,331,444,1.048624
"GAA","NEW","2012-12-28T05:59:50.000+09:00","normal",1,-1,0,0,"687",109,0,0,0,0,0,0.0585811138153076,9.791232,332,445,1.048624
