"Case","Activity","timestamp","anomaly_type","order","loc","label","start","Event","num_case","leverage","t1","t2","t3","tn","time","Mb","Nc","Ne","MMb"
"case_10718","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"796",1,0,0,0,0,0,1.88514065742493,78.772392,795,796,1.048624
"case_10719","Activity A","1970-01-01T09:00:00.000+09:00","SkipSequence",1,2,0,0,"797",1,0,0,0,0,0,0.0843918323516846,NA,796,797,NA
"case_1072","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"798",1,0,0,0,0,0,0.0408461093902588,17.289712,797,798,2.0972
"case_10720","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"799",1,0,0,0,0,0,0.0437610149383545,17.29044,798,799,2.0972
"case_10721","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"800",1,0,0,0,0,0,0.0446898937225342,17.291408,799,800,2.0972
"case_10722","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"801",1,0,0,0,0,0,0.0508358478546143,17.292168,800,801,2.0972
"case_10723","Activity A","1970-01-01T09:00:00.000+09:00","SkipSequence",1,2,0,0,"802",1,0,0,0,0,0,0.0502233505249023,17.292976,801,802,2.0972
"case_10724","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"803",1,0,0,0,0,0,0.0396387577056885,17.293736,802,803,2.0972
"case_10725","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"804",1,0,0,0,0,0,0.0520796775817871,17.294544,803,804,2.0972
"case_10726","Activity A","1970-01-01T09:00:00.000+09:00","Rework",1,8,0,0,"805",1,0,0,0,0,0,0.038097620010376,17.295304,804,805,2.0972
"case_10727","Activity A","1970-01-01T09:00:00.000+09:00","Rework",1,6,0,0,"806",1,0,0,0,0,0,0.0511856079101562,17.296112,805,806,2.0972
"case_10728","Activity A","1970-01-01T09:00:00.000+09:00","Early",1,3,0,0,"807",1,0,0,0,0,0,0.045114278793335,17.296872,806,807,2.0972
"case_10729","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"808",1,0,0,0,0,0,0.0499494075775146,17.29768,807,808,2.0972
"case_1073","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"809",1,0,0,0,0,0,0.0421931743621826,17.29844,808,809,2.0972
"case_10730","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"810",1,0,0,0,0,0,0.0478127002716064,17.299248,809,810,2.0972
"case_10731","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"811",1,0,0,0,0,0,0.0461978912353516,17.300008,810,811,2.0972
"case_10733","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"812",1,0,0,0,0,0,0.0465500354766846,17.300816,811,812,2.0972
"case_10734","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"813",1,0,0,0,0,0,0.0393872261047363,17.301576,812,813,2.0972
"case_10735","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"814",1,0,0,0,0,0,0.0395205020904541,17.302384,813,814,2.0972
"case_10736","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"815",1,0,0,0,0,0,0.0451605319976807,17.303144,814,815,2.0972
