"Case","Activity","timestamp","anomaly_type","order","loc","label","start","Event","num_case","leverage","t1","t2","t3","tn","time"
"case_10718","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"796",1,0,0,0,0,0,1.18081021308899
"case_10719","Activity A","1970-01-01T09:00:00.000+09:00","SkipSequence",1,2,0,0,"797",1,0,0,0,0,0,0.0980701446533203
"case_1072","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"798",1,0,0,0,0,0,0.0470230579376221
"case_10720","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"799",1,0,0,0,0,0,0.052664041519165
"case_10721","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"800",1,0,0,0,0,0,0.0403923988342285
"case_10722","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"801",1,0,0,0,0,0,0.049562931060791
"case_10723","Activity A","1970-01-01T09:00:00.000+09:00","SkipSequence",1,2,0,0,"802",1,0,0,0,0,0,0.0546348094940186
"case_10724","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"803",1,0,0,0,0,0,0.0490946769714355
"case_10725","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"804",1,0,0,0,0,0,0.0423803329467773
"case_10726","Activity A","1970-01-01T09:00:00.000+09:00","Rework",1,8,0,0,"805",1,0,0,0,0,0,0.0533125400543213
"case_10727","Activity A","1970-01-01T09:00:00.000+09:00","Rework",1,6,0,0,"806",1,0,0,0,0,0,0.0517392158508301
"case_10728","Activity A","1970-01-01T09:00:00.000+09:00","Early",1,3,0,0,"807",1,0,0,0,0,0,0.0398175716400146
"case_10729","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"808",1,0,0,0,0,0,0.0545907020568848
"case_1073","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"809",1,0,0,0,0,0,0.0669345855712891
"case_10730","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"810",1,0,0,0,0,0,0.05832839012146
"case_10731","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"811",1,0,0,0,0,0,0.0457773208618164
"case_10733","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"812",1,0,0,0,0,0,0.0443832874298096
"case_10734","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"813",1,0,0,0,0,0,0.0492899417877197
"case_10735","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"814",1,0,0,0,0,0,0.0508739948272705
"case_10736","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"815",1,0,0,0,0,0,0.0436172485351562
"case_10737","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"816",1,0,0,0,0,0,0.0502960681915283
"case_10738","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"817",1,0,0,0,0,0,0.052664041519165
"case_10739","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"818",1,0,0,0,0,0,0.0480785369873047
"case_1074","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"819",1,0,0,0,0,0,0.0407416820526123
"case_10740","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"820",1,0,0,0,0,0,0.0876517295837402
"case_10741","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"821",1,0,0,0,0,0,0.0406081676483154
"case_10742","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"822",1,0,0,0,0,0,0.0451371669769287
"case_10743","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"823",1,0,0,0,0,0,0.0490617752075195
"case_10744","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"824",1,0,0,0,0,0,0.0465140342712402
"case_10745","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"825",1,0,0,0,0,0,0.0469963550567627
"case_10747","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"826",1,0,0,0,0,0,0.284437656402588
"case_10748","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"827",1,0,0,0,0,0,0.0399856567382812
"case_10749","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"828",1,0,0,0,0,0,0.0523369312286377
"case_1075","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"829",1,0,0,0,0,0,0.0627624988555908
"case_10750","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"830",1,0,0,0,0,0,0.0499131679534912
"case_10751","Activity A","1970-01-01T09:00:00.000+09:00","Early",1,3,0,0,"831",1,0,0,0,0,0,0.0500173568725586
"case_10752","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"832",1,0,0,0,0,0,0.051145076751709
"case_10753","Activity A","1970-01-01T09:00:00.000+09:00","Rework",1,12,0,0,"833",1,0,0,0,0,0,0.0437538623809814
"case_10754","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"834",1,0,0,0,0,0,0.0503861904144287
"case_10755","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"835",1,0,0,0,0,0,0.0483834743499756
"case_10756","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"836",1,0,0,0,0,0,0.0508801937103271
"case_10757","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"837",1,0,0,0,0,0,0.0443224906921387
"case_10758","Activity A","1970-01-01T09:00:00.000+09:00","Rework",1,7,0,0,"838",1,0,0,0,0,0,0.0514757633209229
"case_10758","Activity A","1970-01-01T09:00:00.000+09:00","Rework",7,7,1,1,"839",2,0,0,0,0,0,0.044353723526001
"case_10759","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"840",2,0,0,0,0,0,0.0357513427734375
"case_1076","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"841",2,0,0,0,0,0,0.0360682010650635
