"Case","Activity","timestamp","anomaly_type","order","loc","label","start","Event","num_case","leverage","t1","t2","t3","tn","time"
103,"Prepare starter","2020-09-17T03:44:39.165+09:00","normal",7,-1,0,0,"1201",105,1,0,0,0,1,0.874542951583862
102,"Prepare starter","2020-09-17T03:44:40.735+09:00","normal",7,-1,0,0,"1202",105,1,0,0,0,1,0.2098548412323
104,"Review order","2020-09-17T03:44:50.120+09:00","Early",3,5,0,0,"1203",105,0,0,0,0,0,0.17438268661499
101,"Bring food","2020-09-17T03:45:12.727+09:00","SkipSequence",8,4,1,0,"1204",105,0,0,0,0,0,0.223172187805176
102,"prepare drinks","2020-09-17T03:45:14.492+09:00","normal",8,-1,0,0,"1205",105,0,0,0,0,0,0.182239532470703
105,"Take order","2020-09-17T03:45:25.489+09:00","normal",2,-1,0,1,"1206",106,0,0,0,0,0,0.432809591293335
102,"Bring drinks","2020-09-17T03:45:40.945+09:00","normal",9,-1,0,0,"1207",106,0,0,0,0,0,0.173070669174194
105,"Review order","2020-09-17T03:46:07.217+09:00","normal",3,-1,0,0,"1208",106,0,0,0,0,0,0.174034118652344
102,"Review drinks","2020-09-17T03:46:13.573+09:00","normal",10,-1,0,0,"1209",106,0,0,0,0,0,0.183995008468628
102,"Prepare main course","2020-09-17T03:46:23.848+09:00","normal",11,-1,0,0,"1210",106,0,0,0,0,0,0.182610988616943
102,"Signal food complete","2020-09-17T03:46:28.848+09:00","normal",12,-1,0,0,"1211",106,0,0,0,0,0,0.179543495178223
100,"Deliver to customer","2020-09-17T03:46:36.596+09:00","normal",10,-1,0,0,"1212",106,1,0,0,0,1,0.18547511100769
100,"EVENT 8 END","2020-09-17T03:46:36.596+09:00","normal",11,-1,0,0,"1213",106,1,0,0,0,0,0.179603099822998
102,"Bring food","2020-09-17T03:47:01.733+09:00","normal",13,-1,0,0,"1214",106,1,0,0,0,1,0.180939912796021
107,"Take order","2020-09-17T03:47:36.811+09:00","normal",2,-1,0,1,"1215",107,0,0,0,0,0,0.177597284317017
103,"Prepare main course","2020-09-17T03:47:43.383+09:00","normal",8,-1,0,0,"1216",107,0,0,0,0,0,0.177611351013184
103,"Signal food complete","2020-09-17T03:47:48.383+09:00","normal",9,-1,0,0,"1217",107,1,0,0,0,0,0.184284448623657
103,"Bring food","2020-09-17T03:48:28.377+09:00","normal",10,-1,0,0,"1218",107,0,0,0,0,0,0.190875291824341
106,"Take order","2020-09-17T03:48:35.648+09:00","normal",2,-1,0,1,"1219",108,0,0,0,0,0,0.174303770065308
107,"Review order","2020-09-17T03:48:38.783+09:00","normal",3,-1,0,0,"1220",108,1,0,0,0,0,0.175814867019653
108,"start","2020-09-17T03:48:57.795+09:00","normal",1,-1,0,0,"1221",108,0,0,0,0,0,0.17743706703186
101,"Deliver to customer","2020-09-17T03:49:08.169+09:00","SkipSequence",9,4,1,0,"1222",108,0,0,0,0,0,0.18252968788147
101,"EVENT 8 END","2020-09-17T03:49:08.169+09:00","SkipSequence",10,4,1,0,"1223",108,0,0,0,0,0,0.183933019638062
104,"prepare drinks","2020-09-17T03:49:27.796+09:00","Early",4,5,0,0,"1224",108,1,0,0,0,0,0.178830862045288
106,"Review order","2020-09-17T03:49:42.965+09:00","normal",3,-1,0,0,"1225",108,1,0,0,0,0,0.434149265289307
