"Case","Activity","timestamp","anomaly_type","order","loc","label","start","Event","num_case","leverage","t1","t2","t3","tn","time"
3883,6,"2010-03-17T18:09:00.000+09:00","normal",4,-1,0,0,"380",105,0.517835859682716,0,0,0,0,0.965270042419434
90,6,"2010-03-17T18:49:00.000+09:00","normal",3,-1,0,0,"381",105,0.376053863006224,0,0,0,0,0.621830940246582
3168,6,"2010-03-17T19:05:00.000+09:00","normal",3,-1,0,0,"382",105,0.37231831568875,0,0,0,0,0.584478139877319
2502,6,"2010-03-17T20:10:00.000+09:00","normal",3,-1,0,0,"383",105,0.376111569386151,0,0,0,0,0.592529773712158
3203,1,"2010-03-17T22:26:00.000+09:00","normal",1,-1,0,0,"384",105,0.444023824251681,0,0,0,0,0.580295562744141
2619,1,"2010-03-17T22:29:00.000+09:00","normal",1,-1,0,0,"385",105,0.442290318858508,0,0,0,0,0.566620826721191
2619,8,"2010-03-17T22:29:00.000+09:00","normal",2,-1,0,1,"386",106,0.435271549392549,0,0,0,0,0.635968208312988
92,6,"2010-03-18T18:27:00.000+09:00","normal",3,-1,0,0,"387",106,0.369616860939539,0,0,0,0,0.636277914047241
2619,9,"2010-03-18T20:18:00.000+09:00","normal",3,-1,0,0,"388",106,0.500761322674661,0,0,0,0,0.650699853897095
2874,1,"2010-03-18T20:38:00.000+09:00","normal",1,-1,0,0,"389",106,0.444473946822713,0,0,0,0,0.625735759735107
1527,1,"2010-03-18T20:41:00.000+09:00","normal",1,-1,0,0,"390",106,0.442745059936085,0,0,0,0,0.609153985977173
1527,1,"2010-03-18T20:41:00.000+09:00","normal",2,-1,0,1,"391",107,0.489489048789374,0,0,0,0,0.681998491287231
1527,8,"2010-03-18T20:42:00.000+09:00","normal",3,-1,0,0,"392",107,0.432239439534482,0,0,0,0,0.641788005828857
1527,6,"2010-03-18T20:42:00.000+09:00","normal",4,-1,0,0,"393",107,0.341974331716254,0,0,0,0,0.613505125045776
2874,8,"2010-03-18T20:53:00.000+09:00","normal",2,-1,0,1,"394",108,0.435883765157608,0,0,0,0,0.62471866607666
2874,6,"2010-03-18T22:37:00.000+09:00","normal",3,-1,0,0,"395",108,0.374867435748644,0,0,0,0,0.639491558074951
3849,8,"2010-03-19T17:41:00.000+09:00","normal",2,-1,0,1,"396",109,0.435702188876167,0,0,0,0,0.631776332855225
3849,6,"2010-03-19T17:41:00.000+09:00","normal",3,-1,0,0,"397",109,0.378527094563867,0,0,0,0,0.61480712890625
10,8,"2010-03-19T17:47:00.000+09:00","normal",2,-1,0,1,"398",110,0.436587114981503,0,0,0,0,0.591193199157715
10,6,"2010-03-19T17:47:00.000+09:00","normal",3,-1,0,0,"399",110,0.369762487962026,0,0,0,0,0.581015110015869
3849,6,"2010-03-19T17:51:00.000+09:00","normal",4,-1,0,0,"400",110,0.5244673630549,0,0,0,0,0.586502313613892
3187,8,"2010-03-19T20:09:00.000+09:00","normal",3,-1,0,0,"401",110,0.439489295589657,0,0,0,0,0.597832441329956
3187,6,"2010-03-19T20:09:00.000+09:00","normal",4,-1,0,0,"402",110,0.343125195974424,0,0,0,0,0.583707332611084
3187,6,"2010-03-19T20:10:00.000+09:00","normal",5,-1,0,0,"403",110,0.51059381598296,0,0,0,0,0.581429481506348
4168,8,"2010-03-19T20:43:00.000+09:00","Early",1,1,1,0,"404",110,0.753021014046836,0,0,0,1,0.5817711353302
4168,1,"2010-03-19T20:43:00.000+09:00","Early",2,1,1,1,"405",111,0.732028885084945,0,0,0,1,0.602826595306396
4168,6,"2010-03-19T20:50:00.000+09:00","Early",3,1,1,0,"406",111,0.722423854697084,0,0,0,1,0.613336324691772
