"Case","Activity","timestamp","anomaly_type","order","loc","label","start","Event","num_case","leverage","t1","t2","t3","tn","time"
"case_1784","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"867",1,0,0,0,0,0,0.481236457824707
"case_1785","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"868",1,0,0,0,0,0,0.0454878807067871
"case_1786","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"869",1,0,0,0,0,0,0.0220565795898438
"case_1787","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"870",1,0,0,0,0,0,0.0161440372467041
"case_1788","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"871",1,0,0,0,0,0,0.0163919925689697
"case_1789","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"872",1,0,0,0,0,0,0.0178437232971191
"case_179","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"873",1,0,0,0,0,0,0.0233564376831055
"case_1790","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"874",1,0,0,0,0,0,0.0160229206085205
"case_1791","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"875",1,0,0,0,0,0,0.0158522129058838
"case_1792","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"876",1,0,0,0,0,0,0.0159072875976562
"case_1793","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"877",1,0,0,0,0,0,0.0203056335449219
"case_1794","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"878",1,0,0,0,0,0,0.0156741142272949
"case_1795","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"879",1,0,0,0,0,0,0.0156588554382324
"case_1796","Activity A","1970-01-01T09:00:00.000+09:00","Insert",1,5,0,0,"880",1,0,0,0,0,0,0.0207452774047852
"case_1797","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"881",1,0,0,0,0,0,0.0157654285430908
