"Case","Activity","timestamp","anomaly_type","order","loc","label","start","Event","num_case","leverage","t1","t2","t3","tn","time"
"case_10549","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"604",2,0.00165562913907285,0,0,0,0,0.322369813919067
"case_10550","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"605",2,0.00165562913907285,0,0,0,0,0.043236255645752
"case_10551","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"606",2,0.00165562913907285,0,0,0,0,0.0301568508148193
"case_10552","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"607",2,0.00165562913907285,0,0,0,0,0.0290846824645996
"case_10553","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"608",2,0.00165562913907285,0,0,0,0,0.0508551597595215
"case_10554","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"609",2,0.00165562913907285,0,0,0,0,0.0212945938110352
"case_10555","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"610",2,0.00165562913907285,0,0,0,0,0.0275897979736328
"case_10556","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"611",2,0.00165562913907285,0,0,0,0,0.247215270996094
"case_10557","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"612",2,0.00165562913907285,0,0,0,0,0.0226426124572754
"case_10558","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"613",2,0.00165562913907285,0,0,0,0,0.0235652923583984
"case_10559","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"614",2,0.00165562913907285,0,0,0,0,0.0311987400054932
"case_1056","Activity A","1970-01-01T09:00:00.000+09:00","Insert",2,1,1,0,"615",2,0.00165562913907285,0,0,0,0,0.0270316600799561
"case_10560","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"616",2,0.00165562913907285,0,0,0,0,0.0254764556884766
"case_10561","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"617",2,0.00165562913907285,0,0,0,0,0.0318253040313721
"case_10562","Activity A","1970-01-01T09:00:00.000+09:00","Rework",1,7,0,0,"618",2,0.00165562913907285,0,0,0,0,0.0264627933502197
"case_10563","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"619",2,0.00165562913907285,0,0,0,0,0.0352230072021484
"case_10564","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"620",2,0.00165562913907285,0,0,0,0,0.0283024311065674
"case_10565","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"621",2,0.00165562913907285,0,0,0,0,0.030503511428833
"case_10566","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"622",2,0.00165562913907285,0,0,0,0,0.0236301422119141
"case_10567","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"623",2,0.00165562913907285,0,0,0,0,0.0468316078186035
"case_10568","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"624",2,0.00165562913907285,0,0,0,0,0.0327637195587158
"case_10569","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"625",2,0.00165562913907285,0,0,0,0,0.0416052341461182
"case_1057","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"626",2,0.00165562913907285,0,0,0,0,0.0406932830810547
"case_10570","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"627",2,0.00165562913907285,0,0,0,0,0.0397660732269287
"case_10571","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"628",2,0.00165562913907285,0,0,0,0,0.0428116321563721
"case_10572","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"629",2,0.00165562913907285,0,0,0,0,0.0347633361816406
"case_10573","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"630",2,0.00165562913907285,0,0,0,0,0.0345332622528076
