"Case","Activity","timestamp","anomaly_type","order","loc","label","start","Event","num_case","leverage","t1","t2","t3","tn","time"
"case_154","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"597",2,0.0016750418760469,0,0,0,0,0.339387178421021
"case_1540","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"598",2,0.0016750418760469,0,0,0,0,0.0569183826446533
"case_1541","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"599",2,0.0016750418760469,0,0,0,0,0.0152113437652588
"case_1542","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"600",2,0.0016750418760469,0,0,0,0,0.0131831169128418
"case_1543","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"601",2,0.0016750418760469,0,0,0,0,0.0129899978637695
"case_1544","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"602",2,0.0016750418760469,0,0,0,0,0.0136439800262451
"case_1545","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"603",2,0.0016750418760469,0,0,0,0,0.0131363868713379
"case_1546","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"604",2,0.0016750418760469,0,0,0,0,0.0131833553314209
"case_1547","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"605",2,0.0016750418760469,0,0,0,0,0.0130348205566406
"case_1548","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"606",2,0.0016750418760469,0,0,0,0,0.0138139724731445
"case_1549","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"607",2,0.0016750418760469,0,0,0,0,0.0171082019805908
"case_155","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"608",2,0.0016750418760469,0,0,0,0,0.0111448764801025
"case_1550","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"609",2,0.0016750418760469,0,0,0,0,0.0110368728637695
"case_1551","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"610",2,0.0016750418760469,0,0,0,0,0.011260986328125
"case_1552","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"611",2,0.0016750418760469,0,0,0,0,0.0111188888549805
"case_1553","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"612",2,0.0016750418760469,0,0,0,0,0.0111250877380371
"case_1554","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"613",2,0.0016750418760469,0,0,0,0,0.0112268924713135
"case_1555","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"614",2,0.0016750418760469,0,0,0,0,0.0122058391571045
"case_1556","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"615",2,0.0016750418760469,0,0,0,0,0.0164587497711182
"case_1557","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"616",2,0.0016750418760469,0,0,0,0,0.0116429328918457
"case_1558","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"617",2,0.0016750418760469,0,0,0,0,0.0111985206604004
"case_1559","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"618",2,0.0016750418760469,0,0,0,0,0.0111606121063232
"case_156","Activity A","1970-01-01T09:00:00.000+09:00","Early",2,1,1,0,"619",2,0.0016750418760469,0,0,0,0,0.0109281539916992
"case_1560","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"620",2,0.0016750418760469,0,0,0,0,0.0113124847412109
"case_1561","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"621",2,0.0016750418760469,0,0,0,0,0.0110270977020264
"case_1562","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"622",2,0.0016750418760469,0,0,0,0,0.0159766674041748
"case_1563","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"623",2,0.0016750418760469,0,0,0,0,0.0109055042266846
"case_1564","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"624",2,0.0016750418760469,0,0,0,0,0.0110716819763184
"case_1565","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"625",2,0.0016750418760469,0,0,0,0,0.0110776424407959
"case_1566","Activity A","1970-01-01T09:00:00.000+09:00","Late",2,2,1,0,"626",2,0.0016750418760469,0,0,0,0,0.0111043453216553
"case_1567","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"627",2,0.0016750418760469,0,0,0,0,0.0111851692199707
"case_1568","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"628",2,0.0016750418760469,0,0,0,0,0.0156004428863525
"case_1569","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"629",2,0.0016750418760469,0,0,0,0,0.0111625194549561
"case_1570","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"630",2,0.0016750418760469,0,0,0,0,0.0112662315368652
"case_1571","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"631",2,0.0016750418760469,0,0,0,0,0.011106014251709
"case_1572","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"632",2,0.0016750418760469,0,0,0,0,0.0113306045532227
"case_1573","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"633",2,0.0016750418760469,0,0,0,0,0.0110540390014648
"case_1574","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"634",2,0.0016750418760469,0,0,0,0,0.0112457275390625
"case_1575","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"635",2,0.0016750418760469,0,0,0,0,0.011171817779541
"case_1576","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"636",2,0.0016750418760469,0,0,0,0,0.0110876560211182
"case_1577","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"637",2,0.0016750418760469,0,0,0,0,0.0112857818603516
"case_1578","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"638",2,0.0016750418760469,0,0,0,0,0.0111424922943115
"case_1579","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"639",2,0.0016750418760469,0,0,0,0,0.0112960338592529
"case_158","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"640",2,0.0016750418760469,0,0,0,0,0.0114767551422119
"case_1580","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"641",2,0.0016750418760469,0,0,0,0,0.0111453533172607
"case_1581","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"642",2,0.0016750418760469,0,0,0,0,0.0113005638122559
"case_1582","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"643",2,0.0016750418760469,0,0,0,0,0.0112841129302979
"case_1583","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"644",2,0.0016750418760469,0,0,0,0,0.0117840766906738
"case_1584","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"645",2,0.0016750418760469,0,0,0,0,0.0113236904144287
