"Case","Activity","timestamp","anomaly_type","order","loc","label","start","Event","num_case","leverage","w-leverage","t1","t2","t3","tn","w-tn","time"
"case_10994","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"1106",1,0.000905797101449275,0.000905797101449275,0,0,0,0,0,0.114825248718262
"case_10995","Activity A","1970-01-01T09:00:00.000+09:00","Insert",1,2,0,0,"1107",1,0.000904977375565612,0.000904977375565612,0,0,0,0,0,0.444808721542358
"case_10996","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"1108",1,0.000904159132007234,0.000904159132007234,0,0,0,0,0,0.0736057758331299
"case_10997","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"1109",1,0.000903342366757001,0.000903342366757001,0,0,0,0,0,0.0565571784973145
"case_10998","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"1110",1,0.000902527075812274,0.000902527075812274,0,0,0,0,0,0.0526759624481201
"case_10999","Activity A","1970-01-01T09:00:00.000+09:00","Late",1,7,0,0,"1111",1,0.000901713255184852,0.000901713255184852,0,0,0,0,0,0.056809663772583
"case_11","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"1112",1,0.0009009009009009,0.0009009009009009,0,0,0,0,0,0.0548970699310303
"case_110","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"1113",1,0.0009000900090009,0.0009000900090009,0,0,0,0,0,0.0504677295684814
"case_1100","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"1114",1,0.000899280575539568,0.000899280575539568,0,0,0,0,0,0.0512642860412598
"case_11000","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"1115",1,0.000898472596585804,0.000898472596585804,0,0,0,0,0,0.293883800506592
"case_11001","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"1116",1,0.000897666068222621,0.000897666068222621,0,0,0,0,0,0.0570995807647705
"case_11002","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"1117",1,0.000896860986547085,0.000896860986547085,0,0,0,0,0,0.0541918277740479
"case_11003","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"1118",1,0.000896057347670251,0.000896057347670251,0,0,0,0,0,0.0433166027069092
"case_11004","Activity A","1970-01-01T09:00:00.000+09:00","Insert",1,4,0,0,"1119",1,0.000895255147717099,0.000895255147717099,0,0,0,0,0,0.0508856773376465
"case_11005","Activity A","1970-01-01T09:00:00.000+09:00","Rework",1,11,0,0,"1120",1,0.000894454382826476,0.000894454382826476,0,0,0,0,0,0.0518555641174316
"case_11006","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"1121",1,0.000893655049151028,0.000893655049151028,0,0,0,0,0,0.056290864944458
"case_11007","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"1122",1,0.000892857142857142,0.000892857142857142,0,0,0,0,0,0.0528087615966797
"case_11008","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"1123",1,0.000892060660124888,0.000892060660124888,0,0,0,0,0,0.0426828861236572
"case_11009","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"1124",1,0.00089126559714795,0.00089126559714795,0,0,0,0,0,0.0510203838348389
"case_1101","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"1125",1,0.000890471950133571,0.000890471950133571,0,0,0,0,0,0.0441677570343018
"case_11010","Activity A","1970-01-01T09:00:00.000+09:00","Insert",1,7,0,0,"1126",1,0.000889679715302491,0.000889679715302491,0,0,0,0,0,0.045396089553833
"case_11011","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"1127",1,0.00088888888888889,0.00088888888888889,0,0,0,0,0,0.0518279075622559
"case_11012","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"1128",1,0.00088809946714032,0.00088809946714032,0,0,0,0,0,0.0529510974884033
"case_11013","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"1129",1,0.000887311446317658,0.000887311446317658,0,0,0,0,0,0.266233444213867
"case_11014","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"1130",1,0.000886524822695035,0.000886524822695035,0,0,0,0,0,0.0453841686248779
