"Case","Activity","timestamp","anomaly_type","order","loc","label","start","Event","num_case","leverage","t1","t2","t3","tn","time"
"1-691759626","Accepted+In Progress","2012-03-02T19:08:21.000+09:00","normal",6,-1,0,0,"1870",157,0.396393904446056,0,0,0,0,4.546217918396
"1-690436171","Accepted+In Progress","2012-03-02T19:23:34.000+09:00","normal",7,-1,0,0,"1871",157,0.606567675153658,0,0,0,1,2.53593516349792
"1-690436171","Accepted+Assigned","2012-03-02T19:23:56.000+09:00","normal",8,-1,0,0,"1872",157,0.574512530438688,0,0,0,1,2.11876845359802
"1-690436171","Accepted+In Progress","2012-03-02T19:54:15.000+09:00","normal",9,-1,0,0,"1873",157,0.587933808699879,0,0,0,1,1.38045144081116
"1-657323705","Accepted+In Progress","2012-03-02T19:56:12.000+09:00","normal",4,-1,0,0,"1874",157,0.31371888740012,0,0,0,0,1.38058423995972
"1-690436171","Accepted+Wait","2012-03-02T19:58:16.000+09:00","normal",10,-1,0,0,"1875",157,0.568888760869542,0,0,0,1,1.41376543045044
"1-690436171","Accepted+Wait","2012-03-02T19:59:04.000+09:00","normal",11,-1,0,0,"1876",157,0.594937760983535,0,0,0,1,1.42656922340393
"1-690436171","Accepted+Wait - User","2012-03-02T20:02:12.000+09:00","normal",12,-1,0,0,"1877",157,0.576910379384174,0,0,0,1,1.44052529335022
"1-691759626","Queued+Awaiting Assignment","2012-03-02T20:05:56.000+09:00","normal",7,-1,0,0,"1878",157,0.392157456537425,0,0,0,0,1.45074200630188
"1-690436171","Accepted+Wait","2012-03-02T21:37:27.000+09:00","normal",13,-1,0,0,"1879",157,0.611538545598048,0,0,0,1,1.4624080657959
"1-690436171","Queued+Awaiting Assignment","2012-03-02T21:37:57.000+09:00","normal",14,-1,0,0,"1880",157,0.583535685222004,0,0,0,1,1.49566793441772
"1-691950241","Accepted+In Progress","2012-03-02T21:54:58.000+09:00","normal",1,-1,0,0,"1881",157,0.474005313446929,0,0,0,0,1.82343339920044
"1-691782323","Accepted+In Progress","2012-03-02T21:57:12.000+09:00","normal",1,-1,0,0,"1882",157,0.473971530420581,0,0,0,0,3.74797701835632
"1-691950241","Accepted+In Progress","2012-03-02T21:57:36.000+09:00","normal",2,-1,0,1,"1883",158,0.403811450530925,0,0,0,0,2.53051924705505
"1-691782323","Accepted+In Progress","2012-03-02T21:58:20.000+09:00","normal",2,-1,0,1,"1884",159,0.406877817222763,0,0,0,0,2.64391183853149
"1-691950241","Queued+Awaiting Assignment","2012-03-02T22:03:11.000+09:00","normal",3,-1,0,0,"1885",159,0.331551902287363,0,0,0,0,2.3742470741272
