"Case","Activity","timestamp","anomaly_type","order","loc","label","start","Event","num_case","leverage","w-leverage","t1","t2","t3","tn","w-tn","time"
103,"Prepare starter","2020-09-17T03:44:39.165+09:00","normal",7,-1,0,0,"1201",101,0.999999999999999,1.16231381923066,0,0,0,1,1,0.203957319259644
102,"Prepare starter","2020-09-17T03:44:40.735+09:00","normal",7,-1,0,0,"1202",101,0.499999999999997,0.587534008687644,0,0,0,0,0,0.15358829498291
104,"Review order","2020-09-17T03:44:50.120+09:00","Early",3,5,0,0,"1203",101,0.500000000000002,0.591933125345056,0,0,0,0,0,0.095073938369751
101,"Bring food","2020-09-17T03:45:12.727+09:00","SkipSequence",8,4,1,0,"1204",101,0.999999999999997,1.18929667370495,0,0,0,1,1,0.112511157989502
102,"prepare drinks","2020-09-17T03:45:14.492+09:00","normal",8,-1,0,0,"1205",101,1,1,0,0,0,1,1,NA
105,"Take order","2020-09-17T03:45:25.489+09:00","normal",2,-1,0,1,"1206",102,1,1.21486368298757,0,0,0,1,1,0.109945774078369
102,"Bring drinks","2020-09-17T03:45:40.945+09:00","normal",9,-1,0,0,"1207",102,1,1,0,0,0,1,1,NA
105,"Review order","2020-09-17T03:46:07.217+09:00","normal",3,-1,0,0,"1208",102,1,1,0,0,0,1,1,NA
102,"Review drinks","2020-09-17T03:46:13.573+09:00","normal",10,-1,0,0,"1209",102,1,1,0,0,0,1,1,NA
102,"Prepare main course","2020-09-17T03:46:23.848+09:00","normal",11,-1,0,0,"1210",102,1,1,0,0,0,1,1,NA
102,"Signal food complete","2020-09-17T03:46:28.848+09:00","normal",12,-1,0,0,"1211",102,1,1,0,0,0,1,1,NA
100,"Deliver to customer","2020-09-17T03:46:36.596+09:00","normal",10,-1,0,0,"1212",102,1,1.16643732338653,0,0,0,1,1,0.0917019844055176
100,"EVENT 8 END","2020-09-17T03:46:36.596+09:00","normal",11,-1,0,0,"1213",102,1,1,0,0,0,1,1,NA
102,"Bring food","2020-09-17T03:47:01.733+09:00","normal",13,-1,0,0,"1214",102,1,1,0,0,0,1,1,NA
107,"Take order","2020-09-17T03:47:36.811+09:00","normal",2,-1,0,1,"1215",103,0.999999999999996,1.23037165413707,0,0,0,1,1,0.0981667041778564
103,"Prepare main course","2020-09-17T03:47:43.383+09:00","normal",8,-1,0,0,"1216",103,1,1,0,0,0,1,1,NA
103,"Signal food complete","2020-09-17T03:47:48.383+09:00","normal",9,-1,0,0,"1217",103,1,1,0,0,0,1,1,NA
103,"Bring food","2020-09-17T03:48:28.377+09:00","normal",10,-1,0,0,"1218",103,1,1,0,0,0,1,1,NA
