"Case","Activity","timestamp","anomaly_type","order","loc","label","start","Event","num_case","leverage","w-leverage","t1","t2","t3","tn","w-tn","time"
"1-691759626","Accepted+In Progress","2012-03-02T19:08:21.000+09:00","normal",6,-1,0,0,"1870",101,0.860408457129045,1.1919892121337,0,0,0,0,1,3.39965462684631
"1-690436171","Accepted+In Progress","2012-03-02T19:23:34.000+09:00","normal",7,-1,0,0,"1871",101,1,1.27631800694504,0,0,0,0,1,3.31697678565979
"1-690436171","Accepted+Assigned","2012-03-02T19:23:56.000+09:00","normal",8,-1,0,0,"1872",101,0.999999999999991,1.17737287288856,0,0,0,0,1,2.90546298027039
"1-690436171","Accepted+In Progress","2012-03-02T19:54:15.000+09:00","normal",9,-1,0,0,"1873",101,0.786366054575371,0.854626699240058,0,0,0,0,0,2.814537525177
"1-657323705","Accepted+In Progress","2012-03-02T19:56:12.000+09:00","normal",4,-1,0,0,"1874",101,0.264929874651433,0.425113011715056,0,0,0,0,0,2.87776923179626
"1-690436171","Accepted+Wait","2012-03-02T19:58:16.000+09:00","normal",10,-1,0,0,"1875",101,1,0.989095477866962,0,0,0,0,0,3.18732738494873
"1-690436171","Accepted+Wait","2012-03-02T19:59:04.000+09:00","normal",11,-1,0,0,"1876",101,0.798920877964743,0.722162260319844,0,0,0,0,0,2.85157632827759
"1-690436171","Accepted+Wait - User","2012-03-02T20:02:12.000+09:00","normal",12,-1,0,0,"1877",101,0.999999999999998,0.816499896219459,0,0,0,0,0,2.8417501449585
"1-691759626","Queued+Awaiting Assignment","2012-03-02T20:05:56.000+09:00","normal",7,-1,0,0,"1878",101,0.628393876509943,0.812192087801319,0,0,0,0,0,2.88104009628296
"1-690436171","Accepted+Wait","2012-03-02T21:37:27.000+09:00","normal",13,-1,0,0,"1879",101,1,0.74141681537929,0,0,0,0,0,2.86053562164307
"1-690436171","Queued+Awaiting Assignment","2012-03-02T21:37:57.000+09:00","normal",14,-1,0,0,"1880",101,0.999999999999999,0.666524577746541,0,0,0,0,0,2.8617250919342
"1-691950241","Accepted+In Progress","2012-03-02T21:54:58.000+09:00","normal",1,-1,0,0,"1881",101,0.999999999999857,1.91949053550406,0,0,0,0,1,2.95750427246094
"1-691782323","Accepted+In Progress","2012-03-02T21:57:12.000+09:00","normal",1,-1,0,0,"1882",101,0.499999999999926,0.962419380378691,0,0,0,0,0,2.93238830566406
"1-691950241","Accepted+In Progress","2012-03-02T21:57:36.000+09:00","normal",2,-1,0,1,"1883",102,0.333333333333353,0.602879007202056,0,0,0,0,0,3.22582221031189
"1-691782323","Accepted+In Progress","2012-03-02T21:58:20.000+09:00","normal",2,-1,0,1,"1884",103,0.249999999999985,0.455314928261371,0,0,0,0,0,2.90074300765991
"1-691950241","Queued+Awaiting Assignment","2012-03-02T22:03:11.000+09:00","normal",3,-1,0,0,"1885",103,0.218745667626316,0.374167136785045,0,0,0,0,0,2.91708374023438
"1-691782323","Queued+Awaiting Assignment","2012-03-02T22:03:31.000+09:00","normal",3,-1,0,0,"1886",103,0.179484262743971,0.30699156990164,0,0,0,0,0,2.93601226806641
"1-691971107","Accepted+In Progress","2012-03-02T22:26:55.000+09:00","normal",1,-1,0,0,"1887",103,0.999999999998583,1.91025977459788,0,0,0,0,1,3.31739354133606
"1-691971107","Accepted+In Progress","2012-03-02T22:27:14.000+09:00","normal",2,-1,0,1,"1888",104,0.333333333333369,0.625837270096262,0,0,0,0,0,2.93567657470703
"1-683762637","Accepted+Wait - User","2012-03-02T22:32:57.000+09:00","normal",19,-1,0,0,"1889",104,0.999999999999999,0.282709618865341,0,0,0,0,0,2.07851362228394
"1-683762637","Accepted+Wait - User","2012-03-02T22:34:19.000+09:00","normal",20,-1,0,0,"1890",104,1,0.241920650708733,0,0,0,0,0,2.06025123596191
"1-691971107","Queued+Awaiting Assignment","2012-03-02T22:42:23.000+09:00","normal",3,-1,0,0,"1891",104,0.152171816456807,0.267459174140081,0,0,0,0,0,2.10877561569214
"1-691971107","Accepted+In Progress","2012-03-02T23:00:41.000+09:00","normal",4,-1,0,0,"1892",104,0.209837933330299,0.343535557687376,0,0,0,0,0,2.05193877220154
"1-691971107","Queued+Awaiting Assignment","2012-03-02T23:02:08.000+09:00","normal",5,-1,0,0,"1893",104,0.436529917137029,0.661680986751305,0,0,0,0,0,1.95824956893921
"1-690436171","Accepted+In Progress","2012-03-02T23:41:04.000+09:00","normal",15,-1,0,0,"1894",104,1,0.512391643657862,0,0,0,0,0,2.11992454528809
"1-690436171","Completed+Resolved","2012-03-02T23:43:18.000+09:00","normal",16,-1,0,0,"1895",104,1,0.446465020344721,0,0,0,0,0,2.40946793556213
"1-660730501","Queued+Awaiting Assignment","2012-03-03T00:13:48.000+09:00","normal",24,-1,0,0,"1896",104,1,0.124227568274459,0,0,0,0,0,1.80441570281982
"1-692067345","Accepted+In Progress","2012-03-03T04:28:11.000+09:00","normal",1,-1,0,0,"1897",104,1.00000000000066,1.97051708756749,0,0,0,0,1,1.82974886894226
"1-692067345","Accepted+In Progress","2012-03-03T04:30:42.000+09:00","normal",2,-1,0,1,"1898",105,0.333333333333239,0.629627790637614,0,0,0,0,0,1.82357811927795
"1-692067345","Queued+Awaiting Assignment","2012-03-03T04:40:14.000+09:00","normal",3,-1,0,0,"1899",105,0.152162894487422,0.269159701863241,0,0,0,0,0,1.83643817901611
"1-687085471","Accepted+Wait - User","2012-03-04T02:44:12.000+09:00","normal",16,-1,0,0,"1900",105,0.999999999999999,0.451755454676395,0,0,0,1,0,2.22095274925232
"1-691782323","Accepted+In Progress","2012-03-05T09:55:19.000+09:00","normal",4,-1,0,0,"1901",105,0.209837872399434,0.34604640365596,0,0,0,0,0,1.80039072036743
"1-691759626","Accepted+In Progress","2012-03-05T10:10:28.000+09:00","normal",8,-1,0,0,"1902",105,1.00000000000001,1.17237878588559,0,0,0,0,1,1.8275351524353
"1-691759626","Accepted+Wait - User","2012-03-05T10:10:56.000+09:00","normal",9,-1,0,0,"1903",105,0.719274334975887,0.767228272328399,0,0,0,0,0,1.79835247993469
"1-692067345","Accepted+In Progress","2012-03-05T14:10:42.000+09:00","normal",4,-1,0,0,"1904",105,0.173447229165471,0.286539038970463,0,0,0,0,0,1.81431651115417
"1-692067345","Accepted+Wait","2012-03-05T14:13:46.000+09:00","normal",5,-1,0,0,"1905",105,0.191047944593034,0.292496850783346,0,0,0,0,0,1.86794710159302
"1-691782323","Accepted+Wait - Customer","2012-03-05T14:35:04.000+09:00","normal",5,-1,0,0,"1906",105,1,1.51884268613277,0,0,0,1,1,1.38414907455444
"1-692067345","Accepted+In Progress","2012-03-05T14:45:09.000+09:00","normal",6,-1,0,0,"1907",105,1.00000000000002,1.39165628931224,0,0,0,0,1,1.13790273666382
"1-692067345","Queued+Awaiting Assignment","2012-03-05T14:48:41.000+09:00","normal",7,-1,0,0,"1908",105,0.41510585309625,0.532912997763751,0,0,0,0,0,1.12040185928345
"1-692758611","Accepted+In Progress","2012-03-05T15:21:37.000+09:00","normal",1,-1,0,0,"1909",105,0.99999999999881,1.97113628768786,0,0,0,0,1,1.1538348197937
"1-692758611","Accepted+In Progress","2012-03-05T15:22:41.000+09:00","normal",2,-1,0,1,"1910",106,0.333333333333286,0.632118963386149,0,0,0,0,0,1.12740588188171
"1-691971107","Accepted+In Progress","2012-03-05T15:30:20.000+09:00","normal",6,-1,0,0,"1911",106,0.99999999999999,1.38585197879448,0,0,0,1,1,1.17873072624207
"1-692758611","Queued+Awaiting Assignment","2012-03-05T15:46:47.000+09:00","normal",3,-1,0,0,"1912",106,0.179303348802705,0.315836976174226,0,0,0,0,0,1.44649219512939
"1-692758994","Accepted+In Progress","2012-03-05T15:52:47.000+09:00","normal",1,-1,0,0,"1913",106,0.999999999999464,1.98392905863985,0,0,0,0,1,1.11939549446106
"1-692758994","Accepted+In Progress","2012-03-05T15:53:02.000+09:00","normal",2,-1,0,1,"1914",107,0.333333333333297,0.627819034752799,0,0,0,0,0,1.13066077232361
"1-692758994","Queued+Awaiting Assignment","2012-03-05T15:55:20.000+09:00","normal",3,-1,0,0,"1915",107,0.152041753281501,0.267373769073145,0,0,0,0,0,1.11000728607178
"1-690436171","Queued+Awaiting Assignment","2012-03-05T15:56:39.000+09:00","normal",17,-1,0,0,"1916",107,1,0.353291675883402,0,0,0,1,0,1.11929631233215
"1-691971107","Queued+Awaiting Assignment","2012-03-05T16:17:04.000+09:00","normal",7,-1,0,0,"1917",107,0.147766951018339,0.187437619760184,0,0,0,0,0,1.12500429153442
"1-692755228","Accepted+In Progress","2012-03-05T16:22:42.000+09:00","normal",1,-1,0,0,"1918",107,1.00000000000093,1.9927020137688,0,0,0,1,1,1.13587760925293
"1-692755228","Accepted+In Progress","2012-03-05T16:22:55.000+09:00","normal",2,-1,0,1,"1919",108,0.333333333333318,0.633470988955941,0,0,0,0,0,1.13094639778137
"1-692755228","Accepted+Wait - Implementation","2012-03-05T16:29:09.000+09:00","normal",3,-1,0,0,"1920",108,1,1.7531858903502,0,0,0,1,1,1.13772749900818
"1-690839783","Accepted+In Progress","2012-03-05T17:25:36.000+09:00","normal",8,-1,0,0,"1921",108,1,1.13735945211259,0,0,0,0,1,1.13231873512268
"1-691049627","Accepted+In Progress","2012-03-05T17:41:14.000+09:00","Early",8,2,1,0,"1922",108,0.999999999999996,1.36961640235492,0,0,0,0,1,1.15122699737549
"1-692758994","Accepted+In Progress","2012-03-05T17:42:33.000+09:00","normal",4,-1,0,0,"1923",108,0.209839074074679,0.339471813087922,0,0,0,0,0,1.12504053115845
"1-692758611","Accepted+In Progress","2012-03-05T17:43:01.000+09:00","normal",4,-1,0,0,"1924",108,0.173448566775887,0.280635020291039,0,0,0,0,0,1.20804834365845
"1-690436171","Accepted+In Progress","2012-03-05T18:14:01.000+09:00","normal",18,-1,0,0,"1925",108,1,0.299357234590003,0,0,0,0,0,1.88194680213928
"1-690436171","Queued+Awaiting Assignment","2012-03-05T18:14:38.000+09:00","normal",19,-1,0,0,"1926",108,0.999999999999999,0.255051922177814,0,0,0,0,0,1.88575482368469
"1-690436171","Queued+Awaiting Assignment","2012-03-05T18:14:39.000+09:00","normal",20,-1,0,0,"1927",108,0.999999999999999,0.216482881944354,0,0,0,0,0,1.87659025192261
"1-692918254","Accepted+In Progress","2012-03-05T18:42:22.000+09:00","Rework",1,9,0,0,"1928",108,1.00000000000025,1.96334593159586,0,0,0,0,1,1.86772274971008
"1-692918254","Accepted+In Progress","2012-03-05T18:42:46.000+09:00","Rework",2,9,0,1,"1929",109,0.333333333333347,0.625587596870087,0,0,0,0,0,1.89101934432983
"1-692918254","Queued+Awaiting Assignment","2012-03-05T18:46:43.000+09:00","Rework",3,9,0,0,"1930",109,0.179736058568108,0.315030772793657,0,0,0,0,0,2.22412800788879
"1-690436171","Accepted+In Progress","2012-03-05T18:57:39.000+09:00","normal",21,-1,0,0,"1931",109,1,0.184496987747178,0,0,0,0,0,1.82534337043762
"1-690436171","Queued+Awaiting Assignment","2012-03-05T18:58:06.000+09:00","normal",22,-1,0,0,"1932",109,1,0.155648908482626,0,0,0,0,0,1.88576483726501
"1-690436171","Accepted+In Progress","2012-03-05T19:05:36.000+09:00","normal",23,-1,0,0,"1933",109,1,0.130971619146741,0,0,0,0,0,1.84446406364441
"1-691971107","Accepted+In Progress","2012-03-05T19:07:49.000+09:00","normal",8,-1,0,0,"1934",109,0.784133343277818,0.895244187598148,0,0,0,0,0,1.89845442771912
"1-690436171","Accepted+Wait - User","2012-03-05T19:21:34.000+09:00","normal",24,-1,0,0,"1935",109,0.999999999999999,0.109961990466621,0,0,0,1,0,1.88201785087585
"1-692067345","Accepted+In Progress","2012-03-05T19:37:15.000+09:00","normal",8,-1,0,0,"1936",109,0.567682032805243,0.648277529524032,0,0,0,0,0,1.85882520675659
"1-692067345","Accepted+Assigned","2012-03-05T19:37:20.000+09:00","normal",9,-1,0,0,"1937",109,1,1.02845620685869,0,0,0,0,0,1.87994432449341
"1-693021183","Accepted+In Progress","2012-03-05T20:25:46.000+09:00","Rework",1,13,0,0,"1938",109,1.00000000000021,1.96543387072968,0,0,0,0,1,1.88863945007324
"1-693021183","Accepted+In Progress","2012-03-05T20:26:02.000+09:00","Rework",2,13,0,1,"1939",110,0.333333333333335,0.62083485111353,0,0,0,0,0,1.87764382362366
"1-693021183","Queued+Awaiting Assignment","2012-03-05T21:05:37.000+09:00","Rework",3,13,0,0,"1940",110,0.15245107729561,0.265210832460742,0,0,0,0,0,1.86654162406921
"1-692758611","Queued+Awaiting Assignment","2012-03-05T21:42:51.000+09:00","normal",5,-1,0,0,"1941",110,0.448289945178699,0.668688804816717,0,0,0,0,0,1.87475657463074
"1-660915327","Accepted+In Progress","2012-03-05T22:16:28.000+09:00","normal",63,-1,0,0,"1942",110,1,3.24322709649455e-05,0,0,0,1,0,1.98429608345032
"1-660915327","Accepted+Assigned","2012-03-05T22:16:33.000+09:00","normal",64,-1,0,0,"1943",110,0.999999999999997,2.5134467291384e-05,0,0,0,1,0,2.03370380401611
"1-692758611","Accepted+In Progress","2012-03-05T22:56:59.000+09:00","normal",6,-1,0,0,"1944",110,0.666748897748139,0.914251049396771,0,0,0,0,0,2.04821181297302
"1-692758611","Accepted+Assigned","2012-03-05T22:59:42.000+09:00","normal",7,-1,0,0,"1945",110,0.58910225711333,0.735793644898615,0,0,0,0,0,2.03819894790649
"1-693200675","Accepted+In Progress","2012-03-05T22:59:43.000+09:00","normal",1,-1,0,0,"1946",110,0.999999999999254,1.96884476933619,0,0,0,1,1,2.04513049125671
"1-690839783","Queued+Awaiting Assignment","2012-03-05T23:00:11.000+09:00","normal",9,-1,0,0,"1947",110,0.437643990322395,0.438756542519745,0,0,0,0,0,2.05773067474365
"1-690839783","Accepted+In Progress","2012-03-05T23:00:58.000+09:00","normal",10,-1,0,0,"1948",110,0.999999999999992,0.897778633161112,0,0,0,0,0,2.04729986190796
"1-693200675","Accepted+In Progress","2012-03-05T23:00:58.000+09:00","normal",2,-1,0,1,"1949",111,0.333333333333295,0.623598300492648,0,0,0,0,0,2.36383938789368
"1-690839783","Queued+Awaiting Assignment","2012-03-05T23:01:27.000+09:00","normal",11,-1,0,0,"1950",111,0.5,0.405319606228673,0,0,0,0,0,2.06020188331604
"1-692755228","Accepted+Wait - Vendor","2012-03-05T23:02:19.000+09:00","normal",4,-1,0,0,"1951",111,1,1.62054918048928,0,0,0,1,1,2.05007886886597
"1-660915327","Accepted+In Progress","2012-03-05T23:28:26.000+09:00","normal",65,-1,0,0,"1952",111,1,1.99467020989285e-05,0,0,0,1,0,2.14916658401489
