"Case","Activity","timestamp","anomaly_type","order","loc","label","start","Event","num_case","leverage","t1","t2","t3","tn","time"
"case_1784","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"867",1,0.00115340253748558,0,0,0,0,0.446341514587402
"case_1785","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"868",1,0.00115340253748558,0,0,0,0,0.035768985748291
"case_1786","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"869",1,0.00115340253748558,0,0,0,0,0.0211422443389893
"case_1787","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"870",1,0.00115340253748558,0,0,0,0,0.0148022174835205
"case_1788","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"871",1,0.00115340253748558,0,0,0,0,0.0149052143096924
"case_1789","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"872",1,0.00115340253748558,0,0,0,0,0.0148816108703613
"case_179","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"873",1,0.00115340253748558,0,0,0,0,0.0153522491455078
"case_1790","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"874",1,0.00115340253748558,0,0,0,0,0.0146198272705078
"case_1791","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"875",1,0.00115340253748558,0,0,0,0,0.0148248672485352
"case_1792","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"876",1,0.00115340253748558,0,0,0,0,0.0149760246276855
"case_1793","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"877",1,0.00115340253748558,0,0,0,0,0.0197508335113525
"case_1794","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"878",1,0.00115340253748558,0,0,0,0,0.0149440765380859
"case_1795","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"879",1,0.00115340253748558,0,0,0,0,0.014880895614624
"case_1796","Activity A","1970-01-01T09:00:00.000+09:00","Insert",1,5,0,0,"880",1,0.00115340253748558,0,0,0,0,0.0150215625762939
"case_1797","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"881",1,0.00115340253748558,0,0,0,0,0.0196192264556885
"case_1798","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"882",1,0.00115340253748558,0,0,0,0,0.0150930881500244
"case_1799","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"883",1,0.00115340253748558,0,0,0,0,0.015073299407959
"case_18","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"884",1,0.00115340253748558,0,0,0,0,0.0198237895965576
"case_180","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"885",1,0.00115340253748558,0,0,0,0,0.0148062705993652
"case_1800","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"886",1,0.00115340253748558,0,0,0,0,0.0148992538452148
"case_1801","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"887",1,0.00115340253748558,0,0,0,0,0.0148801803588867
"case_1802","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"888",1,0.00115340253748558,0,0,0,0,0.0195703506469727
"case_1803","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"889",1,0.00115340253748558,0,0,0,0,0.0148353576660156
"case_1804","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"890",1,0.00115340253748558,0,0,0,0,0.0149261951446533
"case_1805","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"891",1,0.00115340253748558,0,0,0,0,0.0151700973510742
"case_1806","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"892",1,0.00115340253748558,0,0,0,0,0.0154671669006348
"case_1807","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"893",1,0.00115340253748558,0,0,0,0,0.019798755645752
"case_1808","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"894",1,0.00115340253748558,0,0,0,0,0.0151736736297607
"case_1809","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"895",1,0.00115340253748558,0,0,0,0,0.0197122097015381
"case_181","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"896",1,0.00115340253748558,0,0,0,0,0.015122652053833
"case_1810","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"897",1,0.00115340253748558,0,0,0,0,0.0156159400939941
"case_1811","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"898",1,0.00115340253748558,0,0,0,0,0.020310640335083
"case_1812","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"899",1,0.00115340253748558,0,0,0,0,0.0388901233673096
"case_1813","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"900",1,0.00115340253748558,0,0,0,0,0.0162258148193359
"case_1814","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"901",1,0.00115340253748558,0,0,0,0,0.015620231628418
"case_1815","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"902",1,0.00115340253748558,0,0,0,0,0.0154938697814941
"case_1816","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"903",1,0.00115340253748558,0,0,0,0,0.015526294708252
"case_1817","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"904",1,0.00115340253748558,0,0,0,0,0.0201878547668457
"case_1818","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"905",1,0.00115340253748558,0,0,0,0,0.0164334774017334
"case_182","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"906",1,0.00115340253748558,0,0,0,0,0.0161700248718262
"case_1820","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"907",1,0.00115340253748558,0,0,0,0,0.0155200958251953
"case_1821","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"908",1,0.00115340253748558,0,0,0,0,0.0206201076507568
"case_1822","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"909",1,0.00115340253748558,0,0,0,0,0.0154845714569092
"case_1823","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"910",1,0.00115340253748558,0,0,0,0,0.0157890319824219
"case_1824","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"911",1,0.00115340253748558,0,0,0,0,0.0221493244171143
"case_1825","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"912",1,0.00115340253748558,0,0,0,0,0.0164065361022949
"case_1826","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"913",1,0.00115340253748558,0,0,0,0,0.0191609859466553
"case_1827","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"914",1,0.00115340253748558,0,0,0,0,0.0228474140167236
"case_1828","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"915",1,0.00115340253748558,0,0,0,0,0.0163874626159668
"case_1829","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"916",1,0.00115340253748558,0,0,0,0,0.0176022052764893
"case_183","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"917",1,0.00115340253748558,0,0,0,0,0.0168428421020508
"case_1831","Activity A","1970-01-01T09:00:00.000+09:00","Rework",1,11,0,0,"918",1,0.00115340253748558,0,0,0,0,0.0166854858398438
"case_1832","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"919",1,0.00115340253748558,0,0,0,0,0.0155222415924072
"case_1834","Activity A","1970-01-01T09:00:00.000+09:00","Insert",1,4,0,0,"920",1,0.00115340253748558,0,0,0,0,0.0211625099182129
"case_1835","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"921",1,0.00115340253748558,0,0,0,0,0.0161075592041016
"case_1836","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"922",1,0.00115340253748558,0,0,0,0,0.0163455009460449
"case_1837","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"923",1,0.00115340253748558,0,0,0,0,0.229978084564209
"case_1839","Activity A","1970-01-01T09:00:00.000+09:00","Early",2,1,1,0,"924",1,0.00115340253748558,0,0,0,0,0.0153729915618896
"case_184","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"925",1,0.00115340253748558,0,0,0,0,0.0152769088745117
"case_1840","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"926",1,0.00115340253748558,0,0,0,0,0.0148358345031738
"case_1841","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"927",1,0.00115340253748558,0,0,0,0,0.0148732662200928
"case_1842","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"928",1,0.00115340253748558,0,0,0,0,0.0148065090179443
"case_1843","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"929",1,0.00115340253748558,0,0,0,0,0.0197391510009766
"case_1844","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"930",1,0.00115340253748558,0,0,0,0,0.0147843360900879
"case_1845","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"931",1,0.00115340253748558,0,0,0,0,0.0148584842681885
"case_1846","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"932",1,0.00115340253748558,0,0,0,0,0.0148398876190186
"case_1847","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"933",1,0.00115340253748558,0,0,0,0,0.0148379802703857
"case_1848","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"934",1,0.00115340253748558,0,0,0,0,0.0193827152252197
"case_1849","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"935",1,0.00115340253748558,0,0,0,0,0.0150916576385498
"case_185","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"936",1,0.00115340253748558,0,0,0,0,0.0148537158966064
"case_1850","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"937",1,0.00115340253748558,0,0,0,0,0.01491379737854
"case_1851","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"938",1,0.00115340253748558,0,0,0,0,0.0149152278900146
"case_1852","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"939",1,0.00115340253748558,0,0,0,0,0.0192222595214844
"case_1853","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"940",1,0.00115340253748558,0,0,0,0,0.0150868892669678
"case_1854","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"941",1,0.00115340253748558,0,0,0,0,0.0149123668670654
"case_1855","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"942",1,0.00115340253748558,0,0,0,0,0.0148165225982666
"case_1856","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"943",1,0.00115340253748558,0,0,0,0,0.014925479888916
"case_1857","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"944",1,0.00115340253748558,0,0,0,0,0.0197322368621826
"case_1858","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"945",1,0.00115340253748558,0,0,0,0,0.0146992206573486
"case_1859","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"946",1,0.00115340253748558,0,0,0,0,0.0147666931152344
"case_186","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"947",1,0.00115340253748558,0,0,0,0,0.0148344039916992
"case_1860","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"948",1,0.00115340253748558,0,0,0,0,0.0148518085479736
"case_1861","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"949",1,0.00115340253748558,0,0,0,0,0.0146610736846924
"case_1862","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"950",1,0.00115340253748558,0,0,0,0,0.0145595073699951
"case_1863","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"951",1,0.00115340253748558,0,0,0,0,0.0148098468780518
"case_1864","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"952",1,0.00115340253748558,0,0,0,0,0.0149717330932617
"case_1865","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"953",1,0.00115340253748558,0,0,0,0,0.0188989639282227
"case_1866","Activity A","1970-01-01T09:00:00.000+09:00","Early",1,2,0,0,"954",1,0.00115340253748558,0,0,0,0,0.0146963596343994
"case_1867","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"955",1,0.00115340253748558,0,0,0,0,0.014798641204834
"case_1868","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"956",1,0.00115340253748558,0,0,0,0,0.0147347450256348
"case_1869","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"957",1,0.00115340253748558,0,0,0,0,0.0190205574035645
"case_187","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"958",1,0.00115340253748558,0,0,0,0,0.0147364139556885
"case_1870","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"959",1,0.00115340253748558,0,0,0,0,0.0147883892059326
"case_1871","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"960",1,0.00115340253748558,0,0,0,0,0.0192255973815918
"case_1872","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"961",1,0.00115340253748558,0,0,0,0,0.0148489475250244
