"Case","Activity","timestamp","anomaly_type","order","loc","label","start","Event","num_case","leverage","t1","t2","t3","tn","time"
"1-691759626","Accepted+In Progress","2012-03-02T19:08:21.000+09:00","normal",6,-1,0,0,"1870",157,0,0,0,0,0,2.31951022148132
"1-690436171","Accepted+In Progress","2012-03-02T19:23:34.000+09:00","normal",7,-1,0,0,"1871",157,0,0,0,0,0,1.26120257377625
"1-690436171","Accepted+Assigned","2012-03-02T19:23:56.000+09:00","normal",8,-1,0,0,"1872",157,0,0,0,0,0,1.26178550720215
"1-690436171","Accepted+In Progress","2012-03-02T19:54:15.000+09:00","normal",9,-1,0,0,"1873",157,0,0,0,0,0,1.32153463363647
"1-657323705","Accepted+In Progress","2012-03-02T19:56:12.000+09:00","normal",4,-1,0,0,"1874",157,0,0,0,0,0,1.20435667037964
"1-690436171","Accepted+Wait","2012-03-02T19:58:16.000+09:00","normal",10,-1,0,0,"1875",157,0,0,0,0,0,0.963096380233765
"1-690436171","Accepted+Wait","2012-03-02T19:59:04.000+09:00","normal",11,-1,0,0,"1876",157,0,0,0,0,0,1.20976257324219
"1-690436171","Accepted+Wait - User","2012-03-02T20:02:12.000+09:00","normal",12,-1,0,0,"1877",157,0,0,0,0,0,0.956130981445312
"1-691759626","Queued+Awaiting Assignment","2012-03-02T20:05:56.000+09:00","normal",7,-1,0,0,"1878",157,0,0,0,0,0,1.1764600276947
"1-690436171","Accepted+Wait","2012-03-02T21:37:27.000+09:00","normal",13,-1,0,0,"1879",157,0,0,0,0,0,0.950456380844116
"1-690436171","Queued+Awaiting Assignment","2012-03-02T21:37:57.000+09:00","normal",14,-1,0,0,"1880",157,0,0,0,0,0,0.956387281417847
"1-691950241","Accepted+In Progress","2012-03-02T21:54:58.000+09:00","normal",1,-1,0,0,"1881",157,1,0,0,0,0,0.940518140792847
"1-691782323","Accepted+In Progress","2012-03-02T21:57:12.000+09:00","normal",1,-1,0,0,"1882",157,1,0,0,0,0,0.962292194366455
"1-691950241","Accepted+In Progress","2012-03-02T21:57:36.000+09:00","normal",2,-1,0,1,"1883",158,1,0,0,0,0,0.975205421447754
"1-691782323","Accepted+In Progress","2012-03-02T21:58:20.000+09:00","normal",2,-1,0,1,"1884",159,0,0,0,0,0,1.19287657737732
"1-691950241","Queued+Awaiting Assignment","2012-03-02T22:03:11.000+09:00","normal",3,-1,0,0,"1885",159,1,0,0,0,0,0.952261447906494
"1-691782323","Queued+Awaiting Assignment","2012-03-02T22:03:31.000+09:00","normal",3,-1,0,0,"1886",159,1,0,0,0,0,1.02317047119141
"1-691971107","Accepted+In Progress","2012-03-02T22:26:55.000+09:00","normal",1,-1,0,0,"1887",159,1,0,0,0,0,1.57226872444153
"1-691971107","Accepted+In Progress","2012-03-02T22:27:14.000+09:00","normal",2,-1,0,1,"1888",160,1,0,0,0,0,2.39115333557129
"1-683762637","Accepted+Wait - User","2012-03-02T22:32:57.000+09:00","normal",19,-1,0,0,"1889",160,0,0,0,0,0,1.68328857421875
"1-683762637","Accepted+Wait - User","2012-03-02T22:34:19.000+09:00","normal",20,-1,0,0,"1890",160,1,0,0,0,1,1.67376184463501
"1-691971107","Queued+Awaiting Assignment","2012-03-02T22:42:23.000+09:00","normal",3,-1,0,0,"1891",160,1,0,0,0,0,1.62528252601624
"1-691971107","Accepted+In Progress","2012-03-02T23:00:41.000+09:00","normal",4,-1,0,0,"1892",160,1,0,0,0,0,2.02685546875
"1-691971107","Queued+Awaiting Assignment","2012-03-02T23:02:08.000+09:00","normal",5,-1,0,0,"1893",160,0,0,0,0,0,1.67017483711243
"1-690436171","Accepted+In Progress","2012-03-02T23:41:04.000+09:00","normal",15,-1,0,0,"1894",160,0,0,0,0,0,1.6760458946228
"1-690436171","Completed+Resolved","2012-03-02T23:43:18.000+09:00","normal",16,-1,0,0,"1895",160,0,0,0,0,0,2.00513434410095
"1-660730501","Queued+Awaiting Assignment","2012-03-03T00:13:48.000+09:00","normal",24,-1,0,0,"1896",160,0,0,0,0,0,1.62290191650391
"1-692067345","Accepted+In Progress","2012-03-03T04:28:11.000+09:00","normal",1,-1,0,0,"1897",160,1,0,0,0,0,1.634690284729
"1-692067345","Accepted+In Progress","2012-03-03T04:30:42.000+09:00","normal",2,-1,0,1,"1898",161,0,0,0,0,0,1.97967958450317
"1-692067345","Queued+Awaiting Assignment","2012-03-03T04:40:14.000+09:00","normal",3,-1,0,0,"1899",161,0,0,0,0,0,1.6542820930481
"1-687085471","Accepted+Wait - User","2012-03-04T02:44:12.000+09:00","normal",16,-1,0,0,"1900",161,0,0,0,0,0,1.74628901481628
"1-691782323","Accepted+In Progress","2012-03-05T09:55:19.000+09:00","normal",4,-1,0,0,"1901",161,1,0,0,0,0,1.67604351043701
"1-691759626","Accepted+In Progress","2012-03-05T10:10:28.000+09:00","normal",8,-1,0,0,"1902",161,0,0,0,0,0,1.65190362930298
"1-691759626","Accepted+Wait - User","2012-03-05T10:10:56.000+09:00","normal",9,-1,0,0,"1903",161,0,0,0,0,0,1.62222146987915
