"Case","Activity","timestamp","anomaly_type","order","loc","label","start","Event","num_case","leverage","w-leverage","t1","t2","t3","tn","w-tn","time"
"case_10549","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"604",2,0.00166666666666667,0.00166666666666667,0,0,0,0,0,0.0487985610961914
"case_10550","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"605",2,0.00166389351081531,0.00166389351081531,0,0,0,0,0,0.0466940402984619
"case_10551","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"606",2,0.00166112956810631,0.00166112956810631,0,0,0,0,0,0.0196630954742432
"case_10552","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"607",2,0.00165837479270315,0.00165837479270315,0,0,0,0,0,0.0244948863983154
"case_10553","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"608",2,0.00165562913907285,0.00165562913907285,0,0,0,0,0,0.046419620513916
"case_10554","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"609",2,0.00165289256198347,0.00165289256198347,0,0,0,0,0,0.0225880146026611
"case_10555","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"610",2,0.00165016501650165,0.00165016501650165,0,0,0,0,0,0.0227689743041992
"case_10556","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"611",2,0.00164744645799012,0.00164744645799012,0,0,0,0,0,0.214884281158447
"case_10557","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"612",2,0.00164473684210526,0.00164473684210526,0,0,0,0,0,0.0194263458251953
"case_10558","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"613",2,0.00164203612479474,0.00164203612479474,0,0,0,0,0,0.0288846492767334
"case_10559","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"614",2,0.00163934426229508,0.00163934426229508,0,0,0,0,0,0.0190482139587402
"case_1056","Activity A","1970-01-01T09:00:00.000+09:00","Insert",2,1,1,0,"615",2,0.0016366612111293,0.0016366612111293,0,0,0,0,0,0.0192227363586426
"case_10560","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"616",2,0.00163398692810458,0.00163398692810458,0,0,0,0,0,0.0241696834564209
"case_10561","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"617",2,0.00163132137030995,0.00163132137030995,0,0,0,0,0,0.0201449394226074
"case_10562","Activity A","1970-01-01T09:00:00.000+09:00","Rework",1,7,0,0,"618",2,0.00162866449511401,0.00162866449511401,0,0,0,0,0,0.0229039192199707
"case_10563","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"619",2,0.0016260162601626,0.0016260162601626,0,0,0,0,0,0.0227327346801758
"case_10564","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"620",2,0.00162337662337662,0.00162337662337662,0,0,0,0,0,0.0182056427001953
"case_10565","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"621",2,0.00162074554294976,0.00162074554294976,0,0,0,0,0,0.0174558162689209
"case_10566","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"622",2,0.00161812297734628,0.00161812297734628,0,0,0,0,0,0.0180158615112305
"case_10567","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"623",2,0.00161550888529887,0.00161550888529887,0,0,0,0,0,0.0217990875244141
"case_10568","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"624",2,0.00161290322580645,0.00161290322580645,0,0,0,0,0,0.017758846282959
"case_10569","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"625",2,0.00161030595813204,0.00161030595813204,0,0,0,0,0,0.0238339900970459
"case_1057","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"626",2,0.00160771704180064,0.00160771704180064,0,0,0,0,0,0.0192124843597412
"case_10570","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"627",2,0.00160513643659711,0.00160513643659711,0,0,0,0,0,0.0239992141723633
"case_10571","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"628",2,0.0016025641025641,0.0016025641025641,0,0,0,0,0,0.0245397090911865
"case_10572","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"629",2,0.0016,0.0016,0,0,0,0,0,0.018932580947876
