"Case","Activity","timestamp","anomaly_type","order","loc","label","start","Event","num_case","leverage","w-leverage","t1","t2","t3","tn","w-tn","time"
"case_10718","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"796",1,0.00125944584382872,0.00125944584382872,0,0,0,0,0,0.10837459564209
"case_10719","Activity A","1970-01-01T09:00:00.000+09:00","SkipSequence",1,2,0,0,"797",1,0.00125786163522013,0.00125786163522013,0,0,0,0,0,0.284522294998169
"case_1072","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"798",1,0.00125628140703518,0.00125628140703518,0,0,0,0,0,0.0548174381256104
"case_10720","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"799",1,0.00125470514429109,0.00125470514429109,0,0,0,0,0,0.0427544116973877
"case_10721","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"800",1,0.0012531328320802,0.0012531328320802,0,0,0,0,0,0.0519750118255615
"case_10722","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"801",1,0.00125156445556946,0.00125156445556946,0,0,0,0,0,0.316196441650391
"case_10723","Activity A","1970-01-01T09:00:00.000+09:00","SkipSequence",1,2,0,0,"802",1,0.00125,0.00125,0,0,0,0,0,0.0360002517700195
"case_10724","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"803",1,0.00124843945068664,0.00124843945068664,0,0,0,0,0,0.0430009365081787
"case_10725","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"804",1,0.00124688279301746,0.00124688279301746,0,0,0,0,0,0.0391898155212402
"case_10726","Activity A","1970-01-01T09:00:00.000+09:00","Rework",1,8,0,0,"805",1,0.0012453300124533,0.0012453300124533,0,0,0,0,0,0.0378744602203369
"case_10727","Activity A","1970-01-01T09:00:00.000+09:00","Rework",1,6,0,0,"806",1,0.00124378109452736,0.00124378109452736,0,0,0,0,0,0.0424108505249023
"case_10728","Activity A","1970-01-01T09:00:00.000+09:00","Early",1,3,0,0,"807",1,0.00124223602484472,0.00124223602484472,0,0,0,0,0,0.0352582931518555
"case_10729","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"808",1,0.00124069478908189,0.00124069478908189,0,0,0,0,0,0.0417935848236084
"case_1073","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"809",1,0.00123915737298637,0.00123915737298637,0,0,0,0,0,0.0341439247131348
"case_10730","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"810",1,0.00123762376237624,0.00123762376237624,0,0,0,0,0,0.0334615707397461
"case_10731","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"811",1,0.00123609394313968,0.00123609394313968,0,0,0,0,0,0.0446724891662598
"case_10733","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"812",1,0.00123456790123457,0.00123456790123457,0,0,0,0,0,0.0385186672210693
"case_10734","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"813",1,0.00123304562268804,0.00123304562268804,0,0,0,0,0,0.031296968460083
"case_10735","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"814",1,0.00123152709359606,0.00123152709359606,0,0,0,0,0,0.0438668727874756
"case_10736","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"815",1,0.001230012300123,0.001230012300123,0,0,0,0,0,0.0324316024780273
"case_10737","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"816",1,0.00122850122850123,0.00122850122850123,0,0,0,0,0,0.0367817878723145
"case_10738","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"817",1,0.00122699386503067,0.00122699386503067,0,0,0,0,0,0.0325422286987305
"case_10739","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"818",1,0.00122549019607843,0.00122549019607843,0,0,0,0,0,0.0408198833465576
"case_1074","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"819",1,0.00122399020807834,0.00122399020807834,0,0,0,0,0,0.040010929107666
"case_10740","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"820",1,0.00122249388753056,0.00122249388753056,0,0,0,0,0,0.039710521697998
"case_10741","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"821",1,0.00122100122100122,0.00122100122100122,0,0,0,0,0,0.0340700149536133
"case_10742","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"822",1,0.00121951219512195,0.00121951219512195,0,0,0,0,0,0.0345075130462646
"case_10743","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"823",1,0.00121802679658953,0.00121802679658953,0,0,0,0,0,0.0502824783325195
