"Case","Activity","timestamp","anomaly_type","order","loc","label","start","Event","num_case","leverage","t1","t2","t3","tn","time"
"case_1784","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"867",1,0,0,0,0,0,0.561562299728394
"case_1785","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"868",1,0,0,0,0,0,0.0561366081237793
"case_1786","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"869",1,0,0,0,0,0,0.0287885665893555
"case_1787","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"870",1,0,0,0,0,0,0.0173404216766357
"case_1788","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"871",1,0,0,0,0,0,0.0175662040710449
"case_1789","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"872",1,0,0,0,0,0,0.0205490589141846
"case_179","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"873",1,0,0,0,0,0,0.0301916599273682
"case_1790","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"874",1,0,0,0,0,0,0.0179092884063721
"case_1791","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"875",1,0,0,0,0,0,0.0177030563354492
"case_1792","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"876",1,0,0,0,0,0,0.0186216831207275
"case_1793","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"877",1,0,0,0,0,0,0.0282831192016602
"case_1794","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"878",1,0,0,0,0,0,0.0182175636291504
"case_1795","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"879",1,0,0,0,0,0,0.0182394981384277
"case_1796","Activity A","1970-01-01T09:00:00.000+09:00","Insert",1,5,0,0,"880",1,0,0,0,0,0,0.0269577503204346
"case_1797","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"881",1,0,0,0,0,0,0.0190830230712891
"case_1798","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"882",1,0,0,0,0,0,0.0197832584381104
"case_1799","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"883",1,0,0,0,0,0,0.0213568210601807
"case_18","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"884",1,0,0,0,0,0,0.0298581123352051
"case_180","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"885",1,0,0,0,0,0,0.0196011066436768
"case_1800","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"886",1,0,0,0,0,0,0.0272483825683594
"case_1801","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"887",1,0,0,0,0,0,0.0207133293151855
"case_1802","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"888",1,0,0,0,0,0,0.0217771530151367
"case_1803","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"889",1,0,0,0,0,0,0.0277950763702393
"case_1804","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"890",1,0,0,0,0,0,0.0185246467590332
"case_1805","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"891",1,0,0,0,0,0,0.027235746383667
"case_1806","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"892",1,0,0,0,0,0,0.0178492069244385
"case_1807","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"893",1,0,0,0,0,0,0.0187547206878662
"case_1808","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"894",1,0,0,0,0,0,0.0213718414306641
"case_1809","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"895",1,0,0,0,0,0,0.057814359664917
"case_181","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"896",1,0,0,0,0,0,0.0185635089874268
"case_1810","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"897",1,0,0,0,0,0,0.0191936492919922
"case_1811","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"898",1,0,0,0,0,0,0.0238020420074463
"case_1812","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"899",1,0,0,0,0,0,0.0218534469604492
"case_1813","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"900",1,0,0,0,0,0,0.0299465656280518
"case_1814","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"901",1,0,0,0,0,0,0.0186059474945068
"case_1815","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"902",1,0,0,0,0,0,0.0191788673400879
"case_1816","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"903",1,0,0,0,0,0,0.019296407699585
"case_1817","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"904",1,0,0,0,0,0,0.0285007953643799
"case_1818","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"905",1,0,0,0,0,0,0.0191493034362793
"case_182","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"906",1,0,0,0,0,0,0.0196137428283691
"case_1820","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"907",1,0,0,0,0,0,0.0319018363952637
"case_1821","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"908",1,0,0,0,0,0,0.0290741920471191
"case_1822","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"909",1,0,0,0,0,0,0.01877760887146
"case_1823","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"910",1,0,0,0,0,0,0.0197458267211914
"case_1824","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"911",1,0,0,0,0,0,0.032426118850708
"case_1825","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"912",1,0,0,0,0,0,0.0183534622192383
"case_1826","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"913",1,0,0,0,0,0,0.0213718414306641
