"Case","Activity","timestamp","anomaly_type","order","loc","label","start","Event","num_case","leverage","t1","t2","t3","tn","time"
103,"Prepare starter","2020-09-17T03:44:39.165+09:00","normal",7,-1,0,0,"1201",101,0.051480199041482,0,0,0,0,1.56392335891724
102,"Prepare starter","2020-09-17T03:44:40.735+09:00","normal",7,-1,0,0,"1202",101,0.0489597417891571,0,0,0,0,0.388287544250488
104,"Review order","2020-09-17T03:44:50.120+09:00","Early",3,5,0,0,"1203",101,0.0104166666666667,0,0,0,0,0.339051246643066
101,"Bring food","2020-09-17T03:45:12.727+09:00","SkipSequence",8,4,1,0,"1204",101,1,0,0,0,1,0.39290976524353
102,"prepare drinks","2020-09-17T03:45:14.492+09:00","normal",8,-1,0,0,"1205",101,0.349579712838312,0,0,0,0,0.359912633895874
105,"Take order","2020-09-17T03:45:25.489+09:00","normal",2,-1,0,1,"1206",102,0.0101010101010101,0,0,0,0,0.65460205078125
102,"Bring drinks","2020-09-17T03:45:40.945+09:00","normal",9,-1,0,0,"1207",102,1,0,0,0,1,NA
105,"Review order","2020-09-17T03:46:07.217+09:00","normal",3,-1,0,0,"1208",102,0.0104166666666667,0,0,0,0,0.292860507965088
102,"Review drinks","2020-09-17T03:46:13.573+09:00","normal",10,-1,0,0,"1209",102,1,0,0,0,1,NA
102,"Prepare main course","2020-09-17T03:46:23.848+09:00","normal",11,-1,0,0,"1210",102,1,0,0,0,1,NA
102,"Signal food complete","2020-09-17T03:46:28.848+09:00","normal",12,-1,0,0,"1211",102,1,0,0,0,1,NA
100,"Deliver to customer","2020-09-17T03:46:36.596+09:00","normal",10,-1,0,0,"1212",102,0.0331479057591623,0,0,0,0,0.349424123764038
100,"EVENT 8 END","2020-09-17T03:46:36.596+09:00","normal",11,-1,0,0,"1213",102,0.0331481481481484,0,0,0,0,0.378169298171997
102,"Bring food","2020-09-17T03:47:01.733+09:00","normal",13,-1,0,0,"1214",102,1,0,0,0,1,NA
107,"Take order","2020-09-17T03:47:36.811+09:00","normal",2,-1,0,1,"1215",103,0.0101010101010101,0,0,0,0,0.353201150894165
103,"Prepare main course","2020-09-17T03:47:43.383+09:00","normal",8,-1,0,0,"1216",103,0.0548698086343783,0,0,0,0,0.332748889923096
103,"Signal food complete","2020-09-17T03:47:48.383+09:00","normal",9,-1,0,0,"1217",103,0.0550400185593316,0,0,0,0,0.213974714279175
103,"Bring food","2020-09-17T03:48:28.377+09:00","normal",10,-1,0,0,"1218",103,0.0550402967890494,0,0,0,0,0.169142961502075
106,"Take order","2020-09-17T03:48:35.648+09:00","normal",2,-1,0,1,"1219",104,0.01,0,0,0,0,0.173769235610962
107,"Review order","2020-09-17T03:48:38.783+09:00","normal",3,-1,0,0,"1220",104,0.0104166666666667,0,0,0,0,0.183712005615234
108,"start","2020-09-17T03:48:57.795+09:00","normal",1,-1,0,0,"1221",104,0.0099009900990099,0,0,0,0,0.153904676437378
101,"Deliver to customer","2020-09-17T03:49:08.169+09:00","SkipSequence",9,4,1,0,"1222",104,1,0,0,0,1,NA
101,"EVENT 8 END","2020-09-17T03:49:08.169+09:00","SkipSequence",10,4,1,0,"1223",104,1,0,0,0,1,NA
104,"prepare drinks","2020-09-17T03:49:27.796+09:00","Early",4,5,0,0,"1224",104,0.0116279069767442,0,0,0,0,0.165412187576294
106,"Review order","2020-09-17T03:49:42.965+09:00","normal",3,-1,0,0,"1225",104,0.0103092783505155,0,0,0,0,0.164963006973267
104,"Bring drinks","2020-09-17T03:49:46.050+09:00","Early",6,5,1,0,"1226",104,0.0156250000000001,0,0,0,0,0.176403284072876
109,"start","2020-09-17T03:49:59.063+09:00","normal",1,-1,0,0,"1227",104,0.00980392156862745,0,0,0,0,0.15337061882019
104,"Review drinks","2020-09-17T03:50:18.224+09:00","Early",7,5,1,0,"1228",104,0.0166666666666668,0,0,0,0,0.170731544494629
110,"start","2020-09-17T03:50:28.196+09:00","normal",1,-1,0,0,"1229",104,0.00970873786407767,0,0,0,0,0.169670581817627
