"Case","Activity","timestamp","anomaly_type","order","loc","label","start","Event","num_case","leverage","w-leverage","t1","t2","t3","tn","w-tn","time"
"case_1784","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"867",1,0.00115606936416185,0.00115606936416185,0,0,0,0,0,0.0716404914855957
"case_1785","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"868",1,0.00115473441108545,0.00115473441108545,0,0,0,0,0,0.0457890033721924
"case_1786","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"869",1,0.00115340253748558,0.00115340253748558,0,0,0,0,0,0.0141623020172119
"case_1787","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"870",1,0.00115207373271889,0.00115207373271889,0,0,0,0,0,0.014392614364624
"case_1788","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"871",1,0.00115074798619102,0.00115074798619102,0,0,0,0,0,0.0139875411987305
"case_1789","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"872",1,0.00114942528735632,0.00114942528735632,0,0,0,0,0,0.0205228328704834
"case_179","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"873",1,0.00114810562571757,0.00114810562571757,0,0,0,0,0,0.0140807628631592
"case_1790","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"874",1,0.00114678899082569,0.00114678899082569,0,0,0,0,0,0.0140318870544434
"case_1791","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"875",1,0.0011454753722795,0.0011454753722795,0,0,0,0,0,0.0139296054840088
"case_1792","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"876",1,0.0011441647597254,0.0011441647597254,0,0,0,0,0,0.0182383060455322
"case_1793","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"877",1,0.00114285714285714,0.00114285714285714,0,0,0,0,0,0.0141825675964355
"case_1794","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"878",1,0.00114155251141552,0.00114155251141552,0,0,0,0,0,0.0139460563659668
"case_1795","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"879",1,0.00114025085518814,0.00114025085518814,0,0,0,0,0,0.0188729763031006
"case_1796","Activity A","1970-01-01T09:00:00.000+09:00","Insert",1,5,0,0,"880",1,0.00113895216400911,0.00113895216400911,0,0,0,0,0,0.0140626430511475
"case_1797","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"881",1,0.00113765642775882,0.00113765642775882,0,0,0,0,0,0.0185031890869141
"case_1798","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"882",1,0.00113636363636364,0.00113636363636364,0,0,0,0,0,0.0141911506652832
"case_1799","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"883",1,0.00113507377979569,0.00113507377979569,0,0,0,0,0,0.0139877796173096
"case_18","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"884",1,0.00113378684807256,0.00113378684807256,0,0,0,0,0,0.0183036327362061
"case_180","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"885",1,0.00113250283125708,0.00113250283125708,0,0,0,0,0,0.0142405033111572
"case_1800","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"886",1,0.00113122171945701,0.00113122171945701,0,0,0,0,0,0.0188331604003906
"case_1801","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"887",1,0.00112994350282486,0.00112994350282486,0,0,0,0,0,0.036698579788208
"case_1802","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"888",1,0.00112866817155756,0.00112866817155756,0,0,0,0,0,0.014026403427124
"case_1803","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"889",1,0.00112739571589628,0.00112739571589628,0,0,0,0,0,0.0142173767089844
"case_1804","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"890",1,0.00112612612612613,0.00112612612612613,0,0,0,0,0,0.0140810012817383
"case_1805","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"891",1,0.00112485939257593,0.00112485939257593,0,0,0,0,0,0.0187690258026123
"case_1806","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"892",1,0.00112359550561798,0.00112359550561798,0,0,0,0,0,0.0142021179199219
"case_1807","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"893",1,0.00112233445566779,0.00112233445566779,0,0,0,0,0,0.0141618251800537
"case_1808","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"894",1,0.00112107623318386,0.00112107623318386,0,0,0,0,0,0.0187373161315918
"case_1809","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"895",1,0.00111982082866741,0.00111982082866741,0,0,0,0,0,0.0142416954040527
"case_181","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"896",1,0.00111856823266219,0.00111856823266219,0,0,0,0,0,0.0142097473144531
"case_1810","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"897",1,0.00111731843575419,0.00111731843575419,0,0,0,0,0,0.0183510780334473
"case_1811","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"898",1,0.00111607142857143,0.00111607142857143,0,0,0,0,0,0.0143065452575684
"case_1812","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"899",1,0.00111482720178372,0.00111482720178372,0,0,0,0,0,0.0145213603973389
"case_1813","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"900",1,0.00111358574610245,0.00111358574610245,0,0,0,0,0,0.0189204216003418
"case_1814","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"901",1,0.00111234705228031,0.00111234705228031,0,0,0,0,0,0.0141305923461914
"case_1815","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"902",1,0.00111111111111111,0.00111111111111111,0,0,0,0,0,0.0142374038696289
"case_1816","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"903",1,0.00110987791342952,0.00110987791342952,0,0,0,0,0,0.018397331237793
