"Case","Activity","timestamp","anomaly_type","order","loc","label","start","Event","num_case","leverage","w-leverage","t1","t2","t3","tn","w-tn","time"
3883,6,"2010-03-17T18:09:00.000+09:00","normal",4,-1,0,0,"380",101,0.185317114094341,0.185317114094341,0,0,0,0,0,0.0856118202209473
90,6,"2010-03-17T18:49:00.000+09:00","normal",3,-1,0,0,"381",101,0.0202788967114019,0.0202788967114019,0,0,0,0,0,0.0599424839019775
3168,6,"2010-03-17T19:05:00.000+09:00","normal",3,-1,0,0,"382",101,0.019875848081426,0.019875848081426,0,0,0,0,0,0.019294261932373
2502,6,"2010-03-17T20:10:00.000+09:00","normal",3,-1,0,0,"383",101,0.0194885122670013,0.0194885122670013,0,0,0,0,0,0.0192382335662842
3203,1,"2010-03-17T22:26:00.000+09:00","normal",1,-1,0,0,"384",101,0.125,0.125,0,0,0,0,0,0.0188024044036865
2619,1,"2010-03-17T22:29:00.000+09:00","normal",1,-1,0,0,"385",101,0.111111111111111,0.111111111111111,0,0,0,0,0,0.0186867713928223
2619,8,"2010-03-17T22:29:00.000+09:00","normal",2,-1,0,1,"386",102,0.142192471787599,0.142192471787599,0,0,0,0,0,0.0308136940002441
92,6,"2010-03-18T18:27:00.000+09:00","normal",3,-1,0,0,"387",102,0.0191332834128863,0.0191332834128863,0,0,0,0,0,0.0170619487762451
2619,9,"2010-03-18T20:18:00.000+09:00","normal",3,-1,0,0,"388",102,0.267949241709189,0.267949241709189,0,0,0,0,0,0.0172936916351318
2874,1,"2010-03-18T20:38:00.000+09:00","normal",1,-1,0,0,"389",102,0.111111111111111,0.111111111111111,0,0,0,0,0,0.0180785655975342
1527,1,"2010-03-18T20:41:00.000+09:00","normal",1,-1,0,0,"390",102,0.1,0.1,0,0,0,0,0,0.0166168212890625
1527,1,"2010-03-18T20:41:00.000+09:00","normal",2,-1,0,1,"391",103,0.227679073777646,0.227679073777647,0,0,0,0,0,0.0171034336090088
1527,8,"2010-03-18T20:42:00.000+09:00","normal",3,-1,0,0,"392",103,1,1,0,0,0,1,1,NA
1527,6,"2010-03-18T20:42:00.000+09:00","normal",4,-1,0,0,"393",103,1,1,0,0,0,1,1,NA
2874,8,"2010-03-18T20:53:00.000+09:00","normal",2,-1,0,1,"394",104,0.165762654065507,0.165762654065507,0,0,0,0,0,0.017343282699585
2874,6,"2010-03-18T22:37:00.000+09:00","normal",3,-1,0,0,"395",104,0.0187740991215953,0.0187740991215953,0,0,0,0,0,0.015958309173584
3849,8,"2010-03-19T17:41:00.000+09:00","normal",2,-1,0,1,"396",105,0.165762654065507,0.165762654065507,0,0,0,0,0,0.029679536819458
3849,6,"2010-03-19T17:41:00.000+09:00","normal",3,-1,0,0,"397",105,0.0187740991215953,0.0187740991215953,0,0,0,0,0,0.016380786895752
10,8,"2010-03-19T17:47:00.000+09:00","normal",2,-1,0,1,"398",106,0.165836057513856,0.165836057513856,0,0,0,0,0,0.0184857845306396
10,6,"2010-03-19T17:47:00.000+09:00","normal",3,-1,0,0,"399",106,0.0184283123117198,0.0184283123117198,0,0,0,0,0,0.0165784358978271
3849,6,"2010-03-19T17:51:00.000+09:00","normal",4,-1,0,0,"400",106,0.205953547752772,0.205953547752772,0,0,0,0,0,0.0167474746704102
3187,8,"2010-03-19T20:09:00.000+09:00","normal",3,-1,0,0,"401",106,0.082639612544678,0.082639612544678,0,0,0,0,0,0.0174343585968018
3187,6,"2010-03-19T20:09:00.000+09:00","normal",4,-1,0,0,"402",106,0.082639612544678,0.082639612544678,0,0,0,0,0,0.0157794952392578
3187,6,"2010-03-19T20:10:00.000+09:00","normal",5,-1,0,0,"403",106,1,1,0,0,0,1,1,0.0163228511810303
4168,8,"2010-03-19T20:43:00.000+09:00","Early",1,1,1,0,"404",106,1,1,0,0,0,1,1,0.0272529125213623
4168,1,"2010-03-19T20:43:00.000+09:00","Early",2,1,1,1,"405",107,1,1,0,0,0,1,1,NA
4168,6,"2010-03-19T20:50:00.000+09:00","Early",3,1,1,0,"406",107,1,1,0,0,0,1,1,NA
2395,1,"2010-03-19T20:56:00.000+09:00","normal",1,-1,0,0,"407",107,0.166666666666666,0.166666666666666,0,0,0,0,0,0.0175261497497559
2410,1,"2010-03-19T21:00:00.000+09:00","normal",1,-1,0,0,"408",107,0.142857142857143,0.142857142857143,0,0,0,0,0,0.0166084766387939
2377,1,"2010-03-19T23:44:00.000+09:00","normal",1,-1,0,0,"409",107,0.125000000000001,0.125000000000001,0,0,0,0,0,0.0169816017150879
4336,1,"2010-03-19T23:50:00.000+09:00","normal",1,-1,0,0,"410",107,0.111111111111111,0.111111111111111,0,0,0,0,0,0.0169990062713623
