"Case","Activity","timestamp","anomaly_type","order","loc","label","start","Event","num_case","leverage","t1","t2","t3","tn","time"
"case_10718","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"796",1,0.00125628140703518,0,0,0,0,0.729727745056152
"case_10719","Activity A","1970-01-01T09:00:00.000+09:00","SkipSequence",1,2,0,0,"797",1,0.00125628140703518,0,0,0,0,0.0720431804656982
"case_1072","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"798",1,0.00125628140703518,0,0,0,0,0.0586338043212891
"case_10720","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"799",1,0.00125628140703518,0,0,0,0,0.0501666069030762
"case_10721","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"800",1,0.00125628140703518,0,0,0,0,0.0517771244049072
"case_10722","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"801",1,0.00125628140703518,0,0,0,0,0.0494468212127686
"case_10723","Activity A","1970-01-01T09:00:00.000+09:00","SkipSequence",1,2,0,0,"802",1,0.00125628140703518,0,0,0,0,0.0383415222167969
"case_10724","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"803",1,0.00125628140703518,0,0,0,0,0.039264440536499
"case_10725","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"804",1,0.00125628140703518,0,0,0,0,0.294399738311768
"case_10726","Activity A","1970-01-01T09:00:00.000+09:00","Rework",1,8,0,0,"805",1,0.00125628140703518,0,0,0,0,0.0454869270324707
"case_10727","Activity A","1970-01-01T09:00:00.000+09:00","Rework",1,6,0,0,"806",1,0.00125628140703518,0,0,0,0,0.0516464710235596
"case_10728","Activity A","1970-01-01T09:00:00.000+09:00","Early",1,3,0,0,"807",1,0.00125628140703518,0,0,0,0,0.0675427913665771
"case_10729","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"808",1,0.00125628140703518,0,0,0,0,0.0448305606842041
"case_1073","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"809",1,0.00125628140703518,0,0,0,0,0.0472707748413086
"case_10730","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"810",1,0.00125628140703518,0,0,0,0,0.058030366897583
"case_10731","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"811",1,0.00125628140703518,0,0,0,0,0.0445470809936523
"case_10733","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"812",1,0.00125628140703518,0,0,0,0,0.0604102611541748
"case_10734","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"813",1,0.00125628140703518,0,0,0,0,0.0488080978393555
"case_10735","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"814",1,0.00125628140703518,0,0,0,0,0.0587148666381836
"case_10736","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"815",1,0.00125628140703518,0,0,0,0,0.0473558902740479
"case_10737","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"816",1,0.00125628140703518,0,0,0,0,0.058558464050293
"case_10738","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"817",1,0.00125628140703518,0,0,0,0,0.0521371364593506
"case_10739","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"818",1,0.00125628140703518,0,0,0,0,0.0426554679870605
"case_1074","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"819",1,0.00125628140703518,0,0,0,0,0.0428779125213623
"case_10740","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"820",1,0.00125628140703518,0,0,0,0,0.0527412891387939
"case_10741","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"821",1,0.00125628140703518,0,0,0,0,0.0470540523529053
"case_10742","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"822",1,0.00125628140703518,0,0,0,0,0.0512604713439941
"case_10743","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"823",1,0.00125628140703518,0,0,0,0,0.0613296031951904
"case_10744","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"824",1,0.00125628140703518,0,0,0,0,0.0444412231445312
"case_10745","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"825",1,0.00125628140703518,0,0,0,0,0.0555217266082764
"case_10747","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"826",1,0.00125628140703518,0,0,0,0,0.0521304607391357
"case_10748","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"827",1,0.00125628140703518,0,0,0,0,0.0594353675842285
"case_10749","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"828",1,0.00125628140703518,0,0,0,0,0.0470762252807617
"case_1075","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"829",1,0.00125628140703518,0,0,0,0,0.0560417175292969
"case_10750","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"830",1,0.00125628140703518,0,0,0,0,0.049799919128418
"case_10751","Activity A","1970-01-01T09:00:00.000+09:00","Early",1,3,0,0,"831",1,0.00125628140703518,0,0,0,0,0.045039176940918
"case_10752","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"832",1,0.00125628140703518,0,0,0,0,0.0395450592041016
"case_10753","Activity A","1970-01-01T09:00:00.000+09:00","Rework",1,12,0,0,"833",1,0.00125628140703518,0,0,0,0,0.0481588840484619
"case_10754","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"834",1,0.00125628140703518,0,0,0,0,0.045814037322998
"case_10755","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"835",1,0.00125628140703518,0,0,0,0,0.0406241416931152
"case_10756","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"836",1,0.00125628140703518,0,0,0,0,0.0416851043701172
"case_10757","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"837",1,0.00125628140703518,0,0,0,0,0.0370926856994629
"case_10758","Activity A","1970-01-01T09:00:00.000+09:00","Rework",1,7,0,0,"838",1,0.00125628140703518,0,0,0,0,0.0451204776763916
"case_10758","Activity A","1970-01-01T09:00:00.000+09:00","Rework",7,7,1,1,"839",2,0.00125628140703518,0,0,0,0,0.0392014980316162
"case_10759","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"840",2,0.00125628140703518,0,0,0,0,0.053088903427124
"case_1076","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"841",2,0.00125628140703518,0,0,0,0,0.045313835144043
"case_10760","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"842",2,0.00125628140703518,0,0,0,0,0.0563240051269531
"case_10761","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"843",2,0.00125628140703518,0,0,0,0,0.0452718734741211
"case_10762","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"844",2,0.00125628140703518,0,0,0,0,0.0566856861114502
"case_10763","Activity A","1970-01-01T09:00:00.000+09:00","Rework",1,10,0,0,"845",2,0.00125628140703518,0,0,0,0,0.0602536201477051
"case_10764","Activity A","1970-01-01T09:00:00.000+09:00","Rework",1,9,0,0,"846",2,0.00125628140703518,0,0,0,0,0.054520845413208
"case_10765","Activity A","1970-01-01T09:00:00.000+09:00","Replace",1,3,0,0,"847",2,0.00125628140703518,0,0,0,0,0.044517993927002
"case_10766","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"848",2,0.00125628140703518,0,0,0,0,0.0516705513000488
"case_10767","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"849",2,0.00125628140703518,0,0,0,0,0.0502007007598877
"case_10768","Activity A","1970-01-01T09:00:00.000+09:00","Late",1,5,0,0,"850",2,0.00125628140703518,0,0,0,0,0.0465219020843506
"case_10769","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"851",2,0.00125628140703518,0,0,0,0,0.0621321201324463
"case_1077","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"852",2,0.00125628140703518,0,0,0,0,0.0470421314239502
"case_10770","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"853",2,0.00125628140703518,0,0,0,0,0.0544474124908447
"case_10771","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"854",2,0.00125628140703518,0,0,0,0,0.0456714630126953
"case_10772","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"855",2,0.00125628140703518,0,0,0,0,0.0550606250762939
"case_10773","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"856",2,0.00125628140703518,0,0,0,0,0.0621738433837891
"case_10774","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"857",2,0.00125628140703518,0,0,0,0,0.0466055870056152
"case_10775","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"858",2,0.00125628140703518,0,0,0,0,0.065922737121582
"case_10776","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"859",2,0.00125628140703518,0,0,0,0,0.0496702194213867
"case_10777","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"860",2,0.00125628140703518,0,0,0,0,0.0535740852355957
"case_10778","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"861",2,0.00125628140703518,0,0,0,0,0.0487062931060791
"case_10779","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"862",2,0.00125628140703518,0,0,0,0,0.0576598644256592
"case_1078","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"863",2,0.00125628140703518,0,0,0,0,0.057140588760376
"case_10780","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"864",2,0.00125628140703518,0,0,0,0,0.0455448627471924
"case_10781","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"865",2,0.00125628140703518,0,0,0,0,0.0490751266479492
"case_10782","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"866",2,0.00125628140703518,0,0,0,0,0.0410687923431396
"case_10783","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"867",2,0.00125628140703518,0,0,0,0,0.0528733730316162
