"Case","Activity","timestamp","anomaly_type","order","loc","label","start","Event","num_case","leverage","t1","t2","t3","tn","time"
103,"Prepare starter","2020-09-17T03:44:39.165+09:00","normal",7,-1,0,0,"1201",105,0.360289879494609,0,0,0,0,1.12180185317993
102,"Prepare starter","2020-09-17T03:44:40.735+09:00","normal",7,-1,0,0,"1202",105,0.365424872903559,0,0,0,0,0.563083648681641
104,"Review order","2020-09-17T03:44:50.120+09:00","Early",3,5,0,0,"1203",105,0.382123766519526,0,0,0,0,0.531681776046753
101,"Bring food","2020-09-17T03:45:12.727+09:00","SkipSequence",8,4,1,0,"1204",105,0.500050723956827,0,0,0,1,0.540619611740112
102,"prepare drinks","2020-09-17T03:45:14.492+09:00","normal",8,-1,0,0,"1205",105,0.460103679085698,0,0,0,0,0.541851997375488
105,"Take order","2020-09-17T03:45:25.489+09:00","normal",2,-1,0,1,"1206",106,0.440440559085192,0,0,0,0,0.540912389755249
102,"Bring drinks","2020-09-17T03:45:40.945+09:00","normal",9,-1,0,0,"1207",106,0.452682075500069,0,0,0,0,0.572933912277222
105,"Review order","2020-09-17T03:46:07.217+09:00","normal",3,-1,0,0,"1208",106,0.387672966463118,0,0,0,0,0.55868673324585
102,"Review drinks","2020-09-17T03:46:13.573+09:00","normal",10,-1,0,0,"1209",106,0.479002379892005,0,0,0,0,0.572571516036987
102,"Prepare main course","2020-09-17T03:46:23.848+09:00","normal",11,-1,0,0,"1210",106,0.511621684717198,0,0,0,0,0.571117401123047
102,"Signal food complete","2020-09-17T03:46:28.848+09:00","normal",12,-1,0,0,"1211",106,0.535954825607088,0,0,0,1,0.546702146530151
100,"Deliver to customer","2020-09-17T03:46:36.596+09:00","normal",10,-1,0,0,"1212",106,0.340918080866043,0,0,0,0,0.55000901222229
100,"EVENT 8 END","2020-09-17T03:46:36.596+09:00","normal",11,-1,0,0,"1213",106,0.345091422804358,0,0,0,0,0.553590297698975
102,"Bring food","2020-09-17T03:47:01.733+09:00","normal",13,-1,0,0,"1214",106,0.487374740505704,0,0,0,0,0.535586595535278
107,"Take order","2020-09-17T03:47:36.811+09:00","normal",2,-1,0,1,"1215",107,0.444158327901106,0,0,0,0,0.531285047531128
103,"Prepare main course","2020-09-17T03:47:43.383+09:00","normal",8,-1,0,0,"1216",107,0.37235274371593,0,0,0,0,0.540501356124878
103,"Signal food complete","2020-09-17T03:47:48.383+09:00","normal",9,-1,0,0,"1217",107,0.365356522244126,0,0,0,0,0.539986371994019
103,"Bring food","2020-09-17T03:48:28.377+09:00","normal",10,-1,0,0,"1218",107,0.37434452933576,0,0,0,0,0.584089756011963
106,"Take order","2020-09-17T03:48:35.648+09:00","normal",2,-1,0,1,"1219",108,0.442816875849262,0,0,0,0,0.535084962844849
107,"Review order","2020-09-17T03:48:38.783+09:00","normal",3,-1,0,0,"1220",108,0.38502553588527,0,0,0,0,0.532649993896484
108,"start","2020-09-17T03:48:57.795+09:00","normal",1,-1,0,0,"1221",108,0.461698456487486,0,0,0,0,0.533677816390991
101,"Deliver to customer","2020-09-17T03:49:08.169+09:00","SkipSequence",9,4,1,0,"1222",108,0.536450200821838,0,0,0,1,0.569472789764404
101,"EVENT 8 END","2020-09-17T03:49:08.169+09:00","SkipSequence",10,4,1,0,"1223",108,0.573819001432924,0,0,0,1,0.561607837677002
104,"prepare drinks","2020-09-17T03:49:27.796+09:00","Early",4,5,0,0,"1224",108,0.345078335158763,0,0,0,0,0.552329301834106
106,"Review order","2020-09-17T03:49:42.965+09:00","normal",3,-1,0,0,"1225",108,0.38240618202105,0,0,0,0,0.543522357940674
104,"Bring drinks","2020-09-17T03:49:46.050+09:00","Early",6,5,1,0,"1226",108,0.34369025572623,0,0,0,0,0.552089691162109
109,"start","2020-09-17T03:49:59.063+09:00","normal",1,-1,0,0,"1227",108,0.461770725894365,0,0,0,0,0.547434329986572
104,"Review drinks","2020-09-17T03:50:18.224+09:00","Early",7,5,1,0,"1228",108,0.345783960104942,0,0,0,0,0.560699462890625
