"Case","Activity","timestamp","anomaly_type","order","loc","label","start","Event","num_case","leverage","w-leverage","t1","t2","t3","tn","w-tn","time"
"case_154","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"597",2,0.00168634064080944,0.00168634064080944,0,0,0,0,0,0.0565745830535889
"case_1540","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"598",2,0.00168350168350168,0.00168350168350168,0,0,0,0,0,0.0376424789428711
"case_1541","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"599",2,0.00168067226890756,0.00168067226890756,0,0,0,0,0,0.0145516395568848
"case_1542","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"600",2,0.00167785234899329,0.00167785234899329,0,0,0,0,0,0.0148429870605469
"case_1543","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"601",2,0.0016750418760469,0.0016750418760469,0,0,0,0,0,0.0148115158081055
"case_1544","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"602",2,0.00167224080267559,0.00167224080267559,0,0,0,0,0,0.0182130336761475
"case_1545","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"603",2,0.001669449081803,0.001669449081803,0,0,0,0,0,0.011552095413208
"case_1546","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"604",2,0.00166666666666667,0.00166666666666667,0,0,0,0,0,0.0119385719299316
"case_1547","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"605",2,0.00166389351081531,0.00166389351081531,0,0,0,0,0,0.0118162631988525
"case_1548","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"606",2,0.00166112956810631,0.00166112956810631,0,0,0,0,0,0.0116703510284424
"case_1549","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"607",2,0.00165837479270315,0.00165837479270315,0,0,0,0,0,0.0117912292480469
"case_155","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"608",2,0.00165562913907285,0.00165562913907285,0,0,0,0,0,0.0135009288787842
"case_1550","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"609",2,0.00165289256198347,0.00165289256198347,0,0,0,0,0,0.01173996925354
"case_1551","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"610",2,0.00165016501650165,0.00165016501650165,0,0,0,0,0,0.012016773223877
"case_1552","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"611",2,0.00164744645799012,0.00164744645799012,0,0,0,0,0,0.011946439743042
"case_1553","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"612",2,0.00164473684210526,0.00164473684210526,0,0,0,0,0,0.0119073390960693
"case_1554","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"613",2,0.00164203612479474,0.00164203612479474,0,0,0,0,0,0.0120007991790771
"case_1555","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"614",2,0.00163934426229508,0.00163934426229508,0,0,0,0,0,0.0120112895965576
"case_1556","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"615",2,0.0016366612111293,0.0016366612111293,0,0,0,0,0,0.017707347869873
"case_1557","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"616",2,0.00163398692810458,0.00163398692810458,0,0,0,0,0,0.0121731758117676
