"Case","Activity","timestamp","anomaly_type","order","loc","label","start","Event","num_case","leverage","t1","t2","t3","tn","time"
"case_10549","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"604",2,0,0,0,0,0,0.239931106567383
"case_10550","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"605",2,0,0,0,0,0,0.0472652912139893
"case_10551","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"606",2,0,0,0,0,0,0.0265638828277588
"case_10552","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"607",2,0,0,0,0,0,0.0279636383056641
"case_10553","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"608",2,0,0,0,0,0,0.0509891510009766
"case_10554","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"609",2,0,0,0,0,0,0.020721435546875
"case_10555","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"610",2,0,0,0,0,0,0.0284972190856934
"case_10556","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"611",2,0,0,0,0,0,0.312214612960815
"case_10557","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"612",2,0,0,0,0,0,0.0177285671234131
"case_10558","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"613",2,0,0,0,0,0,0.0214200019836426
"case_10559","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"614",2,0,0,0,0,0,0.0237090587615967
"case_1056","Activity A","1970-01-01T09:00:00.000+09:00","Insert",2,1,1,0,"615",2,0,0,0,0,0,0.0175063610076904
"case_10560","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"616",2,0,0,0,0,0,0.017533540725708
"case_10561","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"617",2,0,0,0,0,0,0.0228157043457031
"case_10562","Activity A","1970-01-01T09:00:00.000+09:00","Rework",1,7,0,0,"618",2,0,0,0,0,0,0.0180153846740723
"case_10563","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"619",2,0,0,0,0,0,0.0266664028167725
"case_10564","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"620",2,0,0,0,0,0,0.0174515247344971
"case_10565","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"621",2,0,0,0,0,0,0.0227606296539307
"case_10566","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"622",2,0,0,0,0,0,0.0175113677978516
"case_10567","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"623",2,0,0,0,0,0,0.0231442451477051
"case_10568","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"624",2,0,0,0,0,0,0.0227706432342529
"case_10569","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"625",2,0,0,0,0,0,0.0236985683441162
"case_1057","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"626",2,0,0,0,0,0,0.0177369117736816
"case_10570","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"627",2,0,0,0,0,0,0.0177290439605713
"case_10571","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"628",2,0,0,0,0,0,0.0244297981262207
"case_10572","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"629",2,0,0,0,0,0,0.0185718536376953
"case_10573","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"630",2,0,0,0,0,0,0.0171892642974854
"case_10574","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"631",2,0,0,0,0,0,0.0214462280273438
"case_10576","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"632",2,0,0,0,0,0,0.0176541805267334
"case_10577","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"633",2,0,0,0,0,0,0.023867130279541
"case_10578","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"634",2,0,0,0,0,0,0.0178780555725098
"case_10579","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"635",2,0,0,0,0,0,0.0226900577545166
"case_1058","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"636",2,0,0,0,0,0,0.022446870803833
"case_10580","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"637",2,0,0,0,0,0,0.017953634262085
"case_10581","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"638",2,0,0,0,0,0,0.0228555202484131
"case_10582","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"639",2,0,0,0,0,0,0.0176708698272705
"case_10583","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"640",2,0,0,0,0,0,0.0229270458221436
"case_10584","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"641",2,0,0,0,0,0,0.0195045471191406
"case_10585","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"642",2,0,0,0,0,0,0.0177860260009766
"case_10586","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"643",2,0,0,0,0,0,0.0225021839141846
"case_10587","Activity A","1970-01-01T09:00:00.000+09:00","Late",1,5,0,0,"644",2,0,0,0,0,0,0.0176126956939697
"case_10588","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"645",2,0,0,0,0,0,0.0177991390228271
"case_10589","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"646",2,0,0,0,0,0,0.0226914882659912
"case_1059","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"647",2,0,0,0,0,0,0.0176329612731934
"case_10590","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"648",2,0,0,0,0,0,0.0232059955596924
"case_10591","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"649",2,0,0,0,0,0,0.0177254676818848
"case_10592","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"650",2,0,0,0,0,0,0.0237934589385986
"case_10593","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"651",2,0,0,0,0,0,0.0193140506744385
"case_10594","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"652",2,0,0,0,0,0,0.0220026969909668
"case_10595","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"653",2,0,0,0,0,0,0.0170357227325439
"case_10596","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"654",2,0,0,0,0,0,0.0171546936035156
"case_10597","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"655",2,0,0,0,0,0,0.0225744247436523
"case_10598","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"656",2,0,0,0,0,0,0.0177888870239258
"case_10599","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"657",2,0,0,0,0,0,0.0179293155670166
"case_106","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"658",2,0,0,0,0,0,0.017833948135376
"case_1060","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"659",2,0,0,0,0,0,0.0179557800292969
"case_10600","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"660",2,0,0,0,0,0,0.02264404296875
"case_10601","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"661",2,0,0,0,0,0,0.0179879665374756
"case_10602","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"662",2,0,0,0,0,0,0.0232117176055908
"case_10603","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"663",2,0,0,0,0,0,0.0195274353027344
"case_10604","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"664",2,0,0,0,0,0,0.0227413177490234
"case_10605","Activity A","1970-01-01T09:00:00.000+09:00","normal",1,-1,0,0,"665",2,0,0,0,0,0,0.0226564407348633
